aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,0.3818717792763593,0.010395276020771288,0.0,-0.1,0.0,0.2922670552971306,0.0,0.8239554565874332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,0.0914338455204522,0.010398570565435932,0.0,-0.1,0.0,0.29409947138301873,0.0,0.7832179718369159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,0.12904042362078982,0.010403223705293308,0.0,-0.1,0.0,0.33354311870910186,0.0,0.73304347794672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28,0,0,0.11666666666666667,0.17370405081507556,0.010409493975367988,0.0,-0.1,0.0,0.41765666349954544,0.0,0.7863553381862379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30,1,0,0.125,0.2151366808354993,0.010417270342612604,0.0,-0.1,0.0,0.5432106146776574,0.0,0.9128303164004585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32,1,0,0.13333333333333333,0.25202062922408786,0.01042639471357485,0.0,-0.1,0.0,0.7056576386153202,0.0,1.0534974183537735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34,1,0,0.14166666666666666,0.28242314554013603,0.010436638814464317,0.0,-0.1,0.0,0.8985174229699205,0.0,1.1717678980152157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,36,1,0,0.15,0.30191598150731025,0.010447612248250623,0.0,-0.1,0.0,1.1108810167254815,0.0,1.2394395416939106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,38,2,0,0.15833333333333333,0.31596911515075377,0.01045912119605806,0.0,-0.1,0.0,1.3373092530722932,0.0,1.3045555821746908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,40,2,0,0.16666666666666666,0.3472000010721388,0.010471796981295939,0.0,-0.1,0.0,1.5949810511257279,0.0,1.4622082568604287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,42,2,0,0.175,0.39214672875507617,0.010486150707266845,0.0,-0.1,0.0,1.8976139305880708,0.0,1.686660745695517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,44,2,0,0.18333333333333332,0.4440103492108527,0.010502450368236155,0.0,-0.1,0.0,2.2521267301671597,0.0,1.9474274961142881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,46,3,0,0.19166666666666668,0.4926050914057001,0.010520593343705538,0.0,-0.1,0.0,2.6552524149165655,0.0,2.169346851413024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,48,3,0,0.2,0.518835037808909,0.010539770288673745,0.0,-0.1,0.0,3.0846272230141483,0.0,2.2624779989524546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,3,0,0.20833333333333334,0.5333477384662899,0.0105595566544573,0.0,-0.1,0.0,3.5285345181348955,0.0,2.306599956693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
