time/fps,rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/std,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl
1634,0.064812936,1,2260992,60,,,,,,,,,,,
1722,0.050229922,2,2359296,114,-5.479051424562931,0.0001,230,12.05497932434082,0.9518946409225464,0.2,-0.0027439988293432786,0.0024028420448303223,41.37576080709696,0.05463358561197917,0.0063266666
1756,0.062720835,3,2457600,167,-5.48033626973629,0.0001,240,60.74300003051758,0.952482283115387,0.2,-0.0030420543128760378,0.022996723651885986,50.81332130345206,0.06236063639322917,0.008430426
1751,0.05424966,4,2555904,224,-5.4775082642833395,0.0001,250,13.005910873413086,0.9501766562461853,0.2,-0.002129293791464685,0.004576146602630615,113.41031207814812,0.0486785888671875,0.0067977677
1754,0.05736965,5,2654208,280,-5.459145047763983,0.0001,260,0.9235138297080994,0.9451664686203003,0.2,-0.0035049710124440024,0.3020203113555908,10.285726505269606,0.08154805501302083,0.0085107535
1748,0.06497266,6,2752512,337,-5.44503335605065,0.0001,270,212.04580688476562,0.9426665306091309,0.2,-0.0022788252209769173,-0.19333994388580322,55.6494422338903,0.0610015869140625,0.0067002545
1742,0.062882476,7,2850816,394,-5.436641652882099,0.0001,280,112.20492553710938,0.9424055218696594,0.2,-0.002428569320424382,0.20480430126190186,66.83122982059916,0.05412699381510417,0.008054466
1728,0.054779988,8,2949120,455,-5.430941652754942,0.0001,290,50.86974334716797,0.9388985633850098,0.2,-0.0023985983279999346,0.25770139694213867,76.92250592187047,0.032652791341145834,0.0046433466
1720,0.0568082,9,3047424,514,-5.418014903863271,0.0001,300,0.33772772550582886,0.9355839490890503,0.2,-0.0038141039995631823,0.33055490255355835,14.04662592212359,0.10571695963541666,0.009153559
1714,0.0611738,10,3145728,573,-5.401221550007661,0.0001,310,30.12784194946289,0.9317858219146729,0.2,-0.001796755677605688,0.06890976428985596,53.09760271720588,0.0591278076171875,0.0060421415
1708,0.06475207,11,3244032,632,-5.3891655370593075,0.0001,320,1.1299679279327393,0.9305750131607056,0.2,-0.0029582500988908577,0.41417211294174194,15.846052716175715,0.0692779541015625,0.006590929
