step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
0,0,[-0.400991   -1.76333035  0.2300484 ],[0.08226658 0.64601061 1.06414479],[ 0.58830205 -0.0782501  -0.12071113],[-4.86841424  1.10129885  4.43827174],[0.52565842 0.76936211 0.66697242 0.7938439 ],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.00552635 -0.10473788 -0.06038072],[0.08237626 0.64912393 1.06108238],[-0.14329554  0.53489978 -0.21372933],[-0.10171215 -9.55703436  1.33731963],9.650682617846794,0.8755033054522244
0,0,[0.72370665 0.92267863 1.21531149],[0.09219147 0.64944111 1.07471703],[ 0.63752428 -0.08864451  0.09273212],[-4.86567874  1.10475532  4.43537141],[0.50115322 0.59488121 0.66582571 0.61865931],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.26113314  0.14249829 -0.21104748],[0.09062579 0.65207454 1.07295727],[-0.06388563  0.57218985 -0.34182898],[-0.18931608 -9.55043475  1.36942163],9.649972028621926,0.8696336582572193
0,0,[1.66404222 0.38366173 1.9138683 ],[0.1169983  0.65401405 1.09455919],[ 0.68380567 -0.10210843  0.201963  ],[-4.86233023  1.1090294   4.43313058],[0.39978692 0.24150764 0.42440178 0.24183123],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.49716018  0.25181508 -0.29854381],[0.11139751 0.65443537 1.09528911],[-0.02817635  0.61010607 -0.40276425],[-0.34866676 -9.52733302  1.48775669],9.649096482228456,0.864744919641388
0,0,[ 1.45826331 -1.30409047  1.72010623],[0.14072991 0.64430875 1.11210825],[ 0.73327738 -0.11790558  0.19073628],[-4.85874809  1.11360896  4.43070558],[0.35262196 0.14182072 0.2187387  0.11093134],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.35560463  0.21505527 -0.2240741 ],[0.13179342 0.64284925 1.11487125],[-0.00454305  0.65032831 -0.45466969],[-0.48589989 -9.49982645  1.61370585],9.64815255751212,0.8632877968852184
1,0,[ 0.38827919 -2.71369445  0.99262578],[0.15224029 0.6238348  1.12110442],[ 0.78526822 -0.13351641  0.20775048],[-4.85495061  1.11845397  4.42804066],[0.81266759 0.65457874 0.64391413 0.65287071],[ 2.40651345 -0.23087239  0.97506118  0.32690787],[False False False],[False False False],[False False False],[False False False],[ 0.05229144  0.11636482 -0.10312904],[0.14199722 0.62106925 1.12501044],[ 0.02171449  0.69151899 -0.52125367],[-0.55648244 -9.48343086  1.67990532],9.64713509437041,0.86092325554933
1,0,[-1.06368297 -3.96333632  0.12289488],[0.14313746 0.59179316 1.11777318],[ 0.84604179 -0.14752681  0.34826307],[-4.85040214  1.12419276  4.42623143],[0.41107161 0.43551955 0.40604313 0.4603756 ],[ 2.40651345 -0.23087239  0.97506118  0.32690787],[False False False],[False False False],[False False False],[False False False],[-0.53270784 -0.07332128  0.16376599],[0.13612786 0.58928219 1.12086813],[ 0.05083404  0.741908   -0.61620722],[-0.52887847 -9.49318186  1.62544167],9.645842359451686,0.8544751188699057
1,0,[-0.97755146 -4.12994603  0.3602223 ],[0.13248309 0.55753655 1.11476032],[ 0.90465655 -0.16257531  0.34632996],[-4.84547462  1.13037693  4.42454915],[0.17569934 0.34909177 0.35872362 0.36991608],[ 2.40651345 -0.23087239  0.97506118  0.32690787],[False False False],[False False False],[False False False],[False False False],[-0.82844641 -0.23151707  0.21769598],[0.13225672 0.55678378 1.11596439],[-6.75245516e-04  8.09482155e-01 -5.91197987e-01],[-0.50243358 -9.50514958  1.55407838],9.644452685398127,0.8513825245070415
1,0,[-0.37922642 -4.24707218  0.91807699],[0.12920516 0.52172301 1.11685765],[ 0.95865748 -0.17927695  0.30385993],[-4.84034727  1.13679818  4.42264837],[0.09275666 0.32536148 0.31699196 0.35196035],[ 2.40651345 -0.23087239  0.97506118  0.32690787],[False False False],[False False False],[False False False],[False False False],[-0.65786441 -0.2645793   0.16786819],[0.13489403 0.52313413 1.11654562],[-0.01690903  0.86594332 -0.60977278],[-0.51691442 -9.50724679  1.52723952],9.642997590188205,0.8498981220654479
2,0,[-0.06170852 -4.23162525  1.28544745],[0.13171226 0.48524465 1.12318626],[ 1.00712124 -0.19869884  0.24286686],[-4.83507944  1.14338669  4.42041892],[0.12678223 0.25578476 0.13789986 0.31037979],[ 2.64512157 -0.43635711  1.31773019  0.40374035],[False False False],[False False False],[False False False],[False False False],[-0.21108083 -0.11028962  0.04288473],[0.14055402 0.48807583 1.12213004],[-0.04159254  0.92105849 -0.59879668],[-0.56761336 -9.5011101   1.53791448],9.641496719230314,0.8487309930690474
2,0,[-0.04851022 -4.09727351  1.2641266 ],[0.13393906 0.44934039 1.13008866],[ 1.04967571 -0.21954881  0.16807731],[-4.82972137  1.1500812   4.41775278],[0.12944729 0.37918704 0.14174399 0.28522591],[ 2.64512157 -0.43635711  1.31773019  0.40374035],[False False False],[False False False],[False False False],[False False False],[ 0.62502846  0.204351   -0.10061936],[0.13940603 0.45096212 1.12967566],[-0.11065118  0.98572555 -0.48066984],[-0.62538114 -9.49436445  1.54779982],9.64000737120608,0.8469768269232678
2,0,[ 0.52611272 -3.23970455  0.89158065],[0.13902518 0.41895592 1.13466021],[ 1.08767471 -0.23768538  0.12220202],[-4.82423963  1.15691534  4.41476397],[0.30769864 0.51745032 0.3068757  0.43570894],[ 2.64512157 -0.43635711  1.31773019  0.40374035],[False False False],[False False False],[False False False],[False False False],[ 1.26411225  0.33197729 -0.19909383],[0.13424629 0.41772248 1.13581165],[-0.15662297  1.03965943 -0.39610746],[-0.66601287 -9.48220231  1.59543496],9.6385240875572,0.8446498152587535
2,0,[ 0.90747201 -1.90955493  0.59343773],[0.1474643  0.39976572 1.13747274],[ 1.12285471 -0.25260701  0.12901905],[-4.81852522  1.16399971  4.41179869],[0.34128396 0.45604334 0.3198086  0.44889316],[ 2.64512157 -0.43635711  1.31773019  0.40374035],[False False False],[False False False],[False False False],[False False False],[ 0.92922308  0.30124109 -0.1321691 ],[0.13398133 0.3959521  1.13991554],[-0.13895809  1.06705389 -0.45737978],[-0.69472742 -9.46466115  1.67578105],9.636944487928478,0.8433209211357136
3,0,[ 0.68703166 -0.92699578  0.71341157],[0.15544257 0.38976947 1.14151245],[ 1.15572987 -0.2678091   0.21629593],[-4.81248165  1.17141517  4.40917236],[0.71985634 0.74135125 0.74848325 0.80740158],[ 2.04687071 -0.64563525  0.86945683  0.17696221],[False False False],[False False False],[False False False],[False False False],[0.28325055 0.20207832 0.00994271],[0.13787089 0.38385449 1.14420474],[-0.08961041  1.08085613 -0.586842  ],[-0.73708685 -9.4479379   1.74076377],9.635200361976754,0.8408917199721353
3,0,[ 0.26752308 -0.60049869  1.22656688],[0.16183815 0.3838917  1.15089506],[ 1.18648783 -0.28891705  0.38563779],[-4.80576595  1.1794747   4.40794411],[0.338757   0.2804342  0.36995999 0.34096787],[ 2.04687071 -0.64563525  0.86945683  0.17696221],[False False False],[False False False],[False False False],[False False False],[-0.6125434  -0.00226059  0.1975933 ],[0.14767009 0.37762959 1.15223499],[-0.02607175  1.09563006 -0.71611794],[-0.8285736  -9.43330338  1.76726539],9.633118595936809,0.8362511346245572
3,0,[ 0.22421492 -1.09107653  1.37111879],[0.16753588 0.37408703 1.16151006],[ 1.21659943 -0.31397213  0.35442876],[-4.79885413  1.18771864  4.40664392],[0.21806195 0.15872737 0.21797028 0.15318121],[ 2.04687071 -0.64563525  0.86945683  0.17696221],[False False False],[False False False],[False False False],[False False False],[-0.96855053 -0.24227861  0.3940755 ],[0.16136973 0.3693955  1.15971786],[-0.03289154  1.14144166 -0.66223624],[-0.93101889 -9.41776326  1.78750153],9.631003200439668,0.834969242550373
3,0,[ 0.23563246 -1.52044679  1.25470996],[0.17281443 0.36065994 1.17075502],[ 1.24647726 -0.33919729  0.29374417],[-4.79187284  1.19602836  4.40488377],[0.2997187  0.25370517 0.27875744 0.23216536],[ 2.04687071 -0.64563525  0.86945683  0.17696221],[False False False],[False False False],[False False False],[False False False],[-0.81168205 -0.25751362  0.3514388 ],[0.17383174 0.35817037 1.1658653 ],[-0.01916342  1.1788441  -0.66143876],[-1.02127408 -9.40114922  1.81402439],9.628878020960759,0.8344092414467248
4,0,[ 0.03460892 -1.69607145  1.14002147],[0.17647756 0.34474257 1.17815733],[ 1.27560431 -0.36398525  0.23824815],[-4.78479886  1.20442263  4.40273882],[0.19615552 0.20081804 0.12535475 0.28909053],[ 2.2661767  -0.82604837  1.06081581  0.40569568],[False False False],[False False False],[False False False],[False False False],[-0.42538188 -0.10115497  0.09621921],[0.18221382 0.34357355 1.17166356],[-0.01185606  1.21818808 -0.64779226],[-1.09526423 -9.38626073  1.83637754],9.626722014400926,0.8336488407472802
4,0,[-0.3724066  -1.39467238  1.20431436],[0.17660634 0.33113701 1.18620956],[ 1.30175268 -0.39046164  0.17500709],[-4.77765594  1.21287856  4.40013949],[0.20899109 0.21919217 0.23664193 0.26502586],[ 2.2661767  -0.82604837  1.06081581  0.40569568],[False False False],[False False False],[False False False],[False False False],[ 0.34788705  0.14991047 -0.46518467],[0.18107332 0.32917841 1.18221481],[-0.03767533  1.27696132 -0.51896082],[-1.17630202 -9.37672037  1.8237918 ],9.624592864653547,0.8323039602008152
4,0,[-0.42983958 -1.39374198  1.35090398],[0.17602524 0.31782784 1.19537386],[ 1.32553939 -0.41861984  0.12861294],[-4.77042196  1.22141279  4.39716447],[0.32785694 0.34222629 0.38060139 0.3749276 ],[ 2.2661767  -0.82604837  1.06081581  0.40569568],[False False False],[False False False],[False False False],[False False False],[ 0.88292131  0.13763329 -0.63158852],[0.17338648 0.31451394 1.19670758],[-0.04505884  1.32922066 -0.41772307],[-1.26826815 -9.36644706  1.80372952],9.622487970985583,0.8305203126598663
4,0,[-0.30401179 -1.48384607  1.58654634],[0.17654978 0.30364328 1.20629379],[ 1.34726083 -0.44941548  0.11903734],[-4.76301242  1.23009297  4.39410592],[0.37056657 0.37734926 0.41553176 0.4077239 ],[ 2.2661767  -0.82604837  1.06081581  0.40569568],[False False False],[False False False],[False False False],[False False False],[ 0.66861201  0.02409431 -0.4576869 ],[0.16778656 0.29989827 1.21187498],[-0.0023686   1.35602174 -0.44789026],[-1.37657365 -9.35116065  1.79194032],9.620302002250579,0.8295831845324841
5,0,[-0.47504817 -1.34967774  1.64086136],[0.17703218 0.28930022 1.21834254],[ 1.36786273 -0.48235627  0.19073119],[-4.75531272  1.23900792  4.39138037],[0.79459959 0.75191443 0.71467392 0.75986677],[ 2.1336422  -0.66690826  1.43378401  0.18750216],[False False False],[False False False],[False False False],[False False False],[ 0.22388067 -0.03259862 -0.13827146],[0.16523952 0.28562077 1.22590078],[ 0.06522662  1.36902355 -0.54910398],[-1.4956405  -9.33295596  1.77874196],9.617948343436677,0.8277611799752798
