time/iterations,time/time_elapsed,rew_vec_envs,time/fps,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/clip_range,train/std,train/entropy_loss
1,187,-3.298589779995382,698,2228224,,,,,,,,,,,
2,342,-5.4575121509842575,766,2359296,112.57162447869777,-0.0029444420360960066,21.515810012817383,170,0.011197118,0.12377166748046875,0.001,0.620842307806015,0.2,1.0656483173370361,-5.919069626927376
3,497,-2.6683007718529552,790,2490368,84.09250132068992,-0.001729901741964568,47.3388557434082,180,0.011223229,0.14967727661132812,0.001,0.6569438576698303,0.2,1.070319414138794,-5.931647465191782
4,654,-5.618931293836795,801,2621440,112.98698812574148,-0.00251879272154838,12.418540000915527,190,0.011233045,0.11381378173828124,0.001,0.6586704850196838,0.2,1.0666710138320923,-5.942861036770045
5,809,-1.8868825875688344,809,2752512,96.74722760878504,-0.002176761378859737,15.04872989654541,200,0.012248537,0.13629302978515626,0.001,0.7414894104003906,0.2,1.0657635927200317,-5.917693544179201
6,966,-8.398841017740779,813,2883584,110.35683045759797,-0.0020085873513380646,44.92668914794922,210,0.013568848,0.1402435302734375,0.001,0.703351616859436,0.2,1.0580134391784668,-5.912585916742683
7,1119,-0.7228038721950725,819,3014656,67.53355681635439,-0.0006059529394633501,10.477967262268066,220,0.014144891,0.175274658203125,0.001,0.7507330477237701,0.2,1.0523097515106201,-5.883712853491306
8,1275,-2.348952190601267,822,3145728,275.7834030389786,-0.00018536011828018673,15.714773178100586,230,0.01688147,0.188360595703125,0.001,0.6152960956096649,0.2,1.048142671585083,-5.85746331885457
9,1430,4.146024991583545,824,3276800,214.40595684573054,-0.0009145302691194957,11.897810935974121,240,0.020413551,0.20140151977539061,0.001,0.6948184370994568,0.2,1.0382969379425049,-5.82487434130162
10,1585,7.02333560003899,826,3407872,124.29957235194743,0.0037884936432760695,5.11610746383667,250,0.024845865,0.2976249694824219,0.001,0.7310412228107452,0.2,1.0318381786346436,-5.800649250671268
11,1744,12.65593190654181,826,3538944,124.89692609980702,-0.0010418597518764728,95.85932922363281,260,0.01820135,0.18271560668945314,0.001,0.8247829377651215,0.2,1.0299396514892578,-5.77898001074791
12,1905,5.366386087262072,825,3670016,202.4512278407812,-0.0012666235884353227,22.417091369628906,270,0.018714411,0.19768524169921875,0.001,0.8053203076124191,0.2,1.0234220027923584,-5.755056235939264
13,2063,13.302766301203519,825,3801088,451.64738533347844,-0.0008985913602145956,27.07801628112793,280,0.018298656,0.18264389038085938,0.001,0.7385373413562775,0.2,1.0172176361083984,-5.740047669783235
14,2223,9.6882563814288,825,3932160,282.53160843998194,-0.002113857761764848,20.97315788269043,290,0.016433466,0.16345672607421874,0.001,0.847986489534378,0.2,1.012373447418213,-5.7162460122257475
15,2379,32.86524312221445,826,4063232,390.08111219704153,-0.0028014707466581966,34.15962219238281,300,0.014164348,0.14850845336914062,0.001,0.7782285809516907,0.2,1.0038896799087524,-5.699438883922994
16,2535,92.04417408094741,827,4194304,344.20703076422217,-0.0028033152434773,33.84299850463867,310,0.0146203125,0.15571212768554688,0.001,0.8323132395744324,0.2,0.9979009628295898,-5.659137703478336
