time/iterations,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/fps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/explained_variance,train/std,train/learning_rate,train/clip_range,train/value_loss
1,7372800,2618.771099090576,82,396,,,,,,,,,,,
2,7405568,3036.6094970703125,156,417,-0.010900317956111395,-1.1453827930614353,0.016289169,2577.279296875,0.158038330078125,2250,0.4132908582687378,0.3233906626701355,0.001,0.2,15128.079315948486
3,7438336,2327.124158859253,235,418,-0.010593137208343251,-1.1353937609121203,0.018157419,2743.683837890625,0.1576873779296875,2260,0.43446993827819824,0.32248255610466003,0.001,0.2,14141.781189727782
4,7471104,2545.758586883545,307,425,-0.01095988618726551,-1.1192670833319425,0.017535979,2481.310791015625,0.1558929443359375,2270,0.38489437103271484,0.3213084638118744,0.001,0.2,14240.19100227356
5,7503872,2351.359130859375,377,434,-0.011024953611558886,-1.108138620108366,0.01648556,2734.21484375,0.15999755859375,2280,0.3678954243659973,0.3204631805419922,0.001,0.2,15290.973885345458
6,7536640,2607.3362350463867,455,431,-0.011866157703843782,-1.09650360327214,0.01740126,3095.532470703125,0.1603118896484375,2290,0.41932517290115356,0.3194539248943329,0.001,0.2,16167.867999267579
7,7569408,2672.443332672119,531,431,-0.011107086289484869,-1.0802839199081062,0.017473321,2998.851318359375,0.1665252685546875,2300,0.4243468642234802,0.3180404305458069,0.001,0.2,15074.555899810792
8,7602176,2685.3128509521484,603,434,-0.01109407996700611,-1.0685951836407184,0.017081937,2737.715087890625,0.1623321533203125,2310,0.46613407135009766,0.31747743487358093,0.001,0.2,15314.201499176026
9,7634944,2803.6687088012695,679,433,-0.010680652167502558,-1.0584020752459764,0.016514169,3373.78955078125,0.158197021484375,2320,0.36159276962280273,0.3163517117500305,0.001,0.2,15424.50240097046
10,7667712,2932.395179748535,754,434,-0.01055435403577576,-1.0447424722835421,0.015278617,2518.382568359375,0.1460113525390625,2330,0.44778287410736084,0.31529077887535095,0.001,0.2,15985.27015991211
11,7700480,2381.3358116149902,828,435,-0.011233698529031244,-1.0324628634378314,0.019002432,2529.224365234375,0.17501220703125,2340,0.375135600566864,0.31465086340904236,0.001,0.2,14541.9583404541
