time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rew_vec_envs,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates
1,73,2129920,448,1275.6853580474854,,,,,,,,,,,
2,138,2162688,474,1301.6481370925903,-0.006397790327901021,0.001,8521.801265335083,1362.30078125,0.6224358081817627,0.2,0.6952259540557861,-3.767868931218982,0.007428765,0.051995849609375,650
3,212,2195456,463,1815.9280647039413,-0.0067772024987789335,0.001,8457.146937942505,1061.281494140625,0.6179202795028687,0.2,0.7504475861787796,-3.73804842941463,0.007776699,0.05963134765625,660
4,282,2228224,463,1393.6139240264893,-0.007096521822313661,0.001,7640.479409980774,1050.6597900390625,0.613625705242157,0.2,0.7175803482532501,-3.708525887876749,0.008483967,0.0697784423828125,670
5,349,2260992,469,1429.6346173286438,-0.006329879245095071,0.001,7089.867590141296,1129.4583740234375,0.6113049983978271,0.2,0.7393491566181183,-3.686538449302316,0.009110543,0.0744720458984375,680
6,412,2293760,476,1884.6617136001587,-0.007436166308980319,0.001,7608.628773117065,1202.5770263671875,0.6077998876571655,0.2,0.7044680118560791,-3.6676305029541254,0.008743068,0.064361572265625,690
7,476,2326528,481,1368.2801809310913,-0.006909167642879766,0.001,7265.673420906067,1165.9649658203125,0.6054315567016602,0.2,0.7414530813694,-3.646475666388869,0.008587195,0.0659210205078125,700
8,540,2359296,485,1696.925464630127,-0.007362981338883401,0.001,8460.70480670929,1250.7059326171875,0.6015933752059937,0.2,0.6667763292789459,-3.6252177450805902,0.008567564,0.064581298828125,710
9,605,2392064,487,1560.100419998169,-0.0073440067131741674,0.001,7583.093186378479,871.3392333984375,0.5998212099075317,0.2,0.6863527595996857,-3.6080239094793796,0.009156478,0.0752899169921875,720
10,676,2424832,484,1962.9058418273926,-0.007048478579963558,0.001,8869.455384445191,1181.0618896484375,0.5958030223846436,0.2,0.658193975687027,-3.5874008357524874,0.008034509,0.0657623291015625,730
