time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/std
1,65536,891,73,-56.23958021402359,,,,,,,,,,,
2,131072,1014,129,-45.96001988649368,-5.706880308315158,29.55058100223541,0.0807342529296875,6.7191619873046875,10,0.2,0.009159743785858154,-0.004627101456208038,0.007669762,0.001,1.0080499649047852
3,196608,1059,185,-50.31456047296524,-5.719804956763983,56.60137558877468,0.0811737060546875,8.772793769836426,20,0.2,0.20591282844543457,-0.0060534320568876865,0.008139823,0.001,1.011326551437378
4,262144,1078,243,-44.10572215914726,-5.737180078402162,69.03529586195945,0.0981781005859375,15.562631607055664,30,0.2,0.3349187970161438,-0.005364568048753427,0.009399968,0.001,1.0172288417816162
5,327680,1082,302,-43.038831770420074,-5.763578859716654,80.05160161405801,0.12683563232421874,16.566471099853516,40,0.2,0.33418768644332886,-0.0043682645353328555,0.011164796,0.001,1.021655797958374
6,393216,1077,364,-35.7855581343174,-5.77191763408482,62.56027128994465,0.14305877685546875,31.941368103027344,50,0.2,0.44293177127838135,-0.004547910894234519,0.011952314,0.001,1.0255310535430908
7,458752,1075,426,-37.37409633398056,-5.784043387696147,71.90169859826565,0.1645477294921875,28.711585998535156,60,0.2,0.37413865327835083,-0.0040922904549006486,0.013267803,0.001,1.024577021598816
8,524288,1074,487,-31.54881176352501,-5.780159332603216,71.58087627589703,0.18188934326171874,23.869325637817383,70,0.2,0.49100255966186523,-0.0030690159619553015,0.014532438,0.001,1.0250579118728638
9,589824,1070,550,-30.564906403422356,-5.753937835618854,78.05443930774928,0.1895355224609375,24.87558937072754,80,0.2,0.37297922372817993,-0.0027716635242541086,0.015044452,0.001,1.019108772277832
10,655360,1067,613,-30.747599989175797,-5.745524759590626,53.693633534014225,0.2261505126953125,8.888605117797852,90,0.2,0.4988980293273926,-0.0012780595863659983,0.019016873,0.001,1.0267609357833862
11,720896,1066,675,-26.449756175279617,-5.78212375678122,61.87376902326942,0.219232177734375,53.54731750488281,100,0.2,0.3542709946632385,-0.0023901515514808125,0.01810512,0.001,1.0274195671081543
12,786432,1065,737,-28.565569832921028,-5.782480034977198,38.292541798949244,0.25921630859375,5.78339958190918,110,0.2,0.3978111147880554,-0.0008840629690894275,0.02295155,0.001,1.0290218591690063
13,851968,1063,800,-24.93065644055605,-5.7869776576757435,57.94338510259986,0.22842864990234374,15.16883659362793,120,0.2,0.39407145977020264,-0.0012871945980805321,0.02245268,0.001,1.0324821472167969
14,917504,1062,863,-34.43014081940055,-5.793208529427647,395.7076263666153,0.23274383544921876,27.23171043395996,130,0.2,0.1633979082107544,-0.0013281129253300606,0.018614179,0.001,1.0315639972686768
15,983040,1061,925,-35.0477642826736,-5.799995322525501,199.79210756123067,0.2137176513671875,59.90683364868164,140,0.2,0.32843565940856934,-0.002214214520427049,0.019175947,0.001,1.0295804738998413
16,1048576,1061,988,-23.58501475211233,-5.793318628147245,61.058937224000694,0.209808349609375,10.875537872314453,150,0.2,0.3998643755912781,-0.001792013837984996,0.021750474,0.001,1.031033992767334
17,1114112,1060,1050,-15.53544358536601,-5.803041722625494,50.70311502665281,0.2494659423828125,27.076656341552734,160,0.2,0.47361820936203003,-0.0007962292920637992,0.021663956,0.001,1.033742904663086
18,1179648,1059,1113,-15.031404927372932,-5.792872891202569,330.33282666541635,0.3061920166015625,7.207898139953613,170,0.2,0.23012733459472656,0.0008714123515346728,0.026210077,0.001,1.032630443572998
