time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,time/iterations,train/std,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/loss
1081344,558,58,164.07910299301147,1,,,,,,,,,,,
1114112,610,107,309.6796889305115,2,0.7812912464141846,0.2,-0.0097227826143353,-4.645964735001326,0.001,69.52604525089264,0.3237091064453125,0.040489778,0.6158232986927032,330,6.580543518066406
1146880,621,158,175.84912967681885,3,0.7793556451797485,0.2,-0.00727424572178279,-4.6222238570451735,0.001,527.5143423214555,0.3354522705078125,0.041148707,0.4018895626068115,340,6.0588459968566895
1179648,616,212,284.926709651947,4,0.7726274728775024,0.2,-0.005923595048079733,-4.5916198015213014,0.001,653.900334045291,0.255499267578125,0.02580319,0.3133997917175293,350,1334.942138671875
1212416,610,268,196.34277820587158,5,0.7641783952713013,0.2,-0.007267252109159017,-4.546931117773056,0.001,1585.9180921554566,0.223138427734375,0.026279021,0.21635901927947998,360,19.397560119628906
1245184,605,324,172.60670518875122,6,0.7564906477928162,0.2,-0.0062380496470723305,-4.507418344169855,0.001,1167.6691809535027,0.254705810546875,0.029210556,0.20123982429504395,370,168.90127563476562
1277952,601,381,190.8263988494873,7,0.7526426315307617,0.2,-0.006573861352080712,-4.4793991327285765,0.001,3136.579575717449,0.204046630859375,0.021273807,0.2944837808609009,380,354.13458251953125
1310720,594,440,302.54903173446655,8,0.7443678379058838,0.2,-0.007514762636856176,-4.441000053286553,0.001,2552.0917790681124,0.2018096923828125,0.023120515,0.3408735990524292,390,1984.0450439453125
1343488,587,502,192.19057416915894,9,0.7445662617683411,0.2,-0.010596709148740047,-4.413113103061915,0.001,718.3673058778047,0.2503662109375,0.027017914,0.4521387219429016,400,23.901044845581055
1376256,585,559,178.20560503005981,10,0.74357008934021,0.2,-0.00715872619257425,-4.418231122195721,0.001,781.2424637794495,0.318304443359375,0.040879354,0.3717080354690552,410,113.4027099609375
1409024,583,617,337.04690885543823,11,0.7466439008712769,0.2,-0.005293102939322125,-4.431682012975216,0.001,539.7890412181616,0.2889862060546875,0.040507585,0.32167887687683105,420,17.929250717163086
1441792,582,675,175.8121304512024,12,0.7390034198760986,0.2,-0.006459512352012098,-4.4268324479460714,0.001,1889.9507764995099,0.1940887451171875,0.018522162,0.26220273971557617,430,26.24555206298828
1474560,579,735,213.24755430221558,13,0.7361289858818054,0.2,-0.008296325398987392,-4.39777984470129,0.001,517.5922651708127,0.20211181640625,0.025069483,0.38497811555862427,440,31.45275115966797
1507328,578,793,273.01773166656494,14,0.733931303024292,0.2,-0.006964877336577047,-4.36802252009511,0.001,774.7848296642303,0.28729248046875,0.0351831,0.5773140490055084,450,1447.2484130859375
1540096,577,851,246.6094536781311,15,0.7302777171134949,0.2,-0.004767632094444707,-4.353691558539867,0.001,119.84987679719924,0.38883056640625,0.04855915,0.48074090480804443,460,14.7420654296875
1572864,576,909,181.3856439590454,16,0.7274529933929443,0.2,-0.003959685997324413,-4.3202472746372225,0.001,760.1417144447565,0.3464263916015625,0.054373953,0.24028825759887695,470,37.55238342285156
1605632,575,968,227.52224588394165,17,0.7171755433082581,0.2,-0.005102598295343342,-4.300583718717098,0.001,1818.5474720180034,0.17620849609375,0.014554515,0.33737045526504517,480,879.9600830078125
1638400,574,1027,232.15834283828735,18,0.7137071490287781,0.2,-0.010779903563525295,-4.253625812381506,0.001,347.6552431046963,0.1972564697265625,0.023545304,0.3318381905555725,490,189.73724365234375
1671168,574,1084,482.8468999862671,19,0.7031627893447876,0.2,-0.007634894810325932,-4.210582093149424,0.001,1031.2230872392654,0.180657958984375,0.022140212,0.3036838173866272,500,63.604705810546875
1703936,574,1140,229.66126000881195,20,0.6990616917610168,0.2,-0.007605234729999211,-4.174531286954879,0.001,1372.5771285891533,0.1858978271484375,0.022169169,0.4773315191268921,510,261.6595764160156
1736704,572,1201,278.76083850860596,21,0.6930475234985352,0.2,-0.007214977630064822,-4.145664155483246,0.001,1372.3992089390754,0.1993927001953125,0.0212125,0.4249064326286316,520,109.36091613769531
1769472,572,1260,265.0029764175415,22,0.6851981282234192,0.2,-0.009463128038623836,-4.103217123448848,0.001,610.4487730681897,0.22303466796875,0.02670258,0.45514756441116333,530,34.34461212158203
1802240,570,1320,200.62508463859558,23,0.6772375702857971,0.2,-0.007625530450241058,-4.046443823724985,0.001,1451.2446669578553,0.163006591796875,0.017873786,0.5192533135414124,540,56.650630950927734
1835008,570,1378,232.70289516448975,24,0.6735806465148926,0.2,-0.006045969121987582,-4.019076222926378,0.001,2425.221013772488,0.1396820068359375,0.020180918,0.34899044036865234,550,313.04998779296875
1867776,566,1445,246.7315158843994,25,0.6664851903915405,0.2,-0.006405384793470148,-3.970597467944026,0.001,878.7420709013938,0.2471282958984375,0.031059245,0.4675787091255188,560,116.15508270263672
1900544,562,1515,240.97188520431519,26,0.6586602926254272,0.2,-0.00774148130803951,-3.93636173941195,0.001,1884.1303579688072,0.153436279296875,0.017571496,0.341117799282074,570,171.51231384277344
1933312,557,1586,503.3499436378479,27,0.6554158926010132,0.2,-0.006131635943529545,-3.912844147160649,0.001,1747.684491097927,0.1534027099609375,0.019971132,0.37542349100112915,580,2158.3466796875
1966080,556,1647,440.91191482543945,28,0.6469324827194214,0.2,-0.008316822857887018,-3.878173319250345,0.001,3081.7940551519396,0.119580078125,0.014612485,0.49024736881256104,590,1176.1033935546875
