time/total_timesteps,time/fps,rew_vec_envs,time/iterations,time/time_elapsed,train/clip_range,train/explained_variance,train/std,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/loss
5046272,414,-9831.036315917969,1,79,,,,,,,,,,,
5079040,437,-9767.216003417969,2,149,0.2,0.8202185034751892,0.3512859046459198,-1.1512558374553918,0.015235387,-0.007361277634481666,0.1393310546875,8041.404794883728,0.001,1540,839.0012817382812
5111808,446,-9763.711364746094,3,219,0.2,0.8842741847038269,0.3495748043060303,-1.1274223074316978,0.011108035,-0.00602872305571509,0.129217529296875,12192.696577072144,0.001,1550,3449.57470703125
5144576,449,-9551.683288574219,4,291,0.2,0.9145960956811905,0.34871330857276917,-1.1116120629012585,0.012636045,-0.007749892685751547,0.1190521240234375,14529.841082763673,0.001,1560,4141.6494140625
5177344,455,-9852.83349609375,5,359,0.2,0.927527979016304,0.34945905208587646,-1.1066664543002844,0.012320768,-0.007832172932830872,0.1172210693359375,14292.201524353028,0.001,1570,5361.21728515625
5210112,459,-9340.309448242188,6,427,0.2,0.9326324239373207,0.34824228286743164,-1.102647996507585,0.011119531,-0.007559582691828837,0.1152801513671875,13083.565412139893,0.001,1580,4344.216796875
5242880,461,-9616.526916503906,7,496,0.2,0.9273357540369034,0.3476649224758148,-1.0925252789631485,0.010092594,-0.007520584953090293,0.1072235107421875,12190.473181915284,0.001,1590,4576.22216796875
5275648,463,-9663.605041503906,8,565,0.2,0.9513320997357368,0.3474361002445221,-1.0844797033816576,0.01111361,-0.009122051851227298,0.11732177734375,9371.538243865967,0.001,1600,2452.492919921875
5308416,464,-9606.658508300781,9,635,0.2,0.9408408626914024,0.3460184931755066,-1.0696450339630246,0.011552347,-0.00729870526411105,0.104620361328125,8804.206184387207,0.001,1610,2352.84912109375
5341184,464,-9789.178161621094,10,705,0.2,0.9338013157248497,0.3465997576713562,-1.0643665606155992,0.012174413,-0.007028795884252759,0.1131256103515625,7574.764224624634,0.001,1620,2004.87353515625
5373952,463,-9726.747619628906,11,777,0.2,0.9325332045555115,0.34578102827072144,-1.0600972071290016,0.011203707,-0.0070281845684803555,0.114495849609375,7153.22215309143,0.001,1630,1975.7152099609375
