ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[ 1.15998665 -1.4227288   1.37961785],[0.00954212 0.21495121 1.93540336],[-0.57425731 -3.78645624 -0.76180613],[-0.70496678 -1.67775724  6.6378963 ],[0.24920661 0.33269204 0.18572776 0.34564008],[ 1.60926843  1.49969006  1.00638974 -2.10638785],[False False False],[False False False],[False False False],[False False False],[-0.56548132  0.04279662  0.69617929],[0.00937561 0.20509046 1.93031701],[ 3.07764857 -1.86351591  1.52732501],[ 2.91105    -7.69486465 -2.3125411 ],8.545934728830389,0.5078224866823788
[ 0.65051037 -0.52367646  1.22071098],[0.01852845 0.20865399 1.94602718],[-0.59897756 -3.7871412  -0.76635668],[-0.67339367 -1.67214543  6.63219838],[0.24276215 0.26126412 0.09694483 0.31890292],[ 1.60926843  1.49969006  1.00638974 -2.10638785],[False False False],[False False False],[False False False],[False False False],[-0.43687972 -0.02942732  0.44716196],[0.02220049 0.1989705  1.93664354],[ 3.06783874 -1.9101703   1.47707708],[ 2.82105585 -7.70873279 -2.27155739],8.51721141169569,0.5081653899478022
[-0.03196613  0.13533836  1.006647  ],[0.02145279 0.20851247 1.95520959],[-0.61385561 -3.7848869  -0.8076015 ],[-0.6418398  -1.66645266  6.62611771],[0.26069199 0.23737871 0.06686905 0.23837408],[ 2.42963767  1.36313224  0.95574611 -0.91428053],[False False False],[False False False],[False False False],[False False False],[-0.26414567 -0.03844973  0.06856266],[0.02778249 0.19910468 1.94424999],[ 3.04339117 -1.95001408  1.47634448],[ 2.75693057 -7.7044923  -2.25716536],8.488501829040787,0.5081484612655142
[-0.42458061  0.37235322  0.63495505],[0.01974022 0.21120536 1.96150519],[-0.61548213 -3.78116265 -0.87565752],[-0.61029905 -1.66069481  6.61957972],[0.21464879 0.20154128 0.05575913 0.11475429],[ 2.42963767  1.36313224  0.95574611 -0.91428053],[False False False],[False False False],[False False False],[False False False],[ 0.09498514 -0.11667862 -0.42012188],[0.02612307 0.20241272 1.95312646],[ 3.00191342 -1.97202912  1.57836207],[ 2.72144216 -7.68278046 -2.26570881],8.459598065419511,0.5065041787886095
[-0.53872771  0.38296145  0.31981317],[0.01615193 0.21436134 1.96485329],[-0.60540972 -3.7776346  -0.95953358],[-0.57876592 -1.65489114  6.61249085],[0.15767552 0.14830064 0.05616567 0.07483771],[ 2.42963767  1.36313224  0.95574611 -0.91428053],[False False False],[False False False],[False False False],[False False False],[ 0.16389018 -0.09325485 -0.57179291],[0.02132971 0.20646225 1.96122871],[ 2.96609378 -1.97689445  1.69520176],[ 2.70905048 -7.65019504 -2.28183401],8.43037396095227,0.5043870028930209
[-0.63548665  0.32685279  0.09328862],[0.01143525 0.21727322 1.96624828],[-0.58798397 -3.77387442 -1.04314261],[-0.54723961 -1.64904627  6.60482905],[0.29098627 0.26354002 0.22508203 0.21147856],[ 2.42963767  1.36313224  0.95574611 -0.91428053],[False False False],[False False False],[False False False],[False False False],[ 0.1278573  -0.04450417 -0.42995338],[0.01547274 0.20985367 1.9665487 ],[ 2.95591144 -1.97223382  1.72105642],[ 2.71059283 -7.61076986 -2.30372677],8.401088519448335,0.5041970979960875
[-0.72066908  0.19777256 -0.06975647],[0.00547758 0.21908013 1.96575499],[-0.5645422  -3.76954466 -1.11637606],[-0.51573049 -1.64313153  6.59673305],[0.13107314 0.11886651 0.14209786 0.15122821],[ 2.21446872  1.57423222  0.12834539 -1.03438008],[False False False],[False False False],[False False False],[False False False],[ 0.1140861  -0.02428917 -0.15630297],[0.00863964 0.21189152 1.96814171],[ 2.95107581 -1.95798416  1.75012633],[ 2.72338113 -7.56438091 -2.33461962],8.371804594576442,0.5039261248761128
[-0.77823295  0.16103037  0.01403136],[-9.49927199e-04  2.20562380e-01  1.96564155e+00],[-0.54261437 -3.76326983 -1.20968227],[-0.48422941 -1.63717585  6.5880645 ],[0.10022668 0.07307998 0.15970786 0.14213005],[ 2.21446872  1.57423222  0.12834539 -1.03438008],[False False False],[False False False],[False False False],[False False False],[ 0.06657845 -0.10529046  0.37440226],[1.26041488e-03 2.13865685e-01 1.96595129e+00],[ 2.91629228 -1.94698017  1.89885314],[ 2.73229634 -7.51759135 -2.3691496 ],8.342211506566358,0.5005802902462679
[-0.81217407  0.08600118  0.16225366],[-0.00740514  0.22141639  1.96670283],[-0.52560526 -3.75488478 -1.30528341],[-0.45273461 -1.63118582  6.57879322],[0.07941126 0.05733204 0.15377735 0.13915774],[ 2.21446872  1.57423222  0.12834539 -1.03438008],[False False False],[False False False],[False False False],[False False False],[ 0.01877891 -0.12589798  0.58207951],[-0.00537898  0.21568525  1.96220518],[ 2.87870774 -1.94548639  2.03364945],[ 2.73080573 -7.47311634 -2.40584003],8.312209931271529,0.497122918777822
[-0.83094456  0.04210608  0.3689942 ],[-0.01373444  0.22184648  1.96931086],[-0.51475211 -3.74432297 -1.39611833],[-0.42124814 -1.62515852  6.56893539],[0.17622659 0.18034443 0.25684428 0.24338511],[ 2.21446872  1.57423222  0.12834539 -1.03438008],[False False False],[False False False],[False False False],[False False False],[ 0.02353369 -0.17287173  0.41526455],[-0.01194351  0.21744543  1.96094996],[ 2.85915088 -1.95370367  2.05725035],[ 2.71701219 -7.43205457 -2.44460235],8.282129613786754,0.4967354676813134
