ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[ 1.79882257 -0.98377224  0.22052729],[-0.7650226   0.28734406 -0.48810505],[ 0.27212851  0.60848919 -0.09769783],[-5.05440331 -3.50710789  5.81847098],[0.63510613 0.66995624 0.63051564 0.76879901],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.03560886  0.07005894 -0.08292286],[-0.7626332   0.28601971 -0.48350335],[ 0.06182312 -0.43744958 -0.50583633],[3.95338797 7.270649   1.86131409],8.482694354782192,0.8457367913556939
[ 1.02037631 -0.10185171  0.80151184],[-0.75508428  0.29077578 -0.48342508],[0.29970875 0.66356135 0.16643658],[-5.05106542 -3.50383919  5.8147301 ],[0.80059535 0.802624   0.87091201 0.78368723],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.09407672 -0.23896217  0.02306701],[-0.75316451  0.29079062 -0.47875916],[ 0.11400539 -0.36357294 -0.67523164],[3.99312358 7.25933175 1.79491798],8.47730287352771,0.8300083285339143
[ 2.42647147 -1.52983924  1.00911932],[-0.73457445  0.28968511 -0.47045307],[0.33303611 0.72213286 0.39907252],[-5.04626776 -3.49908624  5.81231733],[0.41778178 0.42399136 0.47748772 0.29056951],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.02944534 -0.22787249  0.26902617],[-0.7326403   0.29185809 -0.46776566],[ 0.15003817 -0.31606768 -0.83629422],[4.06723963 7.24857543 1.63256678],8.470511098172551,0.8119140851767384
[ 3.04652675 -2.36696103  0.74280404],[-0.70438829  0.28011774 -0.45230234],[0.36957925 0.78282543 0.39178723],[-5.04099389 -3.49385104  5.80989081],[0.24805151 0.25195131 0.19902035 0.1783194 ],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.03114177 -0.11086827  0.24014739],[-0.70213824  0.2834158  -0.45175843],[ 0.13883568 -0.36123008 -0.91218818],[4.14173613 7.25234561 1.37017896],8.463325902280857,0.8072986048685145
[ 1.89618588 -2.37658227  0.39942932],[-0.68015666  0.26704813 -0.43546128],[0.40414309 0.84025148 0.39650077],[-5.03546046 -3.48834845  5.80717644],[0.72109514 0.60662631 0.50360059 0.74658705],[0.64974165 0.98703378 0.45151424 1.04243565],[False False False],[False False False],[False False False],[False False False],[-0.0203838  -0.00732137  0.12921353],[-0.67771317  0.27068572 -0.43631209],[ 0.1254815  -0.3980711  -0.99065047],[4.19436702 7.25358224 1.13830113],8.455938709609818,0.8019961984413418
[-1.21001012 -1.11524157 -0.02651175],[-0.68388851  0.2576692  -0.42654761],[0.43600512 0.88654082 0.65344616],[-5.02892519 -3.48178687  5.80540323],[0.78417393 0.87800085 0.78731297 0.86868386],[0.64974165 0.98703378 0.45151424 1.04243565],[False False False],[False False False],[False False False],[False False False],[-0.06924937  0.17143693 -0.09631688],[-0.68091612  0.26041873 -0.42706964],[ 0.15857579 -0.29946439 -1.19562029],[4.2109922  7.23679479 1.12315971],8.447789166428485,0.7823478042296718
[-0.0659851   0.12615992  0.12205214],[-0.6888628   0.25821494 -0.42661636],[0.4576827  0.93073873 0.91076685],[-5.02106376 -3.47377536  5.80518247],[0.2944385  0.4752416  0.54355408 0.3513468 ],[0.64974165 0.98703378 0.45151424 1.04243565],[False False False],[False False False],[False False False],[False False False],[ 0.05171891  0.09494967 -0.19938461],[-0.68580774  0.2598989  -0.42558452],[ 0.21286801 -0.19761155 -1.39081193],[4.20890737 7.22254102 1.15330618],8.43860859974317,0.761716183083995
[ 2.07118822 -0.42995195  0.63728526],[-0.67408565  0.25945341 -0.42202123],[0.48441694 0.99156613 0.92296782],[-5.012752   -3.46525875  5.80504286],[0.17421422 0.22723123 0.3831859  0.15152527],[0.64974165 0.98703378 0.45151424 1.04243565],[False False False],[False False False],[False False False],[False False False],[ 0.17208718  0.00213572 -0.1756344 ],[-0.67231358  0.26097478 -0.41944948],[ 0.22794542 -0.22667189 -1.48316882],[4.23766268 7.21199498 1.03899077],8.429125595876545,0.7556967081287489
[ 2.70505243 -1.07319892  0.89782834],[-0.64901475  0.25759118 -0.41099155],[0.52008801 1.05680283 0.86252334],[-5.00429445 -3.45657921  5.80446925],[0.15874009 0.1185098  0.17215847 0.08347553],[0.4384447  1.19087625 0.57493228 0.99196649],[False False False],[False False False],[False False False],[False False False],[ 0.23165665 -0.01284719 -0.06501912],[-0.64896911  0.25921365 -0.40752256],[ 0.20301786 -0.33031366 -1.51129097],[4.29361813 7.19399186 0.83609224],8.41948488478035,0.7539139466189453
[ 2.22625124 -1.43293757  0.69917507],[-0.62601797  0.25258348 -0.39871445],[0.55727677 1.11720894 0.8003181 ],[-4.99575756 -3.44781201  5.80335525],[0.43536523 0.36508097 0.29659927 0.30744326],[0.4384447  1.19087625 0.57493228 0.99196649],[False False False],[False False False],[False False False],[False False False],[ 0.16660015 -0.13379464  0.26333823],[-0.6275585   0.25505047 -0.3969354 ],[ 0.13968407 -0.49340379 -1.44415828],[4.3446194  7.17167543 0.63768389],8.409238193389328,0.7521337090063931
