ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[-0.65068389  1.49475813 -3.28643455],[-0.22528998  0.10242046  1.54032193],[-1.58815282  0.1229018  -0.50783008],[2.86666012 0.96575205 4.47789134],[0.15055077 0.14195704 0.64939988 0.75466382],[ 1.53904688 -2.33609486 -2.53922176 -0.64648271],[False False False],[False False False],[False False False],[False False False],[-0.01464135  0.15441278  0.30082976],[-0.22856257  0.10019249  1.55155848],[-0.12942989 -1.67522791  0.1424461 ],[0.91787507 1.24451869 0.58886148],1.6547142545032332,0.7326552885921336
[-1.23314308  1.88559897 -0.07554648],[-0.23685798  0.11704734  1.53041901],[-1.57346091  0.13527596 -0.47832833],[2.86600244 0.95223997 4.47526531],[0.10360532 0.08160278 0.55091954 0.49035861],[ 1.53904688 -2.33609486 -2.53922176 -0.64648271],[False False False],[False False False],[False False False],[False False False],[-0.03107967  0.55262429  0.60611004],[-0.2399853   0.11048802  1.53681266],[-0.13549482 -1.66538803  0.13394542],[0.91323198 1.24257985 0.62137993],1.6625613868559723,0.7340815377610296
[-0.63005126  0.95968333  1.78094552],[-0.24267688  0.12979139  1.53997395],[-1.55723227  0.17604975 -0.50189959],[2.86519378 0.93880674 4.47263214],[0.140195   0.21483488 0.38934743 0.20322839],[ 1.53904688 -2.33609486 -2.53922176 -0.64648271],[False False False],[False False False],[False False False],[False False False],[-0.09220079  0.43161238  0.52315259],[-0.24519341  0.11927159  1.5417325 ],[-0.19433022 -1.64173983  0.08914112],[0.93491976 1.22540002 0.6435393 ],1.6702763207739548,0.7356494652498128
[0.36061053 0.21488433 1.70544065],[-0.23964054  0.13661322  1.55459229],[-1.54181043  0.21853299 -0.53550577],[2.86429579 0.9254253  4.46970787],[0.46264581 0.45717932 0.3000492  0.10475657],[ 0.75200063  0.75409305 -0.26113203 -0.26343608],[False False False],[False False False],[False False False],[False False False],[-0.17432975 -0.00651869  0.23735451],[-0.24096231  0.12472183  1.55352937],[-0.26216488 -1.62234382  0.08292274],[0.96489759 1.2094976  0.64930409],1.6779474402489587,0.736330023868979
[ 0.83495472 -0.39690578 -0.29177652],[-0.23299151  0.13496886  1.55739395],[-1.53136916  0.23745058 -0.52723861],[2.86324948 0.91213139 4.46672764],[0.54765385 0.54507729 0.18037342 0.06743536],[ 0.75200063  0.75409305 -0.26113203 -0.26343608],[False False False],[False False False],[False False False],[False False False],[-0.2037427  -0.68025666 -0.3607691 ],[-0.23250333  0.12744893  1.55812976],[-0.29131671 -1.62286974  0.14032443],[0.98190705 1.20926386 0.64393475],1.6855599915290675,0.7360988978004088
[ 0.92129535 -0.67076987 -2.73662576],[-0.22749254  0.12591357  1.54057317],[-1.52728083  0.22387719 -0.51306311],[2.86203296 0.89893933 4.46379241],[0.47337661 0.43924475 0.12436627 0.05328198],[ 0.75200063  0.75409305 -0.26113203 -0.26343608],[False False False],[False False False],[False False False],[False False False],[-0.25311695 -0.90791616 -0.70290502],[-0.22489578  0.12582596  1.54696522],[-0.2511974  -1.63060149  0.18465314],[0.97541508 1.229904   0.63443049],1.6931038007122559,0.7360535719237111
[ 0.8361102  -0.84757277 -4.31885791],[-0.22434148  0.11139655  1.50919052],[-1.52799013  0.18682745 -0.53300717],[2.86070674 0.88581411 4.46066559],[0.20271015 0.2554988  0.07701506 0.10534959],[ 0.75200063  0.75409305 -0.26113203 -0.26343608],[False False False],[False False False],[False False False],[False False False],[-0.20653243 -0.82577358 -0.61337624],[-0.2198734   0.11841546  1.5209733 ],[-0.15460623 -1.6298964   0.17355084],[0.95064686 1.26469552 0.6235358 ],1.700582580766155,0.7369450698026725
[ 0.56534973 -0.41758787 -4.76197677],[-0.22224638  0.09780636  1.47119247],[-1.52843637  0.14025016 -0.5494263 ],[2.85931108 0.87273113 4.45718921],[0.3900843  0.39452995 0.56954856 0.70201054],[ 0.96901345 -2.73219681 -2.88228893 -0.63586199],[False False False],[False False False],[False False False],[False False False],[-0.08236757 -0.59266732 -0.29936893],[-0.21667538  0.1104769   1.48634125],[-0.03979599 -1.62458731  0.16618176],[0.91519097 1.30417705 0.61561594],1.7080501395105054,0.7377918056808903
[-1.01615083  1.19135222 -2.41686662],[-0.22973966  0.09784315  1.44371821],[-1.52114619  0.11950152 -0.46621648],[2.85765098 0.85979851 4.45426526],[0.16260013 0.17984751 0.61467326 0.78492854],[ 0.96901345 -2.73219681 -2.88228893 -0.63586199],[False False False],[False False False],[False False False],[False False False],[0.07990809 0.1932501  0.23242103],[-0.22441795  0.11062376  1.45790818],[ 0.02690848 -1.6052546   0.11762795],[0.88902453 1.32399713 0.63147508],1.7152532710383104,0.7403185943936421
[-2.15139288  2.29698643  0.76612582],[-0.24734095  0.11635661  1.44049034],[-1.50532753  0.14641223 -0.44244528],[2.85573694 0.84701077 4.45185201],[0.08725206 0.10225933 0.48182609 0.43262767],[ 0.96901345 -2.73219681 -2.88228893 -0.63586199],[False False False],[False False False],[False False False],[False False False],[0.15516363 0.62630454 0.56536764],[-0.24331215  0.12420562  1.45021645],[-0.00603098 -1.59464276  0.09644411],[0.89098782 1.31029225 0.67483342],1.722244243710844,0.741657664850386
