step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
2,0,[ 1.8041832   0.78762672 -0.48769429],[-0.57741548  0.06367002 -2.51778139],[ 0.07933718  1.07186639 -0.80127084],[4.01916579 4.69466699 3.03492598],[0.28980992 0.31344348 0.30107823 0.29422302],[-1.97179782 -2.06524348 -0.10286923 -0.70459127],[False False False],[False False False],[False False False],[False False False],[-0.34722265 -0.05666117 -0.08730308],[-0.5747811   0.06394302 -2.51421099],[0.64558024 0.28087938 1.0754922 ],[ 6.50952773  0.20587979 -0.29372569],6.519402774029911,0.7748784277473335
3,0,[ 1.80618131  0.83658518 -0.5422656 ],[-0.56294204  0.06708998 -2.52516773],[ 0.08478372  1.10588772 -0.75026854],[4.0216022  4.69123088 3.02449165],[0.7142078  0.7520812  0.76377996 0.73905877],[-2.69933915 -2.00715733 -0.25428689 -0.73673719],[False False False],[False False False],[False False False],[False False False],[-0.14425458 -0.0947367  -0.06453412],[-0.5584563   0.06801555 -2.52096695],[0.66727926 0.3706467  1.00849317],[ 6.5098403   0.2216521  -0.24675277],6.518284845433443,0.778878877489457
3,0,[ 2.08033088  0.8093715  -0.30217387],[-0.54596754  0.07154084 -2.53146396],[ 0.09053363  1.14066471 -0.60237749],[4.02461528 4.68678448 3.01517433],[0.28545849 0.29030089 0.32605926 0.29772443],[-2.69933915 -2.00715733 -0.25428689 -0.73673719],[False False False],[False False False],[False False False],[False False False],[ 0.34227499 -0.01957187  0.11369287],[-0.54320187  0.07320307 -2.52775633],[0.69028378 0.45932532 0.94088873],[ 6.51008284  0.22827064 -0.2001946 ],6.517159189508804,0.7780402785212268
3,0,[ 1.90206474  0.63704977 -0.20531424],[-0.52989374  0.07546816 -2.53595418],[ 0.09785858  1.17294458 -0.6503956 ],[4.027772   4.68207675 3.00564909],[0.1544275  0.12434458 0.14353127 0.14946999],[-2.69933915 -2.00715733 -0.25428689 -0.73673719],[False False False],[False False False],[False False False],[False False False],[0.3551952  0.05469413 0.19858918],[-0.53039178  0.07655695 -2.53379679],[0.70084778 0.44378465 1.03582071],[ 6.50992499  0.22763711 -0.16204675],6.51591906230132,0.7684737625383238
3,0,[ 1.59897429  0.53324436 -0.20070655],[-0.51628642  0.07870456 -2.53974747],[ 0.10541864  1.20460092 -0.71398487],[4.0309702  4.6772884  2.99559242],[0.29602932 0.28792173 0.27250136 0.2773477 ],[-2.69933915 -2.00715733 -0.25428689 -0.73673719],[False False False],[False False False],[False False False],[False False False],[0.22020855 0.07426442 0.15020838],[-0.51882272  0.07921655 -2.53897345],[0.71877045 0.47311109 1.05299437],[ 6.50942918  0.2267147  -0.12939449],6.51466121055066,0.7672413591804108
4,0,[ 1.5219195  -0.02614423 -0.38218971],[-0.50404555  0.07918999 -2.54304716],[ 0.1099999   1.23692406 -0.68012399],[4.03431991 4.67219809 2.98543687],[0.75267244 0.68806697 0.77556836 0.65148755],[-2.74502683 -2.02578759 -0.33169851 -0.61533606],[False False False],[False False False],[False False False],[False False False],[0.07736429 0.0342092  0.05675231],[-0.50766548  0.07925226 -2.54301153],[0.74375193 0.54684135 0.99256904],[ 6.50825598  0.23259262 -0.11415786],6.513411340190744,0.769585034698149
4,0,[ 1.99138078 -1.18370101 -0.3811255 ],[-0.48809074  0.06902285 -2.54129848],[ 0.1072375   1.26936445 -0.5381023 ],[4.03811467 4.66620503 2.97637278],[0.31564218 0.3848765  0.35683092 0.37000682],[-2.74502683 -2.02578759 -0.33169851 -0.61533606],[False False False],[False False False],[False False False],[False False False],[-0.149312   -0.12737325 -0.08471493],[-0.49101453  0.06929381 -2.5408593 ],[0.7738817  0.63152093 0.9117387 ],[ 6.50520212  0.24165503 -0.17768957],6.512113736165747,0.7679956545863422
4,0,[ 1.9889074  -0.64882758 -0.34311148],[-0.47119845  0.06166728 -2.54070374],[ 0.10565652  1.29889617 -0.57086015],[4.04206705 4.65989271 2.9672718 ],[0.14851579 0.26181814 0.15418601 0.275189  ],[-2.74502683 -2.02578759 -0.33169851 -0.61533606],[False False False],[False False False],[False False False],[False False False],[-0.39190356 -0.47221296 -0.15951094],[-0.47110041  0.06553122 -2.5389934 ],[0.78873467 0.63430275 0.98033088],[ 6.50227626  0.24627615 -0.22167111],6.510713217264273,0.760341594530678
4,0,[ 1.6136262   0.14008657 -0.29588066],[-0.4569337   0.06003094 -2.54277995],[ 0.10709703  1.32756785 -0.6250627 ],[4.04608537 4.65345036 2.95776537],[0.26970849 0.34010541 0.26101482 0.36175691],[-2.74502683 -2.02578759 -0.33169851 -0.61533606],[False False False],[False False False],[False False False],[False False False],[-0.37640009 -0.44857913 -0.13762461],[-0.4536019   0.06780291 -2.53986307],[0.80535499 0.67039989 0.9804623 ],[ 6.50067131  0.24912376 -0.22420656],6.509305548765874,0.7597448482050438
5,0,[ 1.33651368  1.13633158 -0.33636265],[-0.44574267  0.06535064 -2.54818854],[ 0.11273206  1.3575926  -0.57580489],[4.05026677 4.64669158 2.94828637],[0.73068612 0.78813956 0.72808165 0.75464892],[-2.86083674 -1.7676568  -0.32219234 -0.48651507],[False False False],[False False False],[False False False],[False False False],[-0.23134744 -0.20524157 -0.05455434],[-0.44005496  0.07561522 -2.54456721],[0.82452384 0.74131494 0.90593488],[ 6.50062173  0.25249929 -0.17661146],6.507920591550193,0.7616909138197085
