aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,0.005524756781984053,0.24482359277811788,0.0,-0.8630870278620957,0.0,0.0,1.1917653548291727,0.3691297213790434,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,0.0012783245615439753,0.2449002377390344,0.0,-0.8537359313136714,0.0,0.0,1.1872504987964525,0.46264068686328613,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,0.001690306710042222,0.24500165777148933,0.0,-0.8437338535246616,0.0,0.0,1.1837921728683618,0.5626614647533847,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,28,0,0,0.11666666666666667,0.0017865495751809846,0.24510894382089304,0.0,-0.8420394203948101,0.0,0.0,1.1818003202523248,0.5796057960519,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,30,1,0,0.125,0.0018379429543688985,0.24521941424899618,0.0,-0.8396545554074957,0.0,0.0,1.1810880460301392,0.6034544459250436,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,32,1,0,0.13333333333333333,0.0021084970714007056,0.2453462691676507,0.0,-0.8296334374539152,0.0,0.0,1.1810988437080274,0.703665625460849,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,34,1,0,0.14166666666666666,0.002503801150920637,0.24549707759798317,0.0,-0.8189893649073877,0.0,0.0,1.1819883631981944,0.8101063509261235,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,36,1,0,0.15,0.0025870977065718392,0.2456530980037786,0.0,-0.8174162672903933,0.0,0.0,1.1835517166525142,0.825837327096067,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,38,2,0,0.15833333333333333,0.0026382050632802745,0.24581240490529369,0.0,-0.8145449776397935,0.0,0.0,1.1850905757696788,0.8545502236020653,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,40,2,0,0.16666666666666666,0.002952659439004357,0.245990945211447,0.0,-0.8019478349775917,0.0,0.0,1.185767625207359,0.980521650224083,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,42,2,0,0.175,0.0033865893552063042,0.24619604382760696,0.0,-0.7891709849116034,0.0,0.0,1.1872780490811983,1.1082901508839664,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,44,2,0,0.18333333333333332,0.003498572684598855,0.24640828384615507,0.0,-0.7866701121181481,0.0,0.0,1.1896201765673893,1.1332988788185197,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,46,3,0,0.19166666666666668,0.003553271115259271,0.24662421702039908,0.0,-0.7838016533177121,0.0,0.0,1.1924583366677948,1.1619834668228795,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,48,3,0,0.2,0.0037785648484769396,0.2468542569470596,0.0,-0.7742400978140531,0.0,0.0,1.1955268097788108,1.257599021859469,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,50,3,0,0.20833333333333334,0.004118603668996634,0.24710548782353364,0.0,-0.7636940855405984,0.0,0.0,1.198759153078376,1.3630591445940163,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,52,3,0,0.21666666666666667,0.004207520209749127,0.24736267112267116,0.0,-0.7611937847188774,0.0,0.0,1.2019829208459396,1.3880621528112256,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,54,4,0,0.225,0.004265330736865636,0.2476239350766009,0.0,-0.7573035180187772,0.0,0.0,1.2049656677281053,1.4269648198122284,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,56,4,0,0.23333333333333334,0.004545456307012863,0.24790296567509001,0.0,-0.7447335224922718,0.0,0.0,1.207674416612313,1.5526647750772833,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,58,4,0,0.24166666666666667,0.0048782404158291826,0.24820312522663177,0.0,-0.7335636707587911,0.0,0.0,1.211068343383093,1.6643632924120881,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,60,4,0,0.25,0.004944491087806924,0.24850810384993674,0.0,-0.7312579377983266,0.0,0.0,1.2147023108884356,1.687420622016734,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,62,5,0,0.25833333333333336,0.0049794032522259,0.24881599425023093,0.0,-0.7276401097871477,0.0,0.0,1.2183319083854893,1.7235989021285232,1,1,0,0,0,0,0,0,0,0,0,0,0,0
