time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,time/iterations,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
16384,609,26,56.99095320701599,1,,,,,,,,,,,
32768,647,50,57.91737389564514,2,-0.00879359245300293,0.9916451573371887,0.2,3.15791654586792,0.007541388,10,-5.645484003424644,9.25893177986145,0.001,0.105548095703125,-0.0039316009009780824
49152,665,73,69.9513373374939,3,0.2159441113471985,0.98153156042099,0.2,3.394244432449341,0.03136356,20,-5.60782238394022,10.45579378530383,0.001,0.16549072265625,0.001850917498813942
65536,681,96,169.00986528396606,4,0.4740416407585144,0.9720468521118164,0.2,2.125216245651245,0.0089064045,30,-5.575255763530731,7.49942520186305,0.001,0.11124267578125,-0.003950138276923099
81920,688,118,84.001549243927,5,0.4519943594932556,0.9634860157966614,0.2,3.089470624923706,0.009198274,40,-5.540786728262901,46.08531894832849,0.001,0.106072998046875,-0.005902997107841657
98304,691,142,110.42167854309082,6,0.7598535716533661,0.9567798972129822,0.2,2.7349369525909424,0.0090697855,50,-5.505986185371876,8.33633986711502,0.001,0.10079345703125,-0.003994700348994229
114688,692,165,70.1555666923523,7,0.27249783277511597,0.9583113789558411,0.2,152.31549072265625,0.0075279213,60,-5.502574075758457,153.6595382332802,0.001,0.091351318359375,-0.0019507397126290015
131072,692,189,122.70622682571411,8,0.7471000552177429,0.9515003561973572,0.2,4.135897636413574,0.0088798255,70,-5.485714037716389,12.431508788466454,0.001,0.11083984375,-0.004849234467656061
147456,693,212,120.15067386627197,9,0.4457179307937622,0.9449695944786072,0.2,53.91950225830078,0.034490995,80,-5.458993382751942,51.57949052751064,0.001,0.20347900390625,-0.0006019937143719289
163840,689,237,234.80591535568237,10,0.7356691062450409,0.9344528317451477,0.2,2.9660346508026123,0.011229193,90,-5.415119498968124,15.795774646103382,0.001,0.1508056640625,-0.0015457705592780257
