time/iterations,rew_vec_envs,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/std,train/clip_fraction
1,7.93933130800724,55,1187,65536,,,,,,,,,,,
2,9.627622932195663,102,1282,131072,0.006495758,0.13933639228343964,0.0001,0.009057879447937012,10,18.117473194550257,-5.6634929109364744,0.2,-0.00457945454363653,0.9950699806213379,0.06090240478515625
3,9.890179604291916,148,1321,196608,0.007449585,0.12231224775314331,0.0001,0.4405049681663513,20,0.4608554835547693,-5.642454439401627,0.2,-0.008367459877445072,0.9896758794784546,0.0817657470703125
4,11.765364199876785,195,1343,262144,0.0076909754,0.16423283517360687,0.0001,0.6560714244842529,30,0.5640201554866507,-5.62240945585072,0.2,-0.0093107601021984,0.9852851033210754,0.08694915771484375
5,12.499046996235847,244,1338,327680,0.008282239,0.4231736361980438,0.0001,0.6784088909626007,40,0.8594439544947818,-5.6035990010946986,0.2,-0.009435908866544196,0.9798671007156372,0.0887481689453125
6,17.77971014380455,292,1345,393216,0.008177314,11.274638175964355,0.0001,0.2406604290008545,50,13.603337435983121,-5.580007759481669,0.2,-0.006684202419455687,0.9739840030670166,0.09230194091796876
7,24.139221489429474,339,1352,458752,0.008203183,5.828330993652344,0.0001,0.44025248289108276,60,13.308497728221118,-5.555900621786714,0.2,-0.005751975164275791,0.967136561870575,0.0914215087890625
8,19.14978352189064,386,1357,524288,0.008100229,1.7160495519638062,0.0001,0.2294667363166809,70,94.26295061493292,-5.5299581788480285,0.2,-0.0056024153442194805,0.9612312912940979,0.08180694580078125
9,22.151753157377243,435,1354,589824,0.007501628,7.283272743225098,0.0001,0.20221078395843506,80,259.1902961298823,-5.512990633398294,0.2,-0.002888817237999319,0.9582639932632446,0.0690521240234375
10,20.07459545135498,484,1353,655360,0.00544963,795.3350830078125,0.0001,0.17977255582809448,90,890.4456546630711,-5.500789861381054,0.2,-0.0022814454438048414,0.9556987881660461,0.03563690185546875
11,25.86304822564125,535,1346,720896,0.0065940176,38.9874382019043,0.0001,0.4513964056968689,100,198.91924398578703,-5.483717533946037,0.2,-0.0037232690340715637,0.951183021068573,0.06606292724609375
12,23.838796228170395,584,1345,786432,0.008209767,133.1581573486328,0.0001,0.4047771096229553,110,223.70928012672812,-5.468921327963471,0.2,-0.004305816054966272,0.9479339122772217,0.08629913330078125
13,25.323011875152588,634,1342,851968,0.008104585,22.21907615661621,0.0001,0.39457154273986816,120,206.54409139528872,-5.455505723506212,0.2,-0.004213209288172948,0.9449506998062134,0.09036712646484375
14,31.823035091161728,683,1342,917504,0.0066882386,60.66355895996094,0.0001,0.34166091680526733,130,371.1050154671073,-5.44986419044435,0.2,-0.0029542257972025253,0.9458556175231934,0.0587554931640625
15,16.929382383823395,734,1338,983040,0.0081431065,124.60082244873047,0.0001,0.37969541549682617,140,743.4439725056291,-5.436090082675219,0.2,-0.0032314631951521735,0.9379280209541321,0.06817779541015626
16,31.967917948961258,784,1336,1048576,0.006202913,1320.9600830078125,0.0001,0.33323657512664795,150,1516.795273220539,-5.409255398437381,0.2,-0.0027202842675251304,0.9332462549209595,0.04174346923828125
