time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/std
1,2162688,853,76,81.95777440909296,,,,,,,,,,,
2,2228224,955,137,-0.32996964640915394,-5.615128397569061,597.6447440713644,0.1074249267578125,27.119722366333008,330,0.2,0.5727292001247406,-0.005448562377569033,0.012952858,0.001,0.9809333682060242
3,2293760,984,199,-1.2153672203421593,-5.577159034833312,458.35928996503355,0.1396697998046875,27.40224838256836,340,0.2,0.7458522617816925,-0.005906774493450939,0.01681298,0.001,0.9751118421554565
4,2359296,999,262,59.61326814442873,-5.561764914914965,427.87220709323884,0.158990478515625,241.6045684814453,350,0.2,0.6869624853134155,-0.006607411958430021,0.021011975,0.001,0.9682399034500122
5,2424832,1009,324,22.501995414495468,-5.525559070706367,474.33545058071616,0.147515869140625,34.81135177612305,360,0.2,0.6958891153335571,-0.006732113293219299,0.017429266,0.001,0.9602596759796143
6,2490368,1012,388,88.73686606343836,-5.484834415465594,481.7489009618759,0.13763580322265626,59.34016799926758,370,0.2,0.7215952277183533,-0.0065511862581843164,0.01637417,0.001,0.948610782623291
7,2555904,1013,452,8.871497284621,-5.425394491478801,679.5809928119182,0.126171875,251.78683471679688,380,0.2,0.7094933092594147,-0.006270055599998159,0.014686691,0.001,0.936600923538208
8,2621440,1015,516,18.32696602679789,-5.384339508414269,1046.8520524322987,0.10934906005859375,161.16799926757812,390,0.2,0.7101953029632568,-0.006847185741207795,0.012543302,0.001,0.9248008131980896
9,2686976,1017,579,40.505792485084385,-5.334276101365686,1086.728450334072,0.10578460693359375,124.38917541503906,400,0.2,0.7245917320251465,-0.006862310309588793,0.0121840285,0.001,0.9171946048736572
10,2752512,1016,644,43.536783955059946,-5.295235103741288,1110.8399558424949,0.09210662841796875,274.5508728027344,410,0.2,0.7668599635362625,-0.007259672800500994,0.011527123,0.001,0.9055496454238892
11,2818048,1016,709,148.84930287464522,-5.257766726985574,1012.4949887514115,0.10511932373046876,206.00869750976562,420,0.2,0.7950297147035599,-0.006913940495360293,0.01166697,0.001,0.8979734182357788
12,2883584,1018,772,63.903351198881865,-5.2127606518566605,1128.23169246912,0.0972015380859375,155.24847412109375,430,0.2,0.8050893396139145,-0.006897809253314335,0.011023125,0.001,0.8892595767974854
13,2949120,1016,838,77.76805208995938,-5.18670671582222,1289.4353957176208,0.09606475830078125,159.3101043701172,440,0.2,0.8071846663951874,-0.007441786061099265,0.011114135,0.001,0.8838528990745544
14,3014656,1016,902,16.35859156958759,-5.170075672492385,1633.558641886711,0.0811553955078125,265.9327392578125,450,0.2,0.776111289858818,-0.006443794180177065,0.009465162,0.001,0.8809441328048706
15,3080192,1016,967,210.09860005788505,-5.14250228330493,1834.439694571495,0.08079071044921875,290.7657470703125,460,0.2,0.7980184108018875,-0.00725856823646609,0.009660702,0.001,0.8740217685699463
16,3145728,1014,1033,67.94168251752853,-5.116709306836128,1843.6665040254593,0.08377685546875,279.0093688964844,470,0.2,0.7837755382061005,-0.006852079514828802,0.010117961,0.001,0.8689267635345459
17,3211264,1011,1100,108.78743941755965,-5.089376778528094,1873.1287894487382,0.0879669189453125,182.0529327392578,480,0.2,0.8081857562065125,-0.007338138062914367,0.010611568,0.001,0.8624544143676758
18,3276800,1010,1167,95.52670975029469,-5.060419622436166,1877.3641321420669,0.0825592041015625,258.3426818847656,490,0.2,0.8215330690145493,-0.00718371774910338,0.009798276,0.001,0.8548961877822876
19,3342336,1009,1233,149.4331129230559,-5.026285647973419,2313.9780688524247,0.08219146728515625,355.6129150390625,500,0.2,0.7895285487174988,-0.006489334599427821,0.009787473,0.001,0.8483273983001709
20,3407872,1008,1300,268.3202275489457,-4.993763662874699,2137.070997285843,0.08886260986328125,482.8250427246094,510,0.2,0.8207430690526962,-0.007605072135447699,0.0099530425,0.001,0.8428145051002502
21,3473408,1006,1366,194.28605192899704,-4.963089498132467,2057.6557985782624,0.094818115234375,292.2664794921875,520,0.2,0.8013430088758469,-0.007870335074403555,0.010670033,0.001,0.8354867696762085
22,3538944,1005,1434,180.40494009200484,-4.930849489197135,2514.3897894144056,0.08309783935546874,354.7359313964844,530,0.2,0.8008458465337753,-0.0072692159899816035,0.00979919,0.001,0.8296069502830505
23,3604480,1003,1502,197.25017496943474,-4.907879506796599,2058.257017445564,0.09822540283203125,305.6648254394531,540,0.2,0.7915132194757462,-0.007508518689792254,0.011243048,0.001,0.8251028656959534
24,3670016,1001,1570,256.0241381302476,-4.902941628918052,2573.7861636161806,0.0751922607421875,330.1380310058594,550,0.2,0.7906240969896317,-0.00677928384830011,0.009677485,0.001,0.8242618441581726
25,3735552,999,1639,440.8025388456881,-4.882997874170542,2722.127717208862,0.08422393798828125,320.27398681640625,560,0.2,0.8025586605072021,-0.007726808787174378,0.009514534,0.001,0.8196718096733093
26,3801088,997,1708,275.5297190118581,-4.862272943556309,2649.7590671539306,0.07889862060546875,377.1323547363281,570,0.2,0.7859762907028198,-0.00729010021987051,0.009989175,0.001,0.8142813444137573
27,3866624,995,1776,304.1159558072686,-4.8269190523773435,3106.2219314098356,0.07546539306640625,494.84954833984375,580,0.2,0.8038690537214279,-0.0072997885339646015,0.009110652,0.001,0.8065860271453857
28,3932160,993,1846,370.7095092050731,-4.7905416585505005,2742.4513700008392,0.0865234375,397.23577880859375,590,0.2,0.8016646057367325,-0.007166999111359473,0.009943219,0.001,0.8012526035308838
