time/fps,time/total_timesteps,time/time_elapsed,rew_vec_envs,time/iterations,train/clip_range,train/approx_kl,train/loss,train/std,train/learning_rate,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss
428,4227072,76,1973.4433212280273,1,,,,,,,,,,,
452,4259840,144,2134.480592727661,2,0.2,0.011106852,1983.3323974609375,0.46845006942749023,0.001,0.093707275390625,1290,11922.43622970581,-0.010036138931536698,0.5575417578220367,-2.6338207691907884
459,4292608,214,1845.2396812438965,3,0.2,0.0108854715,3008.567138671875,0.4662408232688904,0.001,0.0927093505859375,1300,13246.322442245484,-0.010546327550400747,0.5640829205513,-2.6139361400157215
465,4325376,281,2082.547550201416,4,0.2,0.01109877,1806.6912841796875,0.46448853611946106,0.001,0.101123046875,1310,11112.05910987854,-0.009719851227418985,0.5691644847393036,-2.5964575968682766
469,4358144,349,1915.497483253479,5,0.2,0.010754,2420.342041015625,0.4616963267326355,0.001,0.0903167724609375,1320,12837.8486743927,-0.01017983826022828,0.5540363788604736,-2.576907606422901
470,4390912,417,1782.5431938171387,6,0.2,0.010629175,2176.688232421875,0.4598817527294159,0.001,0.08887939453125,1330,13836.822816848755,-0.009924768689597841,0.5602684020996094,-2.55754016302526
470,4423680,487,1930.2360258102417,7,0.2,0.011582292,1779.8267822265625,0.45678001642227173,0.001,0.1010986328125,1340,12095.339458084107,-0.010430056911718565,0.5778280794620514,-2.5363595433533193
471,4456448,555,1952.4550161361694,8,0.2,0.010447297,2767.928466796875,0.45556312799453735,0.001,0.09844970703125,1350,13698.109692001342,-0.009604526695693495,0.5511663258075714,-2.51583217382431
471,4489216,625,1904.6735000610352,9,0.2,0.011012974,1885.8009033203125,0.4532843828201294,0.001,0.0991973876953125,1360,12259.909840393066,-0.010078138501557986,0.4832157492637634,-2.4999937918037176
471,4521984,694,2141.118606567383,10,0.2,0.010162969,2352.03076171875,0.4519111216068268,0.001,0.087786865234375,1370,12884.973455810547,-0.009684535913402214,0.5660411417484283,-2.483716895058751
471,4554752,764,1987.325662612915,11,0.2,0.010999671,2362.313720703125,0.4499448537826538,0.001,0.0979156494140625,1380,12530.21598815918,-0.009977292587791453,0.556815505027771,-2.4694955814629793
470,4587520,835,2329.1453704833984,12,0.2,0.011234311,2519.67333984375,0.44779735803604126,0.001,0.100811767578125,1390,13952.895259094239,-0.010491924196685432,0.5569422841072083,-2.450158329680562
470,4620288,905,1656.8543214797974,13,0.2,0.010924246,2561.494140625,0.44690126180648804,0.001,0.0974395751953125,1400,13911.295639038086,-0.010431704586517298,0.5406579077243805,-2.43635801486671
470,4653056,975,2295.2324562072754,14,0.2,0.0116838105,2324.98779296875,0.4453914761543274,0.001,0.1029632568359375,1410,13995.377140045166,-0.011107939110297593,0.5078983902931213,-2.4249433051794766
469,4685824,1047,2133.3760948181152,15,0.2,0.011044871,2095.56787109375,0.443071573972702,0.001,0.0901763916015625,1420,13583.634581756593,-0.00961601330927806,0.5647023618221283,-2.4083953753113745
468,4718592,1118,2141.682996749878,16,0.2,0.011811912,2186.245361328125,0.44061964750289917,0.001,0.0991729736328125,1430,14355.873307418824,-0.010253498358360957,0.5291191041469574,-2.3872271962463856
468,4751360,1189,2147.0266075134277,17,0.2,0.0117491875,2583.81298828125,0.43799740076065063,0.001,0.1019622802734375,1440,13563.646360397339,-0.01116139702280634,0.518841415643692,-2.3652001835405825
467,4784128,1260,2193.455181121826,18,0.2,0.011726901,1936.432861328125,0.43707048892974854,0.001,0.1017852783203125,1450,13545.832334518433,-0.010712731673993402,0.4682823419570923,-2.3470735162496568
467,4816896,1332,2200.0682649612427,19,0.2,0.012473848,2584.8203125,0.43460434675216675,0.001,0.1041595458984375,1460,14587.887075805664,-0.010803289173418306,0.5434928834438324,-2.334815162047744
467,4849664,1402,2431.0054893493652,20,0.2,0.011967805,2802.01220703125,0.43248453736305237,0.001,0.10052490234375,1470,14024.21031036377,-0.010504039473016747,0.49120527505874634,-2.313296936824918
467,4882432,1472,2231.8299465179443,21,0.2,0.011274596,3154.107177734375,0.4312300980091095,0.001,0.0998809814453125,1480,14050.38378868103,-0.009562797457692795,0.509254515171051,-2.2988359492272137
466,4915200,1544,2014.7487087249756,22,0.2,0.011639364,2342.888671875,0.43015557527542114,0.001,0.102642822265625,1490,13001.817340087891,-0.00989320262815454,0.585418701171875,-2.286229445412755
