time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rew_vec_envs,train/approx_kl,train/std,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/policy_gradient_loss
1,140,131072,935,-8.499443501234055,,,,,,,,,,,
2,233,262144,1121,-6.311762046068907,0.009088917,1.0106852054595947,0.014782607555389404,0.2,-5.720735574886203,2.088911533355713,0.001,0.0942626953125,6.4137818639166655,10,-0.0011732357017535833
3,328,393216,1196,-6.685749772936106,0.011887798,1.0236928462982178,0.25223010778427124,0.2,-5.762047626078129,0.9260724782943726,0.001,0.13732223510742186,3.465817379625514,20,-0.0005430621436971706
4,423,524288,1239,-4.056930715130875,0.011019727,1.0316734313964844,0.2997881770133972,0.2,-5.806522352434695,0.8077952861785889,0.001,0.15314865112304688,3.6130847218912097,30,1.9287067516415846e-05
5,520,655360,1258,-5.490961049217731,0.013126522,1.039907693862915,0.2054409384727478,0.2,-5.816875088773668,2.6689164638519287,0.001,0.13295745849609375,7.216962640872225,40,-0.0005844478405833797
6,621,786432,1266,-5.578568427823484,0.012298085,1.05281400680542,0.24306797981262207,0.2,-5.861197147890925,2.860464096069336,0.001,0.1499420166015625,8.942797548137605,50,-0.0005764431740317377
7,722,917504,1269,-4.821439778897911,0.012932913,1.0641043186187744,0.25908029079437256,0.2,-5.90975775513798,2.235858678817749,0.001,0.14724273681640626,9.779927080962807,60,-0.0010584969798856036
8,825,1048576,1269,-5.538362046703696,0.016056849,1.0786693096160889,0.2950863242149353,0.2,-5.95885496661067,1.3935121297836304,0.001,0.17348251342773438,7.927831025840715,70,0.00022201175179361598
9,934,1179648,1262,-6.913726632017642,0.015260314,1.0821306705474854,0.24692177772521973,0.2,-5.988235134072601,4.410899639129639,0.001,0.1738983154296875,9.48278576452285,80,-0.00012178779234091053
10,1042,1310720,1257,-4.224490356864408,0.01693018,1.0904067754745483,0.3145678639411926,0.2,-5.997056882828474,2.7773475646972656,0.001,0.19903564453125,7.6720973330084234,90,0.00013079028667561943
11,1148,1441792,1255,-5.828409307636321,0.013561977,1.0891673564910889,0.3075619339942932,0.2,-6.018186684884131,1.2547087669372559,0.001,0.17354888916015626,9.276887925434858,100,-0.0001908785647174227
12,1258,1572864,1249,-3.828132131136954,0.014572374,1.0909054279327393,0.2663126587867737,0.2,-6.007417655363679,2.3512353897094727,0.001,0.1831024169921875,7.573721477808431,110,0.0002945230936347798
13,1367,1703936,1246,-3.7151331501081586,0.014422053,1.089432716369629,0.35539042949676514,0.2,-6.016650459356606,10.470270156860352,0.001,0.16308517456054689,6.84679240337573,120,-0.00040492448870281804
14,1474,1835008,1244,-3.78839838237036,0.016407927,1.0933375358581543,0.2811813950538635,0.2,-6.0100595219060775,1.273526906967163,0.001,0.2036529541015625,7.077386055979877,130,0.0009660890938448574
15,1580,1966080,1244,-4.921947353519499,0.017022692,1.0948902368545532,0.18890243768692017,0.2,-6.029100307449698,8.889391899108887,0.001,0.18422317504882812,16.05905544757843,140,-0.0005599477944087994
16,1686,2097152,1243,-3.107954666018486,0.017496224,1.089731216430664,0.23522531986236572,0.2,-6.021020893007517,1.1408110857009888,0.001,0.2074432373046875,6.079562763310969,150,0.0007543869655819435
