time/fps,rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/std,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl
1657,0.10072424,1,39845888,237,,,,,,,,,,,
1589,0.06733079,2,40239104,494,-3.352072870420913,0.0001,2030,62.490516662597656,0.5594460964202881,0.2,-0.0025989687389786314,0.15293395519256592,257.8267012447119,0.09108174641927083,0.008700292
1566,0.123125516,3,40632320,753,-3.3346458352481325,0.0001,2040,85.1301040649414,0.5570088624954224,0.2,-0.0023190237081204637,0.11107993125915527,385.3085364629825,0.061414337158203124,0.006541831
