time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/std,train/explained_variance,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss
1,65536,1319,49,7.9237344563007355,,,,,,,,,,,
2,131072,1374,95,8.291867025196552,0.3876224160194397,10,-0.005060509379018185,0.006091186,0.061041259765625,0.9956739544868469,0.0015747547149658203,0.2,0.0001,1.4126716286409646,-5.665471038967371
3,196608,1404,139,8.25554732978344,0.13396883010864258,20,-0.007878415075356315,0.0072335647,0.0775665283203125,0.9895941615104675,0.501510888338089,0.2,0.0001,0.3321074818028137,-5.644362318515777
4,262144,1441,181,10.282571278512478,0.1728106290102005,30,-0.009550273946661036,0.007846868,0.092333984375,0.9851978421211243,0.6577922403812408,0.2,0.0001,0.4212591718300246,-5.622250988334417
5,327680,1457,224,11.689187586307526,20.051103591918945,40,-0.0026956668401908247,0.006256545,0.04515838623046875,0.9827359914779663,0.062287092208862305,0.2,0.0001,70.97168681253679,-5.6116442892700436
6,393216,1460,269,20.58224593102932,767.5529174804688,50,-0.0041144305945636,0.00812585,0.08274688720703124,0.9792010188102722,0.1182984709739685,0.2,0.0001,174.43463756432757,-5.599526277557016
7,458752,1466,312,20.68630914390087,0.8175473809242249,60,-0.006439511046846746,0.008689575,0.09235076904296875,0.9702361822128296,0.443975031375885,0.2,0.0001,16.742314116517083,-5.569614639133215
8,524288,1465,357,14.80062983930111,60.029510498046875,70,-0.0034203527925456,0.0063167317,0.050653076171875,0.9674645662307739,0.21454131603240967,0.2,0.0001,202.09970854334534,-5.5515654876828195
9,589824,1465,402,21.017601758241653,1260.1336669921875,80,-0.00444366076217193,0.007709031,0.07716827392578125,0.9646116495132446,0.21391111612319946,0.2,0.0001,323.2602203208953,-5.537878387793898
10,655360,1462,448,23.186067312955856,2.9046847820281982,90,-0.0026118317599866715,0.0064624,0.05629119873046875,0.9628990888595581,0.18908995389938354,0.2,0.0001,405.1645192388445,-5.528357817605138
11,720896,1460,493,24.486739858984947,671.064453125,100,-0.002795085715843015,0.006863839,0.06085205078125,0.9571908712387085,0.29385703802108765,0.2,0.0001,464.2777615713887,-5.513092831894755
12,786432,1457,539,56.84361198544502,4.701888084411621,110,-0.0035597130061432837,0.0075868955,0.07284698486328126,0.9530264735221863,0.4586384892463684,0.2,0.0001,224.33006002884358,-5.492623021826148
13,851968,1455,585,29.540112853050232,8.749884605407715,120,-0.0034885522802142075,0.007953607,0.07925567626953126,0.9480377435684204,0.42610859870910645,0.2,0.0001,313.72502786051484,-5.47193878814578
14,917504,1455,630,23.15791967511177,12.623208045959473,130,-0.002153594117589819,0.0055280407,0.0418060302734375,0.9433138966560364,0.38686931133270264,0.2,0.0001,635.0531243614853,-5.453140395134687
15,983040,1456,675,23.519741386175156,180.1993408203125,140,-0.002733216496017121,0.0064482796,0.05168609619140625,0.9416013360023499,0.4860897660255432,0.2,0.0001,405.58627741076054,-5.438814910501241
16,1048576,1455,720,27.265730917453766,493.4768981933594,150,-0.0023290731771339777,0.00577665,0.03419036865234375,0.9403229355812073,0.4631604552268982,0.2,0.0001,727.2607903301716,-5.432482941821218
