time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,time/iterations,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
16384,528,31,50.826281785964966,1,,,,,,,,,,,
32768,562,58,72.30676913261414,2,0.0007432103157043457,0.9973444938659668,0.2,421.87188720703125,0.005560828,10,-5.670153160393238,424.1614314198494,0.0001,0.05220947265625,-0.002441645413637161
49152,582,84,59.68606662750244,3,0.35208648443222046,0.9902228713035583,0.2,5.824137210845947,0.007403329,20,-5.65020354539156,14.850685361027718,0.0001,0.060528564453125,-0.005149517760219169
65536,591,110,72.2192325592041,4,0.2317662239074707,0.9884099960327148,0.2,11.185932159423828,0.00626764,30,-5.633080366253853,38.17035724520683,0.0001,0.050762939453125,-0.003290572582773166
81920,602,135,63.009289026260376,5,0.359222412109375,0.9864122271537781,0.2,10.978546142578125,0.005917772,40,-5.6255822569131855,21.957290050387382,0.0001,0.061065673828125,-0.0048929396591120165
98304,609,161,87.78514099121094,6,0.39029812812805176,0.9822209477424622,0.2,6.631002902984619,0.0053513283,50,-5.6124089255928995,15.301850000023842,0.0001,0.05098876953125,-0.0042444402559340235
114688,614,186,71.50928354263306,7,0.38511407375335693,0.97849440574646,0.2,11.08540153503418,0.006403636,60,-5.5958761990070345,20.956671771407127,0.0001,0.06065673828125,-0.005089383746235398
131072,619,211,87.21643400192261,8,0.33461326360702515,0.977578341960907,0.2,10.830306053161621,0.0060735634,70,-5.587064911425114,20.838502475619315,0.0001,0.056793212890625,-0.004893983548390679
147456,620,237,103.16259527206421,9,0.44305121898651123,0.9749799966812134,0.2,9.810372352600098,0.005337037,80,-5.578991654515266,22.71574298143387,0.0001,0.041143798828125,-0.0029475940209522378
163840,622,263,120.24776649475098,10,0.40937989950180054,0.9732073545455933,0.2,18.23680877685547,0.00541439,90,-5.570935842394829,55.968045997619626,0.0001,0.041925048828125,-0.0036522928643535125
180224,623,289,125.30388736724854,11,0.48336952924728394,0.9697839021682739,0.2,22.885011672973633,0.0060392236,100,-5.559317420423031,39.167782217264175,0.0001,0.05020751953125,-0.00514295774846687
