ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[ 0.81209459 -0.01261813  0.13637771],[-0.31312155  0.29699663 -0.04568745],[2.44409345 2.46366843 0.68558368],[8.14416837 8.1514906  1.09999282],[0.52962815 0.54851966 0.58480074 0.52822567],[4.  4.  0.  0.8],[-0.39887419  0.00786421 -0.06219265],[-0.47802071  0.68347487  0.02292765],[-4.63192157 -3.90998192 -2.76670195],[ 2.560828   -2.17833092  0.2215127 ],[ 0.56552701 -0.22980846  0.13323236],[-0.31006838  0.30459105 -0.05196739],[-2.01233119 -2.0218124  -2.09929473],[1.74790396 1.7288855  0.93497916],2.6302850359517884,0.5462588524987975
[-0.39887419  0.00786421 -0.06219265],[ 0.16489917 -0.38647824 -0.0686151 ],[-2.60663876 -1.88228426  0.67583834],[10.756563    6.02577962  1.19369796],[0.45224781 0.414137   0.42212717 0.44190824],[-5.  -2.   0.   0.8],[ 0.81209459 -0.01261813  0.13637771],[ 0.47802071 -0.68347487 -0.02292765],[ 4.39487976  4.32664364 -2.52239617],[-2.58432855  2.07129086  0.61889714],[ 0.56552701 -0.22980846  0.13323236],[ 0.16795234 -0.37888382 -0.07489504],[ 2.02174739  1.76938758 -1.91172054],[-1.04508593  3.88457034 -0.50411178],4.054160830891499,0.5714529385891418
[ 0.20715758  0.25372255 -0.19776334],[ 0.20496229 -0.18840675 -0.02581718],[-2.31976404 -2.17397376  0.72540655],[2.74815681 2.86217269 1.23731029],[0.10884356 0.16309589 0.15588092 0.17235125],[-3.  -3.   0.   0.8],[ 1.11729686 -0.35935286  0.22387584],[ 0.50785789 -0.4838003   0.0172536 ],[ 4.58669945  4.50521843 -1.84037667],[ 5.15724839  5.10407523 -2.2148887 ],[-0.04019228  0.0867715  -0.00678035],[ 0.19777279 -0.18651568 -0.02463513],[ 2.06829901  1.94993193 -1.62020072],[-2.68617034 -2.82530831  0.79022655],3.9777300266396503,0.5739067341617534
[ 1.11729686 -0.35935286  0.22387584],[-0.30289561  0.29539355 -0.04307078],[2.47348396 2.48933634 0.71522064],[8.16460564 8.17215724 1.09352908],[0.2882185  0.23784839 0.25873025 0.24237387],[4.  4.  0.  0.8],[-0.71630209 -0.04626157 -0.0618688 ],[-0.46252161  0.68221443  0.02619919],[-4.70026253 -3.96651089 -2.7448914 ],[ 2.51720822 -2.21354509  0.21467676],[ 0.36872426 -0.12104608  0.00578089],[-0.30354388  0.30433488 -0.04980486],[-2.02826812 -2.0409546  -2.15560289],[1.73295091 1.71381741 0.90807174],2.6009389130399203,0.5418595404691181
[-0.71630209 -0.04626157 -0.0618688 ],[ 0.159626   -0.38682088 -0.06926997],[-2.63517904 -1.89947089  0.70899109],[10.73397275  6.01077987  1.18842772],[0.44694151 0.44958227 0.44810616 0.43445074],[-5.  -2.   0.   0.8],[ 1.11729686 -0.35935286  0.22387584],[ 0.46252161 -0.68221443 -0.02619919],[ 4.44087826  4.38525508 -2.53145086],[-2.54816339  2.10190304  0.6091569 ],[ 0.36872426 -0.12104608  0.00578089],[ 0.15897773 -0.37787956 -0.07600405],[ 2.01677507  1.78737705 -1.9830491 ],[-1.02573653  3.90245389 -0.48862099],4.064484258702812,0.5675120064783208
[ 0.29439266  0.47380846 -0.09497487],[ 0.20727799 -0.18488165 -0.0261773 ],[-2.33406609 -2.19040895  0.68028517],[2.72823832 2.8436817  1.23554625],[0.36092958 0.3998418  0.40863048 0.42207499],[-3.  -3.   0.   0.8],[ 0.97805576 -0.49399753  0.16674695],[ 0.50112613 -0.47673476  0.01413269],[ 4.6241519   4.53883611 -1.88145978],[ 5.19708926  5.14154228 -2.22917108],[-0.1086188   0.01913677 -0.08117394],[ 0.20074896 -0.18335246 -0.02446334],[ 2.10101504  1.98128641 -1.54045575],[-2.66651291 -2.80818523  0.78155695],3.9505729517663366,0.5727608854713226
[ 0.97805576 -0.49399753  0.16674695],[-0.29384814  0.29185311 -0.04030999],[2.50281316 2.51348033 0.63869473],[8.18514531 8.19292627 1.08673068],[0.12410575 0.17264195 0.11821052 0.12954893],[4.  4.  0.  0.8],[-0.63781029 -0.09870432 -0.13166328],[-0.44846051  0.67929064  0.03008342],[-4.79315262 -4.04176093 -2.64765707],[ 2.47416241 -2.24842574  0.20152534],[-0.01617438  0.08155601 -0.17857124],[-0.29518092  0.30064261 -0.04599467],[-2.10795424 -2.11589764 -2.01838053],[1.71853081 1.69785054 0.88096406],2.5714086132542833,0.5395892897817592
[-0.63781029 -0.09870432 -0.13166328],[ 0.15461237 -0.38743753 -0.07039341],[-2.66272499 -1.91733001  0.71195341],[10.71106089  5.9956685   1.18326629],[0.18884413 0.21707912 0.2062348  0.18915592],[-5.  -2.   0.   0.8],[ 0.97805576 -0.49399753  0.16674695],[ 0.44846051 -0.67929064 -0.03008342],[ 4.45460314  4.43398571 -2.61084526],[-2.51246607  2.13195705  0.59981975],[-0.01617438  0.08155601 -0.17857124],[ 0.15327959 -0.37864803 -0.07607809],[ 2.05959777  1.82647695 -1.93320142],[-1.00772251  3.92002319 -0.47289108],4.0750107344238,0.5642450835738395
[0.31555868 0.78614995 0.19258505],[ 0.20973254 -0.17926481 -0.02397338],[-2.35455854 -2.20170191  0.71344811],[2.70817402 2.82503276 1.23389691],[0.5184029  0.49626152 0.52359471 0.54142914],[-3.  -3.   0.   0.8],[ 1.18529761 -0.1673063   0.03654464],[ 0.4940763  -0.46893439  0.0148955 ],[ 4.67120492  4.54933143 -1.95353236],[ 5.25332019  5.16718947 -2.23355467],[-0.1110764  -0.21105135 -0.18849458],[ 0.20424315 -0.17623485 -0.02069078],[ 2.13439707  1.98795682 -1.52573992],[-2.65425024 -2.7849937   0.7681648 ],3.923176187282765,0.5698417740077951
[ 1.18529761 -0.1673063   0.03654464],[-0.28434376  0.28966958 -0.03886887],[2.52864155 2.53896714 0.5982332 ],[8.20577147 8.21377912 1.07955531],[0.60446859 0.67294883 0.59356802 0.61279378],[4.  4.  0.  0.8],[-0.50071926 -0.02262272 -0.13214409],[-0.43496143  0.67735189  0.03281647],[-4.84751457 -4.09666623 -2.63974771],[ 2.43221179 -2.2814548   0.19513283],[-0.02024824  0.34689459 -0.09927533],[-0.28523744  0.29563298 -0.0435331 ],[-2.1653736  -2.18096517 -1.92346818],[1.70078326 1.68339229 0.85659586],2.5416982039902325,0.5367058332437545
