time/time_elapsed,time/fps,rew_vec_envs,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/std,train/n_updates
83,780,1.6263473281869665,1,1114112,,,,,,,,,,,
146,894,0.9348056654562242,2,1179648,0.0028765580209437758,-5.36847263276577,0.001,0.12865453958511353,0.2,0.41893310546875,0.08021563291549683,0.05966557,76.6917533461179,0.9370757341384888,170
204,961,1.5781756498618051,3,1245184,0.003048341236717533,-5.419021122902632,0.001,0.3252906799316406,0.2,0.3927154541015625,3.1795403957366943,0.059342027,7.927945777127752,0.9461995363235474,180
266,985,1.1876603749515198,4,1310720,0.0008435115257270809,-5.470642845705152,0.001,0.08979177474975586,0.2,0.38695831298828126,0.39912086725234985,0.06165249,15.498131372063654,0.953580379486084,190
330,992,1.6159008097602054,5,1376256,0.0013969379127956928,-5.479585896804929,0.001,0.37438440322875977,0.2,0.375335693359375,326.339111328125,0.05613624,102.38351372331381,0.9532235860824585,200
395,995,1.5288848365889862,6,1441792,0.003766365218962164,-5.490570376068353,0.001,0.4295268654823303,0.2,0.4766632080078125,0.7208693623542786,0.06903142,2.413049238658277,0.9619048237800598,210
459,997,39.05387608613091,7,1507328,0.0009494833193457453,-5.521705090254545,0.001,0.30929034948349,0.2,0.42392120361328123,1.138889193534851,0.06305525,4.777987237460911,0.9624651670455933,220
521,1004,1.644154875422828,8,1572864,-0.0009036569888849044,-5.529059741273523,0.001,0.09139734506607056,0.2,0.32308349609375,86.85844421386719,0.06603658,64.04085054572207,0.9706984162330627,230
584,1009,29.763331454448235,9,1638400,-5.9080240498587953e-05,-5.543071163073182,0.001,0.27147555351257324,0.2,0.365966796875,206.26629638671875,0.06124524,23.40161814005114,0.9721656441688538,240
652,1004,1.8326476424117573,10,1703936,-0.0011707169900546433,-5.5361453961580995,0.001,0.40174686908721924,0.2,0.31337127685546873,120.90882873535156,0.046010587,118.54337412733585,0.9729394316673279,250
723,996,1.446901399642229,11,1769472,0.004043755729981058,-5.568132651597262,0.001,0.2925921082496643,0.2,0.4918060302734375,40.04848861694336,0.06833203,18.100393985037226,0.9778425097465515,260
795,988,1.718884592410177,12,1835008,-0.003036096089726925,-5.577384884655475,0.001,0.3188783526420593,0.2,0.26451416015625,3.1778693199157715,0.042850804,59.36690023797564,0.9948933124542236,270
866,983,1.5717199809732847,13,1900544,4.498061498452444e-05,-5.6393551982939245,0.001,0.3077440857887268,0.2,0.4486541748046875,3.4068808555603027,0.083151035,6.587891589966603,0.9907544851303101,280
937,978,1.7045252687903485,14,1966080,-0.0033945999690331518,-5.6162847697734835,0.001,0.3435772657394409,0.2,0.3394927978515625,31.515899658203125,0.04703031,85.78446825188584,0.9871885776519775,290
1007,975,1.5122454087336337,15,2031616,-0.0018318475718842818,-5.619188919290901,0.001,0.05671268701553345,0.2,0.4576690673828125,0.40636688470840454,0.07791325,8.813093041977845,0.9913659691810608,300
1075,974,1.5958827489230316,16,2097152,0.006071642382266873,-5.649872637540102,0.001,0.2831733822822571,0.2,0.520904541015625,0.4503065347671509,0.066512376,32.48237720925827,0.9970487356185913,310
