rew_vec_envs,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl
0.26365206,,,,,,,,,,,,,,,
0.19325958,,,,,,,,,,,,,,,
,32768,42,777,1,,,,,,,,,,,
0.15984881,,,,,-0.014294862747192383,-0.003076177888578968,0.997360348701477,1.056796699203551,0.2,0.3131260871887207,-5.670467336475849,10,0.0001,0.0307830810546875,0.00476692
0.1287928,,,,,,,,,,,,,,,
,65536,70,928,2,,,,,,,,,,,
0.10368937,,,,,0.3127399682998657,-0.003235577593295602,0.9994751214981079,0.8314322840422392,0.2,0.22743290662765503,-5.669919727742672,20,0.0001,0.0283233642578125,0.005168812
0.05407755,,,,,,,,,,,,,,,
,98304,98,998,3,,,,,,,,,,,
0.037040096,,,,,0.4701184630393982,-0.0029822621967468877,0.9960530996322632,0.7097329122014344,0.2,0.19606681168079376,-5.667610719799995,30,0.0001,0.029180908203125,0.0043524597
0.23847221,,,,,,,,,,,,,,,
,131072,126,1032,4,,,,,,,,,,,
0.20258191,,,,,0.12155026197433472,-0.002170683766235015,0.9965733289718628,21.807100238278508,0.2,0.7483769059181213,-5.6608226373791695,40,0.0001,0.01697998046875,0.0033570332
0.1738902,,,,,,,,,,,,,,,
,163840,155,1054,5,,,,,,,,,,,
0.16263129,,,,,0.4773615598678589,-0.0035176160286937374,0.9961252212524414,2.7115942725911735,0.2,0.49664202332496643,-5.661088989675045,50,0.0001,0.031982421875,0.0047617126
0.10323935,,,,,,,,,,,,,,,
,196608,183,1070,6,,,,,,,,,,,
0.08187885,,,,,0.5369240045547485,-0.004233765563549241,0.9969773292541504,0.7543909366242587,0.2,0.21836696565151215,-5.661420294642449,60,0.0001,0.045343017578125,0.005362914
0.049402826,,,,,,,,,,,,,,,
,229376,211,1082,7,,,,,,,,,,,
0.2785792,,,,,0.6753474175930023,-0.004150045706774108,0.9937245845794678,0.763070940412581,0.2,0.18133582174777985,-5.656450308859348,70,0.0001,0.0366485595703125,0.005596341
0.2649908,,,,,,,,,,,,,,,
,262144,240,1089,8,,,,,,,,,,,
0.22459427,,,,,0.34783416986465454,-0.0031257105067197697,0.9942700266838074,3.1942831056192516,0.2,1.5403586626052856,-5.650748381018639,80,0.0001,0.0323699951171875,0.004335154
0.16102198,,,,,,,,,,,,,,,
,294912,269,1093,9,,,,,,,,,,,
0.13562602,,,,,0.1843794584274292,-0.0029398454433248846,0.9943727254867554,27.104544974211603,0.2,67.7364273071289,-5.653359052538872,90,0.0001,0.0223052978515625,0.0036126468
0.09153948,,,,,,,,,,,,,,,
,327680,298,1098,10,,,,,,,,,,,
0.05853869,,,,,0.6926473379135132,-0.0046365049754967915,0.9942820072174072,0.6075516667217016,0.2,0.16520464420318604,-5.653003345429897,100,0.0001,0.0405120849609375,0.0054094982
0.07230373,,,,,,,,,,,,,,,
,360448,327,1101,11,,,,,,,,,,,
0.23820068,,,,,0.3838334083557129,-0.003355626468692208,0.9922691583633423,4.802663981821388,0.2,0.21403512358665466,-5.649009191989899,110,0.0001,0.0338134765625,0.0056291735
0.24964258,,,,,,,,,,,,,,,
,393216,355,1104,12,,,,,,,,,,,
0.19545476,,,,,0.671593427658081,-0.00435797715872468,0.9905604124069214,0.7452677838504315,0.2,0.19854876399040222,-5.640874806046486,120,0.0001,0.0413177490234375,0.0054220743
0.1507588,,,,,,,,,,,,,,,
,425984,384,1107,13,,,,,,,,,,,
0.13283911,,,,,0.6655084192752838,-0.0037494052081456174,0.9892321825027466,0.637485116533935,0.2,0.16252084076404572,-5.635172866284847,130,0.0001,0.041632080078125,0.005383983
0.080840684,,,,,,,,,,,,,,,
,458752,413,1109,14,,,,,,,,,,,
0.07264521,,,,,0.6612986922264099,-0.004139412429503863,0.9906245470046997,0.7648105777800083,0.2,0.2387816607952118,-5.634763653576374,140,0.0001,0.0467742919921875,0.0058702733
0.2615471,,,,,,,,,,,,,,,
,491520,442,1110,15,,,,,,,,,,,
0.2570132,,,,,0.6389888823032379,-0.0040426124964142215,0.9870361685752869,0.7434972423128784,0.2,0.191484272480011,-5.630524003505707,150,0.0001,0.0402191162109375,0.005579562
0.21591854,,,,,,,,,,,,,,,
,524288,470,1113,16,,,,,,,,,,,
0.16861643,,,,,0.4668678045272827,-0.0025674656397313813,0.9874166250228882,12.176802058424801,0.2,2.054858922958374,-5.623757041990757,160,0.0001,0.0366119384765625,0.0054021096
0.13514885,,,,,,,,,,,,,,,
,557056,499,1115,17,,,,,,,,,,,
0.10597274,,,,,0.7354442179203033,-0.004960991098050727,0.9839620590209961,0.46289079054258764,0.2,0.1349705010652542,-5.618630795180797,170,0.0001,0.053515625,0.005715166
0.10159043,,,,,,,,,,,,,,,
,589824,528,1116,18,,,,,,,,,,,
0.051335983,,,,,0.570906013250351,-0.0026399095848319122,0.9807868003845215,0.7281903170980513,0.2,0.14237232506275177,-5.604987740516663,180,0.0001,0.0435577392578125,0.0050512906
0.20845796,,,,,,,,,,,,,,,
,622592,557,1116,19,,,,,,,,,,,
0.24303776,,,,,0.7756166011095047,-0.0032652700720063876,0.9786691665649414,0.5914214989170432,0.2,0.16615334153175354,-5.593313695490361,190,0.0001,0.0403045654296875,0.0053386325
0.22847618,,,,,,,,,,,,,,,
,655360,586,1117,20,,,,,,,,,,,
0.17608258,,,,,0.7270939946174622,-0.0035873221459041815,0.9794604778289795,0.5553983727935702,0.2,0.14796969294548035,-5.590536235272884,200,0.0001,0.05140380859375,0.0059796805
0.14299387,,,,,,,,,,,,,,,
,688128,614,1119,21,,,,,,,,,,,
