time/time_elapsed,time/fps,rew_vec_envs,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/std,train/n_updates
84,777,0.2119747393480793,1,65536,,,,,,,,,,,
146,897,0.48735189344733953,2,131072,-0.005408405026537366,-5.661798409372568,0.001,0.5478074252605438,0.2,0.11688690185546875,-0.008025848306715488,0.010571361,0.007651699191774242,0.9950637221336365,10
204,961,0.2965066943434067,3,196608,-0.008996545701666036,-5.620261479541659,0.001,0.6875289380550385,0.2,0.16187744140625,-0.011152511462569237,0.01298962,0.003957872942191898,0.9854854941368103,20
261,1002,0.919095563236624,4,262144,-0.010951716101590136,-5.5946196060627695,0.001,0.7409253418445587,0.2,0.18821868896484376,-0.01496103871613741,0.015508752,0.003103795069546322,0.9786738157272339,30
324,1010,0.5003448096395005,5,327680,-0.013602125379838981,-5.565230296179652,0.001,0.7694622576236725,0.2,0.21569061279296875,-0.01575450412929058,0.017873202,0.004262948784344189,0.9718692302703857,40
386,1017,0.5758048541829339,6,393216,-0.008899827214918332,-5.543774653598666,0.001,0.016342341899871826,0.2,0.2149169921875,-0.013315857388079166,0.017493796,2.708195144991987,0.9662190675735474,50
449,1020,0.7711826837621629,7,458752,-0.014044836420180219,-5.521039857715368,0.001,0.662376344203949,0.2,0.24605712890625,-0.013692047446966171,0.021467024,0.009888801764464005,0.9616801738739014,60
511,1024,0.968459842260927,8,524288,-0.006084187162559829,-5.499028106406331,0.001,0.03593355417251587,0.2,0.23069305419921876,1.4201433658599854,0.019603703,3.406840678892331,0.951880693435669,70
570,1033,0.9197309020673856,9,589824,-0.013452391588361933,-5.446903211250901,0.001,0.44373399019241333,0.2,0.27222747802734376,-0.021672740578651428,0.023771785,0.012076505370350788,0.9444890022277832,80
628,1042,0.844075938428432,10,655360,-0.01766136198912136,-5.41704244017601,0.001,0.7751194983720779,0.2,0.278240966796875,-0.03471283242106438,0.024798457,0.009594915792695247,0.9381090402603149,90
685,1051,1.229377930285409,11,720896,-0.009624912852450507,-5.395784170925618,0.001,0.01098489761352539,0.2,0.2682891845703125,-0.007544499356299639,0.0246801,10.738527641531983,0.9336905479431152,100
745,1055,1.0328315865481272,12,786432,-0.0178409577209095,-5.388925664499402,0.001,0.7238077521324158,0.2,0.29672698974609374,-0.029214225709438324,0.027778948,0.015299357931507985,0.9310661554336548,110
802,1061,1.3674013128038496,13,851968,-0.008959224085629103,-5.373993230611086,0.001,0.010297954082489014,0.2,0.2818634033203125,2.2674155235290527,0.0285682,9.458184958772472,0.9268735647201538,120
862,1064,2.104501719586551,14,917504,-0.003925237459588971,-5.352272092550993,0.001,0.00036710500717163086,0.2,0.29378662109375,12.790898323059082,0.02966623,39.97829176793457,0.9271701574325562,130
924,1063,1.1514462780905887,15,983040,-0.003528397950958606,-5.342826694250107,0.001,0.04603606462478638,0.2,0.29412994384765623,0.012173956260085106,0.033172764,97.03710675119073,0.9233916401863098,140
986,1062,1.7583314513321966,16,1048576,-0.0021295647225997526,-5.34410394243896,0.001,0.11754024028778076,0.2,0.30863494873046876,0.027197696268558502,0.031294834,92.0231278062798,0.9248379468917847,150
