time/total_timesteps,rew_vec_envs,time/time_elapsed,time/fps,time/iterations,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/std,train/explained_variance,train/value_loss
2129920,-3985.0154724121094,55,590,1,,,,,,,,,,,
2162688,-3834.3995361328125,100,654,2,-0.012417625421949196,0.001,-3.340428078919649,0.0941741943359375,490.4002380371094,0.010536002,650,0.2,0.5578383207321167,0.9138667434453964,3706.729599094391
2195456,-3916.154296875,144,679,3,-0.012242665801750263,0.001,-3.303821558877826,0.0924957275390625,494.5316162109375,0.010505797,660,0.2,0.552759051322937,0.9076367020606995,3823.467479515076
2228224,-3838.4901428222656,189,690,4,-0.012037762068212032,0.001,-3.2692089561372994,0.0904693603515625,500.8521423339844,0.010906942,670,0.2,0.5483988523483276,0.911299467086792,3769.1336606025698
2260992,-3861.561294555664,235,696,5,-0.012423782127007144,0.001,-3.2379179410636425,0.093914794921875,561.591064453125,0.010932587,680,0.2,0.5441039800643921,0.9214386716485023,3840.962338066101
2293760,-3920.5618743896484,279,702,6,-0.011959545727586373,0.001,-3.209103887155652,0.087744140625,674.58642578125,0.010051068,690,0.2,0.5408377647399902,0.9125405922532082,4123.488466644287
2326528,-3749.512222290039,325,705,7,-0.012024509037655663,0.001,-3.184220351278782,0.08992919921875,559.7384643554688,0.010134777,700,0.2,0.5371137857437134,0.9060345441102982,3799.8887252807617
2359296,-3826.3026580810547,369,709,8,-0.012712597016434301,0.001,-3.152911115810275,0.09964599609375,573.8956298828125,0.01142961,710,0.2,0.5322784781455994,0.9062354117631912,3776.1714842796328
2392064,-3888.832305908203,415,710,9,-0.012343521843649796,0.001,-3.1173204861581327,0.1016082763671875,620.8477783203125,0.011111706,720,0.2,0.5283725261688232,0.9047240167856216,3686.344798564911
2424832,-3929.9391479492188,461,709,10,-0.012602773968319525,0.001,-3.0934180047363045,0.0947845458984375,517.1749877929688,0.011025431,730,0.2,0.5260942578315735,0.9045140221714973,3947.6512016296388
2457600,-3894.2147521972656,507,710,11,-0.011220863432026818,0.001,-3.0687529712915422,0.08875732421875,618.157470703125,0.010984832,740,0.2,0.5219881534576416,0.905926913022995,4267.2264925003055
2490368,-3767.8516845703125,553,710,12,-0.01281883700285107,0.001,-3.0459935858845713,0.097418212890625,423.6286315917969,0.011290771,750,0.2,0.5202484130859375,0.905230700969696,3801.967509555817
