rew_vec_envs,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/loss
-455.18584632873535,32768,1,85,381,,,,,,,,,,,
-530.8410091400146,65536,2,158,414,0.001,-0.004899381037103012,0.2,-5.655308207869529,9772.569128417968,-0.0006383657455444336,0.9939841032028198,0.0051385127,0.0428497314453125,10,4179.6474609375
-502.8779592514038,98304,3,229,428,0.001,-0.005187761577690253,0.2,-5.647729003429413,8927.345599365235,0.00044280290603637695,0.9935414791107178,0.0055492553,0.041326904296875,20,3750.923095703125
-630.6264190673828,131072,4,298,438,0.001,-0.005866543500451371,0.2,-5.631771418452263,7597.412841796875,0.0010793209075927734,0.9877675771713257,0.004980279,0.0419464111328125,30,3621.795166015625
-482.37419164180756,163840,5,367,445,0.001,-0.006605051782389637,0.2,-5.630123829841613,6298.7548156738285,0.08889329433441162,0.9892193078994751,0.0051985276,0.046380615234375,40,2760.57861328125
-455.5417993068695,196608,6,437,449,0.001,-0.007319944399932865,0.2,-5.618871295452118,5596.577346801758,0.15246820449829102,0.9851964712142944,0.0057266764,0.045196533203125,50,2758.551513671875
-459.33053946495056,229376,7,505,454,0.001,-0.007417802934651263,0.2,-5.595730343461037,4524.904396057129,0.2450454831123352,0.978950023651123,0.005596796,0.0516082763671875,60,2193.124267578125
-528.4628731012344,262144,8,572,458,0.001,-0.006967124118818902,0.2,-5.568267211318016,3910.41268157959,0.2907410264015198,0.9722846746444702,0.006505767,0.0481292724609375,70,1775.214599609375
-421.9875249862671,294912,9,639,461,0.001,-0.006734605829115026,0.2,-5.559336093068123,3517.2835220336915,0.3614969849586487,0.9705789685249329,0.005208398,0.0395233154296875,80,1419.9932861328125
-475.5799083709717,327680,10,706,464,0.001,-0.006340244303282816,0.2,-5.550504913926124,3679.8146545410154,0.35485655069351196,0.968757152557373,0.0051527754,0.0346160888671875,90,1636.7620849609375
-405.8769197165966,360448,11,772,466,0.001,-0.0075955045198497825,0.2,-5.540764257311821,3168.942767333984,0.41725045442581177,0.967233419418335,0.0055053243,0.044476318359375,100,1401.5631103515625
-402.66071259975433,393216,12,838,469,0.001,-0.006986481991771143,0.2,-5.535639402270317,2874.048843383789,0.38684338331222534,0.9652194976806641,0.005266862,0.033282470703125,110,1226.8720703125
-505.23912715911865,425984,13,904,470,0.001,-0.007332761844736524,0.2,-5.52078802883625,3089.7085189819336,0.4234110713005066,0.9615293145179749,0.004937907,0.0360809326171875,120,1343.329833984375
