time/time_elapsed,time/iterations,time/fps,rew_vec_envs,time/total_timesteps,train/value_loss,train/learning_rate,train/loss,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/std,train/entropy_loss
38,1,850,61.10537338256836,1081344,,,,,,,,,,,
66,2,987,23.097649931907654,1114112,37.391238168254496,0.001,2.149463415145874,0.039866205,0.3131866455078125,0.2,-0.007659231932484545,330,0.7114534080028534,0.7989293336868286,-4.781786374747753
95,3,1025,27.68045210838318,1146880,10.35047657135874,0.001,0.8508239388465881,0.05528549,0.4168121337890625,0.2,-0.015974086091591743,340,0.8053214997053146,0.7930552959442139,-4.756405635923147
125,4,1047,47.43406230211258,1179648,68.36328333653509,0.001,2.258979082107544,0.048561633,0.3436279296875,0.2,-0.007950379617432191,350,0.5984267592430115,0.7925468683242798,-4.740771915018558
155,5,1051,55.58781170845032,1212416,4.838407295756042,0.001,1.1687114238739014,0.044816487,0.3743865966796875,0.2,-0.016535899114023776,360,0.903873860836029,0.7862545847892761,-4.713144832849503
185,6,1058,40.11971986293793,1245184,6.524565319530666,0.001,1.347484827041626,0.039347798,0.351287841796875,0.2,-0.017577153314778115,370,0.9098307266831398,0.7790378332138062,-4.678683491796255
216,7,1060,30.75746178627014,1277952,10.782634335197509,0.001,18.6004638671875,0.06445458,0.4356536865234375,0.2,-0.014030948759318563,380,0.8055396378040314,0.7758066654205322,-4.666052211076021
246,8,1062,66.65728724002838,1310720,11.391026165150105,0.001,0.9839510917663574,0.05678342,0.412158203125,0.2,-0.013353267954516922,390,0.8324143886566162,0.7733862400054932,-4.648693931847811
276,9,1065,46.19746071100235,1343488,13.397350505925715,0.001,1.0258395671844482,0.053366028,0.401422119140625,0.2,-0.01436083333537681,400,0.8086957931518555,0.7742196917533875,-4.6325642697513105
308,10,1062,36.672743916511536,1376256,13.698336951807141,0.001,2.551732301712036,0.059606284,0.422515869140625,0.2,-0.009533172714873217,410,0.7365631759166718,0.7692552208900452,-4.635247881710529
337,11,1067,38.01100879907608,1409024,11.802780337259174,0.001,1.6274938583374023,0.052377317,0.37052001953125,0.2,-0.011321215146745089,420,0.7873062491416931,0.7663911581039429,-4.603813256323337
367,12,1071,50.547767877578735,1441792,2.924817885644734,0.001,0.6921586990356445,0.07932452,0.5058074951171875,0.2,-0.017749845394428122,430,0.9173954874277115,0.7598419189453125,-4.609588145464659
396,13,1075,45.466238617897034,1474560,64.99808738194406,0.001,2.056258201599121,0.03255456,0.28115234375,0.2,-0.011993966660884325,440,0.664102166891098,0.7534362077713013,-4.551009181141853
425,14,1078,44.35937637090683,1507328,13.932543704099952,0.001,1.5099197626113892,0.047144316,0.326995849609375,0.2,-0.01674042822996853,450,0.8901455104351044,0.7465024590492249,-4.506692513078451
454,15,1081,63.62550914287567,1540096,8.808429977856576,0.001,2.082378387451172,0.06564799,0.430059814453125,0.2,-0.016578241645765955,460,0.8712570071220398,0.737269401550293,-4.476529402285815
484,16,1081,48.4547381401062,1572864,44.975167197734116,0.001,74.6415023803711,0.05193005,0.3589385986328125,0.2,-0.013852562859028694,470,0.753702387213707,0.7350334525108337,-4.441011890023947
520,17,1070,42.83256185054779,1605632,10.698634610325097,0.001,1.0588278770446777,0.057181813,0.402032470703125,0.2,-0.01431204301861726,480,0.8756133168935776,0.7308256030082703,-4.421469978243112
554,18,1064,52.716321647167206,1638400,4.528500031866133,0.001,0.8334707021713257,0.0809463,0.5059356689453125,0.2,-0.014698107200456435,490,0.9123368859291077,0.7264426946640015,-4.41464522704482
592,19,1051,58.82111036777496,1671168,21.586578818410636,0.001,2.380638360977173,0.05679254,0.373529052734375,0.2,-0.020573726816655834,500,0.8504716157913208,0.7213945984840393,-4.36806149110198
630,20,1039,68.2202799320221,1703936,9.542828071117402,0.001,0.9312065243721008,0.104778185,0.529718017578125,0.2,-0.006616008967830567,510,0.7146250903606415,0.718309760093689,-4.3636027373373505
670,21,1027,46.85497045516968,1736704,20.7740569550544,0.001,1.7197216749191284,0.044526927,0.3619171142578125,0.2,-0.01033283896940702,520,0.7376860678195953,0.7129093408584595,-4.330767524242401
709,22,1015,53.67480683326721,1769472,36.22931821793318,0.001,1.7368921041488647,0.05584034,0.404559326171875,0.2,-0.012181913578751846,530,0.6573048830032349,0.7104663848876953,-4.299984335899353
747,23,1007,59.34756004810333,1802240,10.036604606732727,0.001,7.250854015350342,0.09596679,0.471563720703125,0.2,-0.01387653509809752,540,0.8484207391738892,0.7055330872535706,-4.298629602044821
788,24,997,49.43088924884796,1835008,88.44270337242634,0.001,1.5293159484863281,0.082160264,0.475421142578125,0.2,-0.010476318897781311,550,0.5783987939357758,0.7003170251846313,-4.260264711081982
828,25,988,52.519510090351105,1867776,15.645587487146258,0.001,6.37090539932251,0.044827368,0.360845947265625,0.2,-0.014215088466517044,560,0.7717231661081314,0.6977138519287109,-4.234345161914826
865,26,984,50.624651074409485,1900544,15.906873966753484,0.001,2.052554130554199,0.070035,0.4252197265625,0.2,-0.01418164298956981,570,0.783668115735054,0.690747857093811,-4.20268901437521
898,27,984,32.85277360677719,1933312,6.52692530695349,0.001,1.3255947828292847,0.08595905,0.5082611083984375,0.2,-0.014107518883611192,580,0.8879054337739944,0.6871127486228943,-4.1881543718278404
934,28,982,48.15245592594147,1966080,57.035835753008726,0.001,2.3015873432159424,0.055805974,0.365234375,0.2,-0.009203669453563634,590,0.645111083984375,0.6874592304229736,-4.155404876172542
