time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rew_vec_envs,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl
66,495,1081344,1,693.1735820770264,,,,,,,,,,,
124,525,1114112,2,702.3756799697876,-5.00119603574276,330,0.0738311767578125,0.8440647125244141,0.6460022330284119,2285.103271484375,-0.0068447146466496635,5637.665928840637,0.001,0.2,0.008110259
184,531,1146880,3,597.4245233535767,-4.982325721532106,340,0.06871337890625,0.8398383855819702,0.6487030982971191,3055.484619140625,-0.007619516351769562,6974.815515995026,0.001,0.2,0.008522613
243,537,1179648,4,996.0935211181641,-4.968804719299078,350,0.08028564453125,0.8381785750389099,0.7273930013179779,1330.9361572265625,-0.007409947418273078,6127.503605556488,0.001,0.2,0.009707401
303,540,1212416,5,1088.7926940917969,-4.9433588169515135,360,0.093438720703125,0.8308213949203491,0.6610629260540009,808.0675048828125,-0.008159096622330253,5947.660087490081,0.001,0.2,0.010534447
363,540,1245184,6,757.9388036727905,-4.922589660435915,370,0.0618072509765625,0.8280105590820312,0.6438746452331543,958.990966796875,-0.007264824350568233,7557.732832527161,0.001,0.2,0.008309435
423,541,1277952,7,581.295407295227,-4.90530868023634,380,0.067901611328125,0.8240000605583191,0.669291764497757,597.40771484375,-0.0063348546507768335,6538.628079986573,0.001,0.2,0.009350594
485,539,1310720,8,1178.3574466705322,-4.8847567670047285,390,0.0647735595703125,0.8196967840194702,0.6773957908153534,1395.878662109375,-0.0067537003047618786,6376.177915191651,0.001,0.2,0.008637538
545,540,1343488,9,748.7281670570374,-4.864053769409656,400,0.0743408203125,0.8157788515090942,0.7157670259475708,1627.7489013671875,-0.007668875866875169,6945.301146507263,0.001,0.2,0.009140987
608,538,1376256,10,893.0061807632446,-4.848639713972807,410,0.05855712890625,0.8133314847946167,0.63820680975914,1276.5892333984375,-0.006305303289263975,7901.280685615539,0.001,0.2,0.007502758
672,535,1409024,11,1654.01078414917,-4.8302350349724295,420,0.0485595703125,0.8084875345230103,0.6975277662277222,1185.6060791015625,-0.0063275554137362635,8263.952561187743,0.001,0.2,0.0071485816
736,533,1441792,12,838.3507995605469,-4.808224557340145,430,0.059228515625,0.804949164390564,0.6880552768707275,1097.2117919921875,-0.007230261479344335,8257.445012855529,0.001,0.2,0.0073891473
801,531,1474560,13,1407.5051231384277,-4.787535671144724,440,0.047442626953125,0.8003067374229431,0.6839230954647064,2411.191162109375,-0.0067141954958060525,8156.188730239868,0.001,0.2,0.0073654056
866,529,1507328,14,1546.0531482696533,-4.761594169586897,450,0.061663818359375,0.7941729426383972,0.7120910882949829,843.8917236328125,-0.007392201542825205,7493.866550064087,0.001,0.2,0.008253972
930,528,1540096,15,1255.9031028747559,-4.729599339514971,460,0.0552001953125,0.7883150577545166,0.6243331134319305,1211.9664306640625,-0.006433841975012911,9546.44393043518,0.001,0.2,0.007180384
994,527,1572864,16,1250.3903255462646,-4.709033830463886,470,0.0518035888671875,0.7853243350982666,0.6408581733703613,1322.763671875,-0.006349311722442508,8717.267540359497,0.001,0.2,0.0072281593
1061,524,1605632,17,2031.1788921356201,-4.686471830308437,480,0.0519012451171875,0.7802314758300781,0.5857881903648376,1465.705810546875,-0.007146394282244728,9300.30334968567,0.001,0.2,0.0072265253
1132,520,1638400,18,1437.5410614013672,-4.664875303953886,490,0.051727294921875,0.7763596177101135,0.6257179975509644,1436.2779541015625,-0.006167427494801814,8919.367490196228,0.001,0.2,0.007046026
1202,517,1671168,19,1285.9439601898193,-4.6396304070949554,500,0.05693359375,0.7709176540374756,0.654641330242157,1199.421630859375,-0.007370469223678811,8387.651155471802,0.001,0.2,0.007855513
1273,514,1703936,20,2068.439239501953,-4.619337396323681,510,0.0450958251953125,0.7679733633995056,0.5799460709095001,2026.4603271484375,-0.006145153250690783,10417.702952194213,0.001,0.2,0.006199873
1344,511,1736704,21,1664.991000175476,-4.601279039680958,520,0.040496826171875,0.7642031908035278,0.6410549283027649,2268.158935546875,-0.005985625224275282,10931.965464019775,0.001,0.2,0.006986382
1415,509,1769472,22,1522.9824085235596,-4.574270970374346,530,0.0458984375,0.7583297491073608,0.6169430315494537,2838.268310546875,-0.006793515943718376,10639.470476531982,0.001,0.2,0.0065264734
1496,503,1802240,23,1644.1312942504883,-4.544794086366892,540,0.0474212646484375,0.7529840469360352,0.6223026812076569,1470.33056640625,-0.006469167370960349,9099.682958984375,0.001,0.2,0.007179199
1583,496,1835008,24,2174.374243736267,-4.515534438937903,550,0.0485198974609375,0.7476746439933777,0.6421684622764587,2383.3271484375,-0.006883727054810151,11081.823392105103,0.001,0.2,0.0071482547
1670,490,1867776,25,1516.4284353256226,-4.493700252473355,560,0.04937744140625,0.7450292110443115,0.5620220601558685,1651.345458984375,-0.006500906293877051,11038.186276245116,0.001,0.2,0.0072131776
1752,486,1900544,26,1961.5036926269531,-4.48159763365984,570,0.036199951171875,0.7435484528541565,0.5351665914058685,1917.89892578125,-0.005737604760361137,10766.837562561035,0.001,0.2,0.0059720622
1833,482,1933312,27,1944.9450378417969,-4.479632678627968,580,0.049395751953125,0.7438244819641113,0.5773091614246368,1920.79052734375,-0.006952978128902032,10475.557135009765,0.001,0.2,0.0071502235
1920,477,1966080,28,1949.2125854492188,-4.469461016356945,590,0.053680419921875,0.7396335005760193,0.597531646490097,1860.6700439453125,-0.0070431825624837074,10042.421426010133,0.001,0.2,0.007166627
1995,476,1998848,29,1857.0429859161377,-4.450347434729338,600,0.0451019287109375,0.7365374565124512,0.6160220205783844,1949.676025390625,-0.0061275086762179855,10320.970499420166,0.001,0.2,0.007043948
2068,475,2031616,30,1568.899133682251,-4.4372901022434235,610,0.04129638671875,0.7351847887039185,0.6010583341121674,2277.300537109375,-0.006674437740002759,9958.846212387085,0.001,0.2,0.0065281726
2138,475,2064384,31,1471.488317489624,-4.4352298088371755,620,0.036749267578125,0.7361272573471069,0.5625491440296173,2295.0849609375,-0.0059794976419652816,12687.360659408569,0.001,0.2,0.0059855254
2207,474,2097152,32,1587.626874923706,-4.421918460726738,630,0.0478851318359375,0.7314978241920471,0.5562983751296997,1581.59716796875,-0.006612089528061915,10053.57889289856,0.001,0.2,0.007461791
