rew_vec_envs,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/std
18.625739246606827,39,827,1,32768,,,,,,,,,,,
23.222554057836533,68,956,2,65536,-5.6273641884326935,-0.005923680800333386,0.1056915283203125,0.2,0.009099841117858887,10,21.645118713378906,0.001,31.341765040159224,0.0093271285,0.9846522212028503
42.802694380283356,96,1021,3,98304,-5.59755248427391,-0.004819560866599204,0.070233154296875,0.2,0.12666308879852295,20,4.265357971191406,0.001,31.843784785270692,0.008535317,0.9773222804069519
37.730464220047,124,1050,4,131072,-5.5571458518505095,-0.0064054370639496485,0.080712890625,0.2,0.24162054061889648,30,2.8696348667144775,0.001,30.973786148428918,0.007699052,0.9647171497344971
46.855774104595184,153,1070,5,163840,-5.52670504450798,-0.006554876462905668,0.09197998046875,0.2,0.2677713632583618,40,38.81523513793945,0.001,52.10293226242065,0.009146246,0.9617444276809692
53.06959044933319,182,1079,6,196608,-5.495912793278694,-0.00657881515508052,0.06904296875,0.2,0.41305941343307495,50,34.916500091552734,0.001,35.11756162643432,0.008679882,0.9511524438858032
58.195247173309326,212,1081,7,229376,-5.460052850842476,-0.008177732329932042,0.078070068359375,0.2,0.6236016750335693,60,5.754681587219238,0.001,19.746037936210634,0.0074176015,0.9460929036140442
64.27073526382446,242,1079,8,262144,-5.444747081398964,-0.006608629848778946,0.084710693359375,0.2,0.46181195974349976,70,25.917583465576172,0.001,54.15092190504074,0.0073177265,0.9430644512176514
99.92810368537903,273,1076,9,294912,-5.4290032386779785,-0.005790994060225785,0.0633453369140625,0.2,0.5078079998493195,80,40.5958137512207,0.001,68.47829210758209,0.0068540946,0.9391307830810547
141.4093725681305,307,1066,10,327680,-5.415253230929375,-0.005828472430584953,0.073126220703125,0.2,0.4402884840965271,90,42.929039001464844,0.001,88.68739129304886,0.007378567,0.9366081953048706
91.62237405776978,341,1056,11,360448,-5.400753909349442,-0.00492700425820658,0.0721038818359375,0.2,0.3955497145652771,100,42.955841064453125,0.001,153.25630447864532,0.007573987,0.9319896697998047
120.2734899520874,374,1049,12,393216,-5.383905056118965,-0.005181380469002761,0.0701385498046875,0.2,0.43661755323410034,110,58.16852569580078,0.001,168.6672956943512,0.0076287687,0.9290552735328674
