aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,0.0,0.009249832441098345,0.0,0.0,0.0,0.009249832441098345,0.6975548050474962,0.23855276955343785,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,0.0,0.009250830482435515,0.0,0.0,0.0,0.01850066292353386,0.26490155301688323,0.3360656822145363,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,0.0,0.009252134928119294,0.0,0.0,0.0,0.027752797851653153,0.7950536180319502,0.5856564773917491,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,28,0,0,0.11666666666666667,0.0,0.009253714981283146,0.0,0.0,0.0,0.0370065128329363,0.9804283213617766,0.9215334478116419,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,30,0,0,0.125,0.0,0.009255458136106197,0.0,0.0,0.0,0.0462619709690425,1.003887858001865,1.0721782036693424,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,32,0,0,0.13333333333333333,0.0,0.009257317794341122,0.0,0.0,0.0,0.05551928876338362,1.0082621276254693,1.1007480785718375,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,34,0,0,0.14166666666666666,0.0,0.009259403490822478,0.0,0.0,0.0,0.0647786922542061,1.0716307581718028,1.3068356584899192,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,36,0,0,0.15,0.0,0.009261664025099663,0.0,0.0,0.0,0.07404035627930576,1.0980763978482466,1.5221564555770821,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,38,1,0,0.15833333333333333,0.0,0.00926398442225224,0.0,0.0,0.0,0.083304340701558,1.0821819282796499,1.5548652623136938,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,40,1,0,0.16666666666666666,0.0,0.009266391634000504,0.0,0.0,0.0,0.0925707323355585,1.0710990577857127,1.5203576058539436,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,42,1,0,0.175,0.0,0.009268952841937537,0.0,0.0,0.0,0.10183968517749603,1.0873251815776235,1.6013294604175725,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,44,1,0,0.18333333333333332,0.0,0.009271618678282172,0.0,0.0,0.0,0.1111113038557782,1.0923957703160478,1.7207539284485938,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,46,1,0,0.19166666666666668,0.0,0.009274330294140347,0.0,0.0,0.0,0.12038563414991856,1.075259496413568,1.7346742289907517,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,48,1,0,0.2,0.0,0.009277107871348536,0.0,0.0,0.0,0.1296627420212671,1.056562670518338,1.6833918784112425,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,50,1,0,0.20833333333333334,0.0,0.009279986302762553,0.0,0.0,0.0,0.13894272832402965,1.0457684350350451,1.6795137419042678,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,52,1,0,0.21666666666666667,0.0,0.009282945821201209,0.0,0.0,0.0,0.14822567414523086,1.0362231926497685,1.7471539075308162,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,54,2,0,0.225,0.0,0.009285972579886032,0.0,0.0,0.0,0.1575116467251169,1.03043072748004,1.8137346878884548,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,56,2,0,0.23333333333333334,0.0,0.009289192898624059,0.0,0.0,0.0,0.16680083962374095,1.054202244007156,1.9378935254986729,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,58,2,0,0.24166666666666667,0.0,0.009292601828037447,0.0,0.0,0.0,0.1760934414517784,1.0623327569246666,2.0056128195857856,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,60,2,0,0.25,0.0,0.009296067927712466,0.0,0.0,0.0,0.18538950937949086,1.0480910833120631,2.0303890421262913,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,62,2,0,0.25833333333333336,0.0,0.009299578253897692,0.0,0.0,0.0,0.19468908763338855,1.0378027383515207,2.0648617676653953,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,64,2,0,0.26666666666666666,0.0,0.009303193658400693,0.0,0.0,0.0,0.20399228129178923,1.0391743975663021,2.0863031958219254,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33,66,2,0,0.275,0.0,0.00930691595826389,0.0,0.0,0.0,0.2132991972500531,1.0336318547375454,2.0826146203126923,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,68,2,0,0.2833333333333333,0.0,0.009310671940373235,0.0,0.0,0.0,0.22260986919042636,1.0158893485589626,2.091861034897853,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,70,3,0,0.2916666666666667,0.0,0.00931445262139871,0.0,0.0,0.0,0.23192432181182507,0.9959906914109113,2.081043105527073,1,1,0,0,0,0,0,0,0,0,0,0,0,0
36,72,3,0,0.3,0.0,0.009318301113294165,0.0,0.0,0.0,0.24124262292511922,0.9735632375532269,1.9858620520030097,1,1,0,0,0,0,0,0,0,0,0,0,0,0
37,74,3,0,0.30833333333333335,0.0,0.0093222304925668,0.0,0.0,0.0,0.25056485341768603,0.9503652534188137,1.9055734029289597,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38,76,3,0,0.31666666666666665,0.0,0.009326195683055982,0.0,0.0,0.0,0.259891049100742,0.9333821679757972,1.9188178801744749,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,78,3,0,0.325,0.0,0.009330196383389517,0.0,0.0,0.0,0.2692212454841315,0.922816861563558,1.946152843094996,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,80,3,0,0.3333333333333333,0.0,0.009334259936157396,0.0,0.0,0.0,0.2785555054202889,0.907562624503494,1.9040717822407218,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41,82,3,0,0.3416666666666667,0.0,0.009338393094869925,0.0,0.0,0.0,0.28789389851515884,0.8875774354788284,1.8553817126055006,1,1,0,0,0,0,0,0,0,0,0,0,0,0
42,84,3,0,0.35,0.0,0.009342559838819705,0.0,0.0,0.0,0.29723645835397855,0.8761084322880346,1.892397204796375,1,1,0,0,0,0,0,0,0,0,0,0,0,0
43,86,4,0,0.35833333333333334,0.0,0.009346766537548587,0.0,0.0,0.0,0.3065832248915271,0.868658001912901,1.9253992551168373,1,1,0,0,0,0,0,0,0,0,0,0,0,0
44,88,4,0,0.36666666666666664,0.0,0.009351051413070582,0.0,0.0,0.0,0.3159342763045977,0.8441130943153236,1.8400099156082543,1,1,0,0,0,0,0,0,0,0,0,0,0,0
45,90,4,0,0.375,0.0,0.009355427679865677,0.0,0.0,0.0,0.3252897039844634,0.8232138548994186,1.7831216340862057,1,1,0,0,0,0,0,0,0,0,0,0,0,0
46,92,4,0,0.38333333333333336,0.0,0.00935986249105813,0.0,0.0,0.0,0.3346495664755215,0.8281293142542933,1.8502342152037885,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,94,4,0,0.39166666666666666,0.0,0.009364354144644297,0.0,0.0,0.0,0.34401392062016584,0.8288650383796418,1.9066158433102638,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,96,4,0,0.4,0.0,0.009368900754508006,0.0,0.0,0.0,0.35338282137467386,0.8033626276895867,1.858916110482976,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49,98,4,0,0.4083333333333333,0.0,0.009373514533159938,0.0,0.0,0.0,0.3627563359078338,0.7833122398019495,1.8291379558831269,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,100,4,0,0.4166666666666667,0.0,0.009378188834115954,0.0,0.0,0.0,0.37213452474194975,0.791492362835516,1.910727909285362,1,1,0,0,0,0,0,0,0,0,0,0,0,0
51,102,5,0,0.425,0.0,0.009382947674573969,0.0,0.0,0.0,0.38151747241652373,0.8264580931009675,2.049507265676519,1,1,0,0,0,0,0,0,0,0,0,0,0,0
52,104,5,0,0.43333333333333335,0.0,0.009387877543793471,0.0,0.0,0.0,0.3909053499603172,0.8707434157152667,2.157165183883622,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,106,5,0,0.44166666666666665,0.0,0.009392920210083049,0.0,0.0,0.0,0.40029827017040026,0.8605409463699307,2.120384229432128,1,1,0,0,0,0,0,0,0,0,0,0,0,0
54,108,5,0,0.45,0.0,0.009398000089070803,0.0,0.0,0.0,0.4096962702594711,0.8385599258035719,2.1127210234548737,1,1,0,0,0,0,0,0,0,0,0,0,0,0
55,110,5,0,0.4583333333333333,0.0,0.009403107511047566,0.0,0.0,0.0,0.41909937777051864,0.8250536209010902,2.1269703164643614,1,1,0,0,0,0,0,0,0,0,0,0,0,0
56,112,5,0,0.4666666666666667,0.0,0.009408279873071315,0.0,0.0,0.0,0.42850765764358995,0.8367577771610483,2.1659912950089932,1,1,0,0,0,0,0,0,0,0,0,0,0,0
57,114,5,0,0.475,0.0,0.009413528506322358,0.0,0.0,0.0,0.4379211861499123,0.8384478404714956,2.176949503210729,1,1,0,0,0,0,0,0,0,0,0,0,0,0
58,116,5,0,0.48333333333333334,0.0,0.009418804685438646,0.0,0.0,0.0,0.447339990835351,0.8161802376409799,2.173179558744472,1,1,0,0,0,0,0,0,0,0,0,0,0,0
59,118,6,0,0.49166666666666664,0.0,0.009424101658151548,0.0,0.0,0.0,0.4567640924935025,0.7881950336060489,2.147954193643604,1,1,0,0,0,0,0,0,0,0,0,0,0,0
60,120,6,0,0.5,0.0,0.009429471258333906,0.0,0.0,0.0,0.46619356375183646,0.7575835279478096,2.05500328252585,1,1,0,0,0,0,0,0,0,0,0,0,0,0
61,122,6,0,0.5083333333333333,0.0,0.009434930294770494,0.0,0.0,0.0,0.47562849404660695,0.7254689456348524,1.9790259963436247,1,1,0,0,0,0,0,0,0,0,0,0,0,0
62,124,6,0,0.5166666666666667,0.0,0.009440416747509763,0.0,0.0,0.0,0.48506891079411674,0.6936084170433161,1.9680579072763469,1,1,0,0,0,0,0,0,0,0,0,0,0,0
63,126,6,0,0.525,0.0,0.00944592510890197,0.0,0.0,0.0,0.4945148359030187,0.6685974362433357,1.9638618140296555,1,1,0,0,0,0,0,0,0,0,0,0,0,0
64,128,6,0,0.5333333333333333,0.0,0.009451499181865886,0.0,0.0,0.0,0.5039663350848846,0.6533458001940184,1.9310010206047359,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65,130,6,0,0.5416666666666666,0.0,0.009457156579833256,0.0,0.0,0.0,0.5134234916647179,0.6392562572383428,1.9060981730264048,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,132,6,0,0.55,0.0,0.009462846642078084,0.0,0.0,0.0,0.522886338306796,0.6201285347916117,1.9174430482285567,1,1,0,0,0,0,0,0,0,0,0,0,0,0
67,134,7,0,0.5583333333333333,0.0,0.009468563578231788,0.0,0.0,0.0,0.5323549018850278,0.6027829830698638,1.9257325202919202,1,1,0,0,0,0,0,0,0,0,0,0,0,0
68,136,7,0,0.5666666666666667,0.0,0.009474346876263433,0.0,0.0,0.0,0.5418292487612912,0.5928316946090851,1.9077353072603171,1,1,0,0,0,0,0,0,0,0,0,0,0,0
69,138,7,0,0.575,0.0,0.009480210727208728,0.0,0.0,0.0,0.5513094594885,0.5956860304873501,1.9128920451721243,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,140,7,0,0.5833333333333334,0.0,0.00948610741238586,0.0,0.0,0.0,0.5607955669008858,0.58916159593829,1.941552758159839,1,1,0,0,0,0,0,0,0,0,0,0,0,0
71,142,7,0,0.5916666666666667,0.0,0.00949203168745709,0.0,0.0,0.0,0.5702875985883429,0.5674703555113693,1.9411910994340993,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72,144,7,0,0.6,0.0,0.009498028768619075,0.0,0.0,0.0,0.5797856273569619,0.5609819532419368,1.9241487535613588,1,1,0,0,0,0,0,0,0,0,0,0,0,0
73,146,7,0,0.6083333333333333,0.0,0.00950411260069245,0.0,0.0,0.0,0.5892897399576544,0.5807124425375143,1.948929628916304,1,1,0,0,0,0,0,0,0,0,0,0,0,0
74,148,7,0,0.6166666666666667,0.0,0.009510235024759794,0.0,0.0,0.0,0.5987999749824142,0.5787298832968965,1.9794566640669795,1,1,0,0,0,0,0,0,0,0,0,0,0,0
