time/fps,rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/std,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl
1863,0.09409625,1,14385152,105,,,,,,,,,,,
1811,0.0793929,2,14581760,217,-4.744357735912005,0.0001,1140,126.22962951660156,0.7901060581207275,0.2,-0.0024356542874253745,0.3160300850868225,188.8965062270562,0.06562957763671876,0.0073172487
1777,0.06945255,3,14778368,331,-4.729834537704786,0.0001,1150,84.37913513183594,0.7890735864639282,0.2,-0.002293300550263666,0.21107876300811768,312.04477521777153,0.03370615641276042,0.0041600135
1752,0.098373584,4,14974976,448,-4.718394127239784,0.0001,1160,67.6404037475586,0.7858176231384277,0.2,-0.0024635690067952966,0.12337422370910645,310.569590896368,0.04287312825520833,0.0049993866
1741,0.08128956,5,15171584,564,-4.707440013438463,0.0001,1170,73.76757049560547,0.7843805551528931,0.2,-0.002663449309693533,0.16990196704864502,210.1764749109745,0.04309234619140625,0.00543366
1728,0.118151106,6,15368192,682,-4.692794810483853,0.0001,1180,94.38584899902344,0.7802305221557617,0.2,-0.00237002504903406,0.3115220069885254,189.82303210695585,0.0423736572265625,0.0056820437
