time/iterations,rew_vec_envs,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/std,train/clip_fraction
1,7.53466922044754,61,1067,65536,,,,,,,,,,,
2,10.07024036347866,106,1235,131072,0.006674068,0.3687410056591034,0.0001,0.027286827564239502,10,1.4244732489576564,-5.663721326738596,0.2,-0.005801546335351304,0.9947357773780823,0.0653350830078125
3,13.084330886602402,151,1295,196608,0.007510422,0.23471300303936005,0.0001,0.48323822021484375,20,0.8844434821978211,-5.63949165455997,0.2,-0.008385278049536283,0.988264799118042,0.07800750732421875
4,17.376605361700058,197,1328,262144,0.008615768,0.40706369280815125,0.0001,0.5690210163593292,30,1.0738122170325368,-5.610402359813452,0.2,-0.010475770584707788,0.9806748032569885,0.09805145263671874
5,17.664029628038406,242,1352,327680,0.008356344,0.6567814946174622,0.0001,0.658340334892273,40,1.5901389373000712,-5.577379975095392,0.2,-0.009991859099500289,0.9732533097267151,0.09634552001953126
6,24.684318512678146,287,1366,393216,0.00760922,323.6820373535156,0.0001,0.06045341491699219,50,98.18686646018178,-5.5532947584986685,0.2,-0.005237898255836626,0.9666380286216736,0.0779693603515625
7,23.849889159202576,334,1373,458752,0.008784664,1.6872295141220093,0.0001,0.7566623687744141,60,2.6924383437260984,-5.522596864774823,0.2,-0.009534764309682942,0.9596672058105469,0.0976165771484375
8,19.86635160446167,379,1382,524288,0.007999651,1.552133321762085,0.0001,0.24787676334381104,70,110.07987930960954,-5.503753970190883,0.2,-0.005068870599825459,0.9549940824508667,0.08459320068359374
9,27.58149164915085,425,1387,589824,0.006722062,19.568336486816406,0.0001,0.20426571369171143,80,205.5334548821673,-5.477892990410328,0.2,-0.0037588698551189736,0.9488286972045898,0.05911712646484375
10,23.73512727022171,474,1380,655360,0.008036102,2.106372356414795,0.0001,0.35460394620895386,90,168.58455557469279,-5.449799264594913,0.2,-0.004098681195500831,0.9419844746589661,0.076605224609375
11,48.73505362868309,522,1379,720896,0.0061159586,12.560117721557617,0.0001,0.29065895080566406,100,556.669121401757,-5.432259218767285,0.2,-0.00299820800555608,0.9399001598358154,0.04751739501953125
12,29.779554396867752,579,1357,786432,0.008454651,602.6264038085938,0.0001,0.4163997769355774,110,244.22991521321237,-5.418378817662597,0.2,-0.004016835086986248,0.9350194931030273,0.07523193359375
13,30.278975814580917,639,1332,851968,0.0073682386,632.4285888671875,0.0001,0.35162967443466187,120,396.83695628978313,-5.396009026840329,0.2,-0.0033422198377593302,0.9300090074539185,0.06419830322265625
14,29.32906273007393,703,1304,917504,0.00881944,67.0361557006836,0.0001,0.47926121950149536,130,146.07063459604979,-5.366826633363962,0.2,-0.004755051783195086,0.9221100211143494,0.0882049560546875
15,34.96929666399956,768,1279,983040,0.007881849,3.212932586669922,0.0001,0.3202664256095886,140,463.84391001537443,-5.34407316967845,0.2,-0.003549070751432737,0.918000340461731,0.076605224609375
16,33.64043027162552,828,1266,1048576,0.006790109,21.905269622802734,0.0001,0.44954168796539307,150,371.67792877182364,-5.322070607915521,0.2,-0.0032382440511355528,0.9127110242843628,0.0671234130859375
