rew_vec_envs,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/policy_gradient_loss
0.6046444,47,1,3211264,1366,,,,,,,,,,,
0.50480115,86,2,3276800,1517,0.2,-0.024091720581054688,490,6.104182243347168,54.94520874097943,0.2796630859375,-5.2843276634812355,0.001,0.028413499,0.9092484712600708,-0.0016057845563409502
0.5110544,125,3,3342336,1562,0.2,0.04853653907775879,500,10.583017349243164,24160.940197323263,0.24535980224609374,-5.284897667914629,0.001,0.027350094,0.9093549251556396,0.001239887399788131
0.6252687,164,4,3407872,1589,0.2,0.7305614352226257,510,4.063569068908691,20.033840042352676,0.2627105712890625,-5.306006035208702,0.001,0.026021183,0.9114363193511963,-0.004460531785116473
0.70037794,204,5,3473408,1605,0.2,0.019525229930877686,520,19.66927146911621,79421.69300372899,0.1685699462890625,-5.309598015248776,0.001,0.017032955,0.9150209426879883,0.00017571280441188719
0.5602836,243,6,3538944,1613,0.2,0.00443345308303833,530,123.57079315185547,91925.95951885878,0.08074188232421875,-5.326337539404631,0.001,0.008789793,0.9192724227905273,-0.001988142521804548
0.6193958,283,7,3604480,1618,0.2,0.06349658966064453,540,13089.2822265625,194969.75073702037,0.04233551025390625,-5.322299189120531,0.001,0.0076265847,0.9109033346176147,-0.0022128883096229402
0.69373024,323,8,3670016,1621,0.2,0.7282637059688568,550,39.411537170410156,328.0647966474295,0.0793243408203125,-5.329601504653692,0.001,0.010768354,0.9247264266014099,-0.0038790704495113458
0.6567433,363,9,3735552,1623,0.2,0.2576829195022583,560,107.23585510253906,89184.18255397677,0.0894683837890625,-5.33929930254817,0.001,0.0104183685,0.9181901812553406,-0.0028677333752057167
0.5960029,404,10,3801088,1621,0.2,0.45578402280807495,570,32.79524230957031,2344.4526546299458,0.10903167724609375,-5.3220859810709955,0.001,0.011834547,0.9160947799682617,-0.0032549781210036597
0.6176907,445,11,3866624,1616,0.2,0.1927528977394104,580,11.822402954101562,2193.7466559916734,0.22276458740234376,-5.311286474019289,0.001,0.02568679,0.9153578281402588,-0.0009394373242685106
0.63650864,487,12,3932160,1614,0.2,0.23788034915924072,590,20.7768497467041,2751.67329993546,0.15970001220703126,-5.318176401406527,0.001,0.014790288,0.9192119836807251,-0.002408961569381063
0.6078348,528,13,3997696,1613,0.2,0.11258649826049805,600,223154.34375,122574.45611494481,0.14861297607421875,-5.325438132882118,0.001,0.020222634,0.9200378060340881,-0.0018475849485184881
0.70054066,569,14,4063232,1612,0.2,0.3971150517463684,610,67.9222183227539,607.3966593116522,0.0987548828125,-5.339411858469248,0.001,0.011455348,0.9231044054031372,-0.004798163096347707
0.6234008,611,15,4128768,1608,0.2,0.015548884868621826,620,24.974136352539062,61930.37401471734,0.2023834228515625,-5.345079309493303,0.001,0.024861157,0.9220373630523682,-0.0016181337890884607
0.5694175,652,16,4194304,1607,0.2,0.14699077606201172,630,127.08980560302734,2804.8478440821173,0.10576629638671875,-5.335140899568796,0.001,0.014457084,0.9192452430725098,-0.0029475022838596487
