time/iterations,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/fps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/explained_variance,train/std,train/learning_rate,train/clip_range,train/value_loss
1,5275648,1827.567575454712,88,371,,,,,,,,,,,
2,5308416,1879.9075832366943,169,386,-0.010700095634456374,-2.1030029013752936,0.01372657,2266.033447265625,0.1175689697265625,1610,0.49031805992126465,0.4104454517364502,0.001,0.2,13920.357894134522
3,5341184,1768.1678314208984,250,392,-0.010590394700193429,-2.0821283761411906,0.011279825,2810.739990234375,0.10286865234375,1620,0.5386208593845367,0.40809306502342224,0.001,0.2,14797.386267089843
4,5373952,2327.9612588882446,328,398,-0.01065945761038165,-2.068700893595815,0.011970459,2542.25634765625,0.10736083984375,1630,0.4664685130119324,0.40776199102401733,0.001,0.2,15230.108722686768
5,5406720,1664.187752008438,406,402,-0.010346664359531133,-2.0595030166208743,0.011937685,2875.652099609375,0.1069915771484375,1640,0.5100062787532806,0.4063553810119629,0.001,0.2,15359.929438018798
6,5439488,2007.0900535583496,485,404,-0.010094681697955821,-2.0456602700054645,0.01278683,2674.644775390625,0.108209228515625,1650,0.4743121862411499,0.4049510359764099,0.001,0.2,13384.044625854493
7,5472256,2462.7745456695557,567,404,-0.011193140979594318,-2.031640410795808,0.012692777,2677.041748046875,0.11326904296875,1660,0.509596973657608,0.4035726487636566,0.001,0.2,13144.452723693848
8,5505024,1995.0653562545776,648,404,-0.010714741467381828,-2.0201677583158015,0.011856998,2428.2734375,0.1130645751953125,1670,0.5274302959442139,0.4026912450790405,0.001,0.2,13725.808715438843
9,5537792,1905.9747581481934,727,405,-0.011441173378989334,-2.0114121649414303,0.012402065,2453.602294921875,0.1143096923828125,1680,0.5174143612384796,0.40196266770362854,0.001,0.2,14106.346143341065
10,5570560,2123.886157989502,804,407,-0.01133976868368336,-1.9980117021128536,0.012914548,2077.15771484375,0.120556640625,1690,0.54743292927742,0.39967602491378784,0.001,0.2,13202.509803009034
11,5603328,2153.712914466858,882,408,-0.010392623826919588,-1.9828697429969906,0.011997797,2599.2529296875,0.1090179443359375,1700,0.4854351282119751,0.3990093469619751,0.001,0.2,15264.346563720703
12,5636096,2217.7133197784424,960,409,-0.011621903813647805,-1.968686185963452,0.012057746,3064.77392578125,0.112353515625,1710,0.552132248878479,0.3966977894306183,0.001,0.2,15068.212130737305
13,5668864,2137.914073944092,1039,409,-0.010386249920702539,-1.9472903780639172,0.011343567,2772.501708984375,0.10595703125,1720,0.5063183307647705,0.3946351706981659,0.001,0.2,15373.385231018066
14,5701632,1784.0976543426514,1116,410,-0.01034544005560747,-1.9296490969136357,0.01195895,2975.5380859375,0.1066925048828125,1730,0.49858105182647705,0.3933168649673462,0.001,0.2,15396.473416900635
15,5734400,2438.2115783691406,1190,412,-0.010580957358251908,-1.92381886895746,0.012108039,2478.8359375,0.101336669921875,1740,0.5041819512844086,0.3934473991394043,0.001,0.2,15628.350170135498
16,5767168,2528.0737380981445,1263,415,-0.010031766559404787,-1.9220519056543708,0.013252085,2299.89453125,0.1180267333984375,1750,0.5337458848953247,0.3929198682308197,0.001,0.2,14098.534017181397
17,5799936,2297.330078125,1336,416,-0.011575182489468715,-1.9021269131451846,0.012970423,2479.55078125,0.1195648193359375,1760,0.5469614267349243,0.38980531692504883,0.001,0.2,13484.547996139527
18,5832704,2007.4196557998657,1411,417,-0.011693032076436793,-1.879381993971765,0.01303217,2788.899658203125,0.1219970703125,1770,0.46762192249298096,0.3884226679801941,0.001,0.2,13524.720083618164
19,5865472,2203.4848556518555,1486,418,-0.011004808082361706,-1.8610200168564917,0.013905853,2449.45263671875,0.122589111328125,1780,0.47596871852874756,0.3859056830406189,0.001,0.2,13818.137249755859
20,5898240,1937.144567489624,1565,418,-0.011339345054147998,-1.8349313873797655,0.013670523,3077.860107421875,0.1299713134765625,1790,0.49602508544921875,0.3831481337547302,0.001,0.2,13808.12042388916
21,5931008,2460.092840194702,1639,419,-0.010295642543860594,-1.8141916133463383,0.014321703,2018.52587890625,0.1327728271484375,1800,0.48580628633499146,0.3817310631275177,0.001,0.2,12738.320378494263
22,5963776,2133.005268096924,1723,418,-0.010725194710175856,-1.7961582101881504,0.014357679,2535.807373046875,0.127587890625,1810,0.5005948543548584,0.37991464138031006,0.001,0.2,14549.928006362916
23,5996544,2275.6654472351074,1800,418,-0.01055048623456969,-1.7836351120844482,0.012833176,3042.585693359375,0.116217041015625,1820,0.48384153842926025,0.379132479429245,0.001,0.2,15870.516332244873
24,6029312,1625.4141902923584,1877,418,-0.011398591531906277,-1.7752379454672336,0.0121742,3185.915771484375,0.1162628173828125,1830,0.493879497051239,0.3785397708415985,0.001,0.2,15584.820404815673
