time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,time/iterations,train/std,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/loss
32768,526,62,34.32242149114609,1,,,,,,,,,,,
65536,564,116,68.73421287536621,2,0.9891890287399292,0.2,-0.01443850642463076,-5.63409872725606,0.001,9.676216301321983,0.14296875,0.01183744,0.040291666984558105,10,2.4816832542419434
98304,579,169,92.05942440032959,3,0.9825078845024109,0.2,-0.013188184108003043,-5.611706437170506,0.001,110.03571691066027,0.157208251953125,0.012022505,0.09096038341522217,20,14.854913711547852
131072,584,224,89.31635904312134,4,0.9678324460983276,0.2,-0.018022686235417494,-5.557866608351469,0.001,15.143234504759311,0.1704742431640625,0.013777852,0.5244857668876648,30,5.159298419952393
163840,589,277,96.79349541664124,5,0.9578115940093994,0.2,-0.017318034342315512,-5.508687586337328,0.001,19.326580387353896,0.1729705810546875,0.01479783,0.5481715798377991,40,6.419782638549805
196608,592,331,114.98178434371948,6,0.9488372802734375,0.2,-0.0156266740130377,-5.473647072166204,0.001,20.803253610432147,0.1741241455078125,0.014936688,0.5520782172679901,50,7.228031635284424
229376,596,384,110.64602994918823,7,0.9426403045654297,0.2,-0.0152609336306341,-5.439613284915685,0.001,20.861576415598392,0.1845367431640625,0.01487666,0.6111879050731659,60,8.598814964294434
262144,598,437,132.83314847946167,8,0.9332749843597412,0.2,-0.014867664279518068,-5.40048226416111,0.001,19.539309318363667,0.209234619140625,0.017826881,0.6977315247058868,70,4.723895072937012
294912,594,495,127.87819385528564,9,0.9277231693267822,0.2,-0.014284019269689452,-5.367576865106821,0.001,19.929803915321827,0.2116485595703125,0.018045116,0.7265932261943817,80,6.4770660400390625
327680,592,553,139.03266668319702,10,0.9217307567596436,0.2,-0.01162789518784848,-5.351025892794132,0.001,36.94441405758262,0.2037353515625,0.017053567,0.6589576303958893,90,28.449304580688477
360448,591,608,132.6633448600769,11,0.9112942814826965,0.2,-0.013402070086158346,-5.306138858944178,0.001,24.81039607822895,0.2243804931640625,0.018892836,0.7258888185024261,100,4.433718204498291
393216,589,667,140.05024671554565,12,0.904729962348938,0.2,-0.013925270635809284,-5.271497042477131,0.001,16.08620214164257,0.2438323974609375,0.022077553,0.8055874556303024,110,4.315602779388428
425984,585,727,127.61933851242065,13,0.8956303000450134,0.2,-0.01297324970801128,-5.234283362329006,0.001,16.17061282992363,0.2531158447265625,0.02252683,0.7936434596776962,120,4.463338851928711
458752,584,785,157.07378673553467,14,0.8911935687065125,0.2,-0.014562275094795041,-5.200039292126894,0.001,17.148893977701665,0.2431243896484375,0.024200007,0.8342322707176208,130,4.091211795806885
491520,583,841,151.6161127090454,15,0.8848526477813721,0.2,-0.01403002969600493,-5.1803648985922335,0.001,18.461935156583785,0.2476654052734375,0.023167945,0.8247645497322083,140,5.087450981140137
524288,585,896,178.72720432281494,16,0.8783611059188843,0.2,-0.01442008999947575,-5.148792251199484,0.001,19.27275869548321,0.259552001953125,0.024075152,0.8236098438501358,150,4.733363151550293
557056,588,946,174.68728113174438,17,0.8727902173995972,0.2,-0.013574811944999965,-5.123354554176331,0.001,19.47015064060688,0.25806884765625,0.025380792,0.8333592414855957,160,5.185338973999023
589824,592,995,192.09256887435913,18,0.866820752620697,0.2,-0.014598700033820933,-5.0953986994922165,0.001,17.556208508461715,0.2683502197265625,0.026908275,0.8555345386266708,170,4.513234615325928
622592,595,1046,162.60825061798096,19,0.8588559627532959,0.2,-0.009730619383117301,-5.0458487935364245,0.001,118.47447607815266,0.2458343505859375,0.023633093,0.6039400696754456,180,44.58162307739258
655360,596,1098,193.84455013275146,20,0.8525568246841431,0.2,-0.010951315620332025,-5.013522430509329,0.001,55.51483296751976,0.27841796875,0.030751817,0.7595071345567703,190,4.675369739532471
688128,598,1149,179.623788356781,21,0.8451069593429565,0.2,-0.0149288593143865,-4.984208673238754,0.001,17.17001392543316,0.29954833984375,0.02622082,0.8644715249538422,200,3.508016586303711
720896,600,1199,173.45813608169556,22,0.8377805948257446,0.2,-0.010518307690290385,-4.953304250538349,0.001,47.41236674338579,0.292938232421875,0.033046376,0.7673182934522629,210,32.93815994262695
753664,601,1251,182.01534843444824,23,0.8300933241844177,0.2,-0.014236765994428423,-4.91469182819128,0.001,15.652089577168226,0.3126434326171875,0.029656217,0.8865892514586449,220,3.6732773780822754
786432,603,1302,183.65109825134277,24,0.8236798644065857,0.2,-0.010497926955213187,-4.876822232455015,0.001,798.7782213889062,0.26962890625,0.028262863,0.34159910678863525,230,8.743335723876953
819200,604,1355,198.57530641555786,25,0.8160480260848999,0.2,-0.014560004243685398,-4.837267293781042,0.001,18.302718373388053,0.2865692138671875,0.030787343,0.8627601116895676,240,4.023192882537842
851968,604,1409,181.45579767227173,26,0.8150427937507629,0.2,-0.01057816844950139,-4.813654135912657,0.001,364.43365887105466,0.284857177734375,0.03412669,0.5117926299571991,250,4.9614458084106445
884736,605,1461,186.89379358291626,27,0.8117343187332153,0.2,-0.011209509096443072,-4.803182920068503,0.001,118.15424758419394,0.299334716796875,0.03186704,0.6977588534355164,260,3.7840137481689453
917504,605,1515,198.41218328475952,28,0.8090454339981079,0.2,-0.008668981487426208,-4.779418864101172,0.001,991.0434597402812,0.275634765625,0.03370555,0.29941946268081665,270,20.230363845825195
950272,605,1568,207.53783226013184,29,0.8039993047714233,0.2,-0.011891678251777194,-4.754447962343693,0.001,199.53443494290113,0.2924530029296875,0.03350544,0.6276431381702423,280,241.35145568847656
983040,605,1622,230.67873573303223,30,0.7968816757202148,0.2,-0.007276934322726447,-4.722790844738483,0.001,1810.3534058958292,0.2446563720703125,0.026988588,0.14859020709991455,290,1247.016357421875
1015808,604,1679,209.91165924072266,31,0.787903904914856,0.2,-0.007922698227048386,-4.686636880040169,0.001,1241.6595401093364,0.2557098388671875,0.0284991,0.23161953687667847,300,1002.1708984375
1048576,604,1735,200.72316884994507,32,0.7888784408569336,0.2,-0.009234836484029074,-4.673258961737156,0.001,843.3780494362115,0.25245361328125,0.027811717,0.3003159165382385,310,18.23443603515625
