time/iterations,rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/approx_kl,train/learning_rate,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction,train/value_loss
34,48.01303029060364,557056,724,769,-4.892723321914673,0.2,0.00883808,0.001,0.8200509548187256,0.43936270475387573,-0.0077131244492193215,50.19812774658203,330,0.0618896484375,69.24636461138725
35,64.02102136611938,573440,720,795,-4.873761659860611,0.2,0.008226612,0.001,0.8178274631500244,0.5370833575725555,-0.00780848303984385,22.036535263061523,340,0.07406005859375,88.29616375565529
36,42.21327209472656,589824,716,823,-4.861808770895005,0.2,0.008703256,0.001,0.8148260712623596,0.649420976638794,-0.00939435268883244,27.845701217651367,350,0.07154541015625,44.89903416335583
37,73.73393630981445,606208,713,849,-4.848386114835739,0.2,0.010354433,0.001,0.8126633763313293,0.7306088507175446,-0.010714776819804683,7.242344856262207,360,0.074615478515625,40.392722475528714
38,107.84315252304077,622592,710,876,-4.834245592355728,0.2,0.010393203,0.001,0.8095968961715698,0.7866590619087219,-0.013929138037201482,4.41762113571167,370,0.107281494140625,23.40132721066475
39,44.92509937286377,638976,709,900,-4.811942088603973,0.2,0.010448061,0.001,0.802168607711792,0.5216429531574249,-0.01001486158274929,34.713260650634766,380,0.095355224609375,87.39345800578594
40,55.50755953788757,655360,707,926,-4.780477860569954,0.2,0.008332543,0.001,0.7973711490631104,0.5729349851608276,-0.008401886479987297,61.767147064208984,390,0.065496826171875,90.66886292099953
41,75.68439817428589,671744,705,952,-4.755809211730957,0.2,0.0089889355,0.001,0.7928246259689331,0.6230908036231995,-0.01095836537751893,5.978564739227295,400,0.079925537109375,42.609634935855865
42,53.04100775718689,688128,701,980,-4.735104095935822,0.2,0.006632649,0.001,0.7883334159851074,0.5551678836345673,-0.007988785670750075,61.471656799316406,410,0.045404052734375,116.49612879753113
43,117.82936120033264,704512,699,1006,-4.712101140618325,0.2,0.0075493995,0.001,0.7835599184036255,0.6702678501605988,-0.00839838839310687,64.81147003173828,420,0.06351318359375,155.43531854152678
44,54.826233863830566,720896,697,1034,-4.683528360724449,0.2,0.0100709535,0.001,0.7774561643600464,0.688686341047287,-0.011950732278637587,16.021133422851562,430,0.096478271484375,74.92766178250312
45,142.22930908203125,737280,694,1061,-4.660246044397354,0.2,0.009148562,0.001,0.7754641771316528,0.6986382603645325,-0.010774975333333714,16.490577697753906,440,0.09283447265625,80.60054476261139
46,115.50166177749634,753664,692,1088,-4.647569835186005,0.2,0.010048814,0.001,0.7722166776657104,0.6988680064678192,-0.010446879075607285,21.446603775024414,450,0.08870849609375,78.28975878357888
47,50.96062135696411,770048,690,1114,-4.627038329839706,0.2,0.009659549,0.001,0.7672189474105835,0.7043056190013885,-0.010271901419764617,23.7846736907959,460,0.079193115234375,115.83966366052627
48,134.51403617858887,786432,689,1140,-4.602123057842254,0.2,0.010502817,0.001,0.7625377178192139,0.7277606427669525,-0.010917732754023746,41.68936538696289,470,0.094476318359375,124.12004866600037
49,88.79938840866089,802816,687,1168,-4.584130120277405,0.2,0.008971961,0.001,0.7610903978347778,0.7815663665533066,-0.01131549904384883,80.0592041015625,480,0.08382568359375,138.87627836465836
50,267.5888137817383,819200,685,1194,-4.577950102090836,0.2,0.0074916547,0.001,0.7604000568389893,0.7886495888233185,-0.012269993332301965,42.58312225341797,490,0.061383056640625,120.80998158454895
51,177.33183336257935,835584,684,1220,-4.569672390818596,0.2,0.0064845486,0.001,0.7574236392974854,0.6975917220115662,-0.010004372263210826,63.50594711303711,500,0.055767822265625,223.0773305416107
52,82.30232954025269,851968,683,1246,-4.557053643465042,0.2,0.009891051,0.001,0.7558711767196655,0.7391565442085266,-0.012167543949908577,40.094879150390625,510,0.08203125,137.2557997584343
53,158.509916305542,868352,681,1274,-4.538451457023621,0.2,0.008241877,0.001,0.7495273947715759,0.6773914694786072,-0.012221630415297113,75.46826171875,520,0.06903076171875,216.03332407474517
54,171.37805128097534,884736,680,1301,-4.504997044801712,0.2,0.008072123,0.001,0.7431737184524536,0.6736168265342712,-0.009834123789187289,118.3651123046875,530,0.076287841796875,240.79134488105774
55,145.39138507843018,901120,678,1328,-4.485228955745697,0.2,0.010751646,0.001,0.7436186671257019,0.7319733500480652,-0.011173893808881985,37.118324279785156,540,0.0874267578125,216.61778523921967
56,208.27101945877075,917504,677,1353,-4.479828661680221,0.2,0.009720016,0.001,0.7406551837921143,0.7316027879714966,-0.0115886135637993,49.09491729736328,550,0.0940673828125,206.65321189165115
57,263.2237854003906,933888,677,1378,-4.4644866526126865,0.2,0.006893947,0.001,0.7377634048461914,0.6778272688388824,-0.010322390236251523,86.36425018310547,560,0.0521240234375,317.8340157985687
58,161.4062180519104,950272,676,1404,-4.44751772582531,0.2,0.0075930827,0.001,0.7343642115592957,0.7218444347381592,-0.01034827741823392,122.61587524414062,570,0.066412353515625,379.4100908279419
59,199.62023210525513,966656,675,1430,-4.431240504980087,0.2,0.008150835,0.001,0.7321751117706299,0.6777420938014984,-0.011740142294729593,79.4533920288086,580,0.07335205078125,283.28474617004395
60,154.03888845443726,983040,674,1456,-4.420797312259674,0.2,0.0073276404,0.001,0.7303615808486938,0.7302059233188629,-0.010904251084139106,120.264892578125,590,0.06513671875,251.55384936332703
61,117.80540084838867,999424,674,1481,-4.414156058430672,0.2,0.009536296,0.001,0.73000168800354,0.7526855617761612,-0.012412088326527737,80.66924285888672,600,0.088983154296875,273.9659779548645
62,117.73304462432861,1015808,674,1505,-4.408337867259979,0.2,0.010884097,0.001,0.7282952666282654,0.7666424512863159,-0.013904471022397048,64.98384094238281,610,0.1038818359375,236.4229267835617
