time/iterations,rew_vec_envs,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/std,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss
1,20.810738753527403,774,32768,42,,,,,,,,,,,
2,6.8365881140343845,899,65536,72,0.123370361328125,10,0.4042988717556,0.001,0.009121298789978027,3.126670234557241,0.993215799331665,0.2,-5.645409575849771,0.012056191,-0.007318712015330675
3,20.71190313063562,966,98304,101,0.1519012451171875,20,5.263314247131348,0.001,0.49835729598999023,11.751124911382794,0.9813234806060791,0.2,-5.612160988897085,0.013340504,-0.009951132581045385
4,32.928586304187775,1002,131072,130,0.1632171630859375,30,2.6495163440704346,0.001,0.7790812402963638,4.697540211305022,0.9707663059234619,0.2,-5.574136090278626,0.014653954,-0.011285962269175798
5,43.772643864154816,1025,163840,159,0.177362060546875,40,6.9822258949279785,0.001,0.7580852508544922,11.830860873684287,0.9643333554267883,0.2,-5.53287086635828,0.015545525,-0.012820370428380556
6,33.43725496530533,1035,196608,189,0.17783203125,50,19.740558624267578,0.001,0.632522702217102,18.22307572811842,0.9601655006408691,0.2,-5.511911448836327,0.017500222,-0.01099650323149035
7,44.96840512752533,1040,229376,220,0.1755157470703125,60,6.341827869415283,0.001,0.7410922348499298,20.360719514638184,0.9501848220825195,0.2,-5.479826872795821,0.015901944,-0.011906299768088501
8,112.57827192544937,1038,262144,252,0.1480499267578125,70,8159.47021484375,0.001,0.03567647933959961,17215.83532928601,0.9399138689041138,0.2,-5.446915125846862,0.012782312,-0.004684425612504128
9,322.18952763080597,1035,294912,284,0.10423583984375,80,12.620279312133789,0.001,0.6772880256175995,86.29999866783619,0.9348254799842834,0.2,-5.416026054322719,0.010877433,-0.008651127043412999
10,156.08496117591858,1031,327680,317,0.133880615234375,90,96.0368881225586,0.001,0.306135356426239,2693.867500334978,0.928974449634552,0.2,-5.391154532879591,0.012879531,-0.006482722682630992
11,130.1008415222168,1027,360448,350,0.1542388916015625,100,1113.044921875,0.001,0.5729366838932037,656.0731828734279,0.9223345518112183,0.2,-5.362167798727751,0.016140712,-0.00910371158097405
12,138.00658869743347,1021,393216,384,0.1273101806640625,110,6076.5478515625,0.001,0.23920410871505737,6840.80715597272,0.9153734445571899,0.2,-5.3279786191880705,0.011364538,-0.005731152755470248
13,132.87580633163452,1016,425984,419,0.1398468017578125,120,6185.654296875,0.001,0.5098142325878143,2098.0643854230643,0.9107977151870728,0.2,-5.302270410954952,0.014936511,-0.007851652856334112
14,910.4979412555695,1012,458752,453,0.1096527099609375,130,6486.318359375,0.001,0.22237402200698853,18263.81596084237,0.9014302492141724,0.2,-5.271520014107227,0.011271555,-0.005079996988570201
15,371.4891080856323,1008,491520,487,0.1012725830078125,140,2099.67138671875,0.001,0.24563485383987427,33715.2471013546,0.8909300565719604,0.2,-5.230733383446932,0.011336677,-0.005608336235309252
16,342.206502199173,1005,524288,521,0.0953094482421875,150,24531.443359375,0.001,0.5563511550426483,4367.788301193714,0.8848717212677002,0.2,-5.195551607757807,0.01046447,-0.005463158873681095
17,277.48877906799316,1001,557056,556,0.1046630859375,160,17455.82421875,0.001,0.3540078401565552,13436.983555853367,0.8819677829742432,0.2,-5.1741495035588745,0.010468513,-0.005063050902390387
18,248.8596215248108,997,589824,591,0.1260284423828125,170,182.40704345703125,0.001,0.18817317485809326,41616.04505096674,0.8720728158950806,0.2,-5.1454584851861,0.01361484,-0.004681300266747712
19,1096.302195072174,992,622592,627,0.09486083984375,180,32122.919921875,0.001,0.28663361072540283,39599.79602456093,0.8554686307907104,0.2,-5.085439943522215,0.011338325,-0.004890727365636849
20,2363.0869455337524,988,655360,662,0.0681793212890625,190,34743.296875,0.001,0.27189499139785767,58969.60278301239,0.852535605430603,0.2,-5.038664212822914,0.0070766816,-0.004164299439435126
21,416.00964307785034,985,688128,698,0.078656005859375,200,49175.875,0.001,0.2943549156188965,66788.49876060485,0.8485422134399414,0.2,-5.026164874434471,0.009489871,-0.005123925062071067
22,329.00674962997437,982,720896,733,0.1098785400390625,210,458.9759216308594,0.001,0.41997915506362915,20793.30688610077,0.8374115824699402,0.2,-4.986669030785561,0.012062705,-0.005657319246165571
23,741.5899038314819,979,753664,769,0.098004150390625,220,11979.7705078125,0.001,0.25611793994903564,75089.79155864715,0.8249890804290771,0.2,-4.931281347572804,0.010651881,-0.005045138757850509
24,528.5163588523865,976,786432,805,0.0786376953125,230,28268.05078125,0.001,0.2232578992843628,116250.18296566009,0.822458803653717,0.2,-4.891852463036775,0.008998409,-0.005032923723774729
25,1136.7880654335022,972,819200,842,0.1376373291015625,240,24379.96484375,0.001,0.3527117371559143,49874.93560838699,0.8087862133979797,0.2,-4.837874091416597,0.012475891,-0.005823427779978374
26,801.1400423049927,968,851968,879,0.0821746826171875,250,38557.84765625,0.001,0.1720900535583496,133318.17854537963,0.7963979840278625,0.2,-4.789907497912646,0.009940201,-0.004215389164164663
27,980.7851538658142,964,884736,917,0.0819549560546875,260,35509.03515625,0.001,0.36828869581222534,53079.97240428925,0.7854621410369873,0.2,-4.732005132734775,0.009957424,-0.005052416492253542
28,446.0082187652588,960,917504,955,0.0559967041015625,270,112518.375,0.001,0.2644962668418884,142874.0305278778,0.779494047164917,0.2,-4.689351174235344,0.0072420267,-0.004201053356882767
29,952.1746168136597,956,950272,993,0.0684844970703125,280,11771.7880859375,0.001,0.2721197009086609,106821.66851425171,0.7734967470169067,0.2,-4.655094034224748,0.009234157,-0.0045724683131993515
30,937.0884246826172,952,983040,1032,0.0926116943359375,290,99019.4296875,0.001,0.2621866464614868,156338.38897838592,0.7656279802322388,0.2,-4.6236642830073835,0.009843153,-0.004465652955695986
31,394.6968765258789,949,1015808,1069,0.077435302734375,300,18104.728515625,0.001,0.3032934069633484,125375.37566833496,0.7575860023498535,0.2,-4.580838976055384,0.0103444755,-0.00463044792340952
32,1801.6495656967163,945,1048576,1108,0.0551544189453125,310,106743.3046875,0.001,0.3248903155326843,89498.10044403076,0.750877857208252,0.2,-4.539813859760761,0.0076466096,-0.0037347980272897986
33,1394.04167842865,941,1081344,1147,0.0548187255859375,320,22991.087890625,0.001,0.25528377294540405,123729.99842834473,0.7462465763092041,0.2,-4.513032481819391,0.0080323825,-0.004491682605657843
34,887.6318488121033,937,1114112,1187,0.0346405029296875,330,41326.90234375,0.001,0.25321418046951294,154303.4634677887,0.7390432953834534,0.2,-4.481651433557272,0.0060068592,-0.0032681015469279372
35,1021.614221572876,934,1146880,1227,0.0504608154296875,340,61520.671875,0.001,0.3180186152458191,108344.4802001953,0.7335644364356995,0.2,-4.4437068097293375,0.007602943,-0.0041060733747144695
36,1821.5781064033508,930,1179648,1267,0.05760498046875,350,99106.0234375,0.001,0.2531816363334656,200901.25548553467,0.7257330417633057,0.2,-4.409983202069998,0.007913984,-0.004202230703594978
37,1133.3827681541443,927,1212416,1306,0.051153564453125,360,22727.080078125,0.001,0.26621538400650024,167214.62395172118,0.7226166725158691,0.2,-4.376697772741318,0.007921593,-0.0035918300247431032
38,1105.3486804962158,923,1245184,1347,0.0486602783203125,370,107322.1953125,0.001,0.3298753499984741,135217.49065093993,0.7146897315979004,0.2,-4.347485490888357,0.0068357643,-0.004152101450745249
39,868.3822937011719,920,1277952,1388,0.0416168212890625,380,68844.3203125,0.001,0.2843645215034485,144275.34743499756,0.7093150019645691,0.2,-4.308503807336092,0.0064264005,-0.004058188318958855
40,786.2567949295044,917,1310720,1428,0.0285003662109375,390,33119.63671875,0.001,0.26603448390960693,226793.11070861816,0.7038738131523132,0.2,-4.28194100111723,0.005144139,-0.0034426328478730285
41,2452.5584535598755,913,1343488,1470,0.04100341796875,400,8075.2412109375,0.001,0.30961453914642334,153361.36035461427,0.6957017779350281,0.2,-4.240554730594158,0.007457809,-0.003710172675346257
42,2261.0448541641235,910,1376256,1511,0.0482177734375,410,32019.625,0.001,0.3268479108810425,146969.69742736817,0.6858119368553162,0.2,-4.189726808667183,0.0075470246,-0.004225308838795172
43,1125.9831857681274,907,1409024,1551,0.0446533203125,420,929.1148071289062,0.001,0.2182859182357788,107857.90765247346,0.6840715408325195,0.2,-4.155674365907908,0.006993117,-0.0034959586562763436
44,1971.201045036316,905,1441792,1592,0.0460296630859375,430,38453.89453125,0.001,0.24580127000808716,137030.47544593812,0.6787504553794861,0.2,-4.137005443871021,0.006540031,-0.003852925784303807
45,1345.3154430389404,902,1474560,1633,0.03084716796875,440,17249.775390625,0.001,0.2268351912498474,151261.7445877075,0.674450695514679,0.2,-4.106316348165274,0.0051706946,-0.003242593153481721
46,3421.965679168701,899,1507328,1675,0.04920654296875,450,155081.03125,0.001,0.23353922367095947,202960.19740715026,0.6663672924041748,0.2,-4.0757798328995705,0.0067671454,-0.004174240193606238
47,578.3552751541138,896,1540096,1717,0.0221405029296875,460,97964.4375,0.001,0.2118803858757019,375469.5696838379,0.6625374555587769,0.2,-4.036223567277193,0.0050450945,-0.002061784682882717
48,745.231743812561,893,1572864,1759,0.030609130859375,470,32622.828125,0.001,0.2545202374458313,177775.15067634583,0.659538984298706,0.2,-4.0159234896302225,0.005546036,-0.0032924773286140407
49,1973.3025903701782,890,1605632,1802,0.038104248046875,480,46672.09765625,0.001,0.2332974076271057,127512.01225013733,0.6531655788421631,0.2,-3.9868234768509865,0.0056306617,-0.004116793867797242
50,1867.2636709213257,888,1638400,1844,0.0312408447265625,490,91940.140625,0.001,0.23795783519744873,197634.15123443602,0.6507717967033386,0.2,-3.9587033469229937,0.005764131,-0.003488685022239224
51,1585.6302194595337,885,1671168,1887,0.0312530517578125,500,115052.1328125,0.001,0.3072068691253662,234497.21895141603,0.6490155458450317,0.2,-3.9450016137212516,0.005632438,-0.003081602324164123
52,1988.6598196029663,882,1703936,1929,0.0321746826171875,510,34146.734375,0.001,0.23919349908828735,198384.59729003906,0.6455032229423523,0.2,-3.928657128661871,0.0057022227,-0.003919225625213585
53,1810.7082509994507,880,1736704,1972,0.025250244140625,520,44590.29296875,0.001,0.2681530714035034,217068.73190917968,0.6385356187820435,0.2,-3.8969524528831245,0.004767338,-0.0033023644940840314
