time/time_elapsed,rew_vec_envs,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance
49,11.016823887825012,1,1317,65536,,,,,,,,,,,
90,12.027108892798424,2,1440,131072,0.2,0.0062641203,0.0001,10,0.0564178466796875,0.1442352682352066,-5.660607819259167,0.5226990953553468,0.9937760829925537,-0.0054995765351122826,0.05495953559875488
132,12.724727764725685,3,1482,196608,0.2,0.005666633,0.0001,20,0.04846343994140625,0.180463507771492,-5.642622030898929,9.880136453756132,0.9899630546569824,-0.0046926671127948795,0.12363612651824951
174,15.926338165998459,4,1502,262144,0.2,0.0074856346,0.0001,30,0.076214599609375,0.2701863646507263,-5.610533392801881,0.5608773847226984,0.9802260994911194,-0.00786168481590721,0.6823410093784332
216,15.986382395029068,5,1513,327680,0.2,0.007863635,0.0001,40,0.0870574951171875,0.47537463903427124,-5.584052976965904,1.0746905630454422,0.975858211517334,-0.00858940347461612,0.7575520873069763
258,24.84526115655899,6,1521,393216,0.2,0.008610675,0.0001,50,0.09343719482421875,45.68095397949219,-5.564380692318082,11.299657581048086,0.9703452587127686,-0.006759330990462331,0.375227689743042
300,34.98084610700607,7,1524,458752,0.2,0.006981235,0.0001,60,0.05988006591796875,1.2291887998580933,-5.540777293220162,37.23062193905935,0.9628830552101135,-0.00348404858577851,0.3552396893501282
344,18.336881637573242,8,1523,524288,0.2,0.00694726,0.0001,70,0.05847320556640625,58.02808380126953,-5.512500754743814,48.817145286500455,0.9571037888526917,-0.003618279397232982,0.4739987850189209
388,25.931705474853516,9,1518,589824,0.2,0.0082458425,0.0001,80,0.08968505859375,2.044790029525757,-5.485859114676714,7.686791673488915,0.950789749622345,-0.006789349608425255,0.8561498820781708
432,18.326584070920944,10,1515,655360,0.2,0.0073812865,0.0001,90,0.0660064697265625,23.214519500732422,-5.464489588886499,80.40178360594436,0.9458487033843994,-0.003520897393991618,0.5396221876144409
477,25.004120618104935,11,1508,720896,0.2,0.006428264,0.0001,100,0.0524932861328125,21.888713836669922,-5.45494770668447,115.24151780940592,0.9464889764785767,-0.0029187474583523,0.483461856842041
523,28.591225564479828,12,1503,786432,0.2,0.0070520947,0.0001,110,0.0662872314453125,35.81400680541992,-5.446972933784127,60.50387361124158,0.9417924880981445,-0.0044624016063608,0.7679492980241776
568,28.917240977287292,13,1499,851968,0.2,0.006763353,0.0001,120,0.06561737060546875,66.54156494140625,-5.43132895603776,159.71411952972412,0.9401258826255798,-0.0031907627298096487,0.4445250630378723
613,40.3256159722805,14,1494,917504,0.2,0.008518745,0.0001,130,0.09092559814453124,9.908182144165039,-5.413592988625169,68.90362018588931,0.9335203170776367,-0.005291185240639607,0.6748514175415039
659,29.391568422317505,15,1489,983040,0.2,0.0067896703,0.0001,140,0.06022796630859375,22.58220672607422,-5.394907915592194,106.97175406254829,0.9305899739265442,-0.003266755105505581,0.6469347774982452
705,44.331336081027985,16,1486,1048576,0.2,0.006655953,0.0001,150,0.06168365478515625,42.21074676513672,-5.372125163301826,167.7732933536172,0.9233710169792175,-0.0038673429260597915,0.581765353679657
