time/total_timesteps,rew_vec_envs,time/fps,time/iterations,time/time_elapsed,train/clip_range,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss
16384,-1078.0608825683594,329,1,49,,,,,,,,,,,
32768,-1169.0367431640625,341,2,95,0.2,0.995581865310669,-5.666882457584142,0.0001,8042.547099304199,4032.568115234375,-0.0007566213607788086,0.007116335,0.067449951171875,10,-0.0014943744736228837
49152,-1297.532600402832,346,3,141,0.2,0.9933243989944458,-5.654037842154503,0.0001,5134.028224182129,2746.975830078125,0.12152099609375,0.004129959,0.019927978515625,20,-0.0023382224255328763
65536,-1055.3938064575195,350,4,187,0.2,0.9891601800918579,-5.639687139168382,0.0001,3496.9420607566835,1581.205322265625,0.3498615026473999,0.004717933,0.0325439453125,30,-0.0035656824089528526
81920,-853.996826171875,354,5,231,0.2,0.9832895994186401,-5.6199897293001415,0.0001,2897.8945709228515,1636.3927001953125,0.42737048864364624,0.0070070345,0.068231201171875,40,-0.0042279120574676195
98304,-764.6325454711914,358,6,273,0.2,0.9707249402999878,-5.580180586129427,0.0001,2328.7288848400117,1001.0617065429688,0.4345843195915222,0.007679143,0.0636962890625,50,-0.0037945578966173342
114688,-908.7516937255859,364,7,314,0.2,0.9663310050964355,-5.543546798825264,0.0001,2334.3227063179015,1644.705322265625,0.4093118906021118,0.009020584,0.095001220703125,60,-0.004983054300282674
131072,-657.1255035400391,369,8,354,0.2,0.961705207824707,-5.526653487607836,0.0001,2245.9956971645356,1171.1173095703125,0.47895777225494385,0.007882051,0.067437744140625,70,-0.0037489267637283775
147456,-718.5723915100098,375,9,392,0.2,0.9513815641403198,-5.493021257221699,0.0001,1944.181653022766,1175.5946044921875,0.48013412952423096,0.00867979,0.093475341796875,80,-0.00523868769632827
163840,-593.9548797607422,382,10,428,0.2,0.9433640241622925,-5.455539359152317,0.0001,1705.9086640119554,667.7898559570312,0.5316912829875946,0.007885463,0.082403564453125,90,-0.00457585877920792
180224,-433.5912895202637,387,11,464,0.2,0.9363315105438232,-5.425002988427877,0.0001,1645.4703993320466,524.7097778320312,0.5378571450710297,0.0061968192,0.06810302734375,100,-0.003111727617942961
196608,-440.50183868408203,391,12,501,0.2,0.9302285313606262,-5.395348035544157,0.0001,1577.3220854282379,1003.5833740234375,0.5300499200820923,0.007562766,0.07528076171875,110,-0.004426739799964707
212992,-477.79078674316406,395,13,538,0.2,0.9266879558563232,-5.372411151230335,0.0001,1497.5988127946853,770.6193237304688,0.48480844497680664,0.0051422915,0.055426025390625,120,-0.0029472542242729104
229376,-354.1798485517502,399,14,574,0.2,0.9287567734718323,-5.369574683904648,0.0001,1572.1903388023377,933.3287963867188,0.5129251778125763,0.0050860094,0.05035400390625,130,-0.0026968229463818715
245760,-516.1960821151733,401,15,612,0.2,0.9238049387931824,-5.362011224403977,0.0001,1591.7901106119157,563.1927490234375,0.46591252088546753,0.005302234,0.042755126953125,140,-0.0029838630838639802
262144,-415.19815468788147,404,16,648,0.2,0.921323835849762,-5.346609990671277,0.0001,1798.792059111595,769.601318359375,0.5089415907859802,0.005109097,0.039093017578125,150,-0.0023544651643533144
278528,-365.4127676486969,407,17,684,0.2,0.920610785484314,-5.33905772306025,0.0001,1618.240307044983,922.8187866210938,0.5252810418605804,0.004038049,0.0376708984375,160,-0.0025217663205694407
294912,-269.10266304016113,409,18,719,0.2,0.9236559867858887,-5.34455789886415,0.0001,1488.0455098867417,632.9674682617188,0.521892249584198,0.0054918164,0.0456298828125,170,-0.003693509214645019
311296,-279.5351754426956,412,19,754,0.2,0.9219464063644409,-5.346468365192413,0.0001,1265.8019045591354,470.419677734375,0.5809690952301025,0.0042405785,0.03802490234375,180,-0.002496189738667454
327680,-175.12771081924438,414,20,791,0.2,0.9205185174942017,-5.338562001287937,0.0001,941.9909943580627,314.40960693359375,0.6187228560447693,0.0054117427,0.035009765625,190,-0.0029288582554727327
344064,-118.61524081230164,417,21,823,0.2,0.9226105213165283,-5.340825725719332,0.0001,1123.103793668747,498.4414367675781,0.5873991847038269,0.0054662954,0.0446044921875,200,-0.0033027053745172453
360448,-214.57682466506958,419,22,859,0.2,0.9171512126922607,-5.329287413880229,0.0001,799.5327827095986,421.5666809082031,0.6418401598930359,0.0053808354,0.05169677734375,210,-0.0030078076080826575
376832,-231.85787045955658,418,23,900,0.2,0.913543701171875,-5.313084073364735,0.0001,1073.3214221715928,524.4912719726562,0.6155622899532318,0.004222286,0.025689697265625,220,-0.0019583088787840097
393216,-145.36196184158325,418,24,940,0.2,0.9113593697547913,-5.297301540151238,0.0001,1002.258250272274,177.2931671142578,0.5932886898517609,0.004419039,0.0342529296875,230,-0.002762753830393194
409600,-362.2101266384125,418,25,978,0.2,0.9066284894943237,-5.279643516242504,0.0001,1008.3776798605919,190.3513641357422,0.628937155008316,0.004789439,0.036517333984375,240,-0.0026897338890194077
425984,-218.70382261276245,420,26,1013,0.2,0.9052231311798096,-5.266371877864003,0.0001,1007.1757972598076,445.648681640625,0.6613176167011261,0.0052764527,0.043597412109375,250,-0.002542378792168165
442368,-36.96958017349243,419,27,1055,0.2,0.9063700437545776,-5.263248863071203,0.0001,979.7086582303048,764.2759399414062,0.61338010430336,0.005621519,0.044158935546875,260,-0.0020987420644814846
458752,-81.37550032138824,421,28,1089,0.2,0.8980772495269775,-5.245078294351697,0.0001,966.1131004452706,175.18687438964844,0.6100685000419617,0.0049098753,0.03984375,270,-0.0026704297408286946
475136,-188.1724797487259,420,29,1129,0.2,0.897316575050354,-5.224909473210573,0.0001,941.2611979722976,767.0900268554688,0.6716066300868988,0.005748533,0.048004150390625,280,-0.0031205739753204396
491520,-97.01556646823883,421,30,1167,0.2,0.8971945643424988,-5.222056968137622,0.0001,1315.1474031448365,331.40887451171875,0.615158200263977,0.004704834,0.031866455078125,290,-0.0024895257171010598
507904,-89.24551856517792,421,31,1204,0.2,0.8994717597961426,-5.2257473230361935,0.0001,659.3089765846729,312.6587829589844,0.6681247055530548,0.005301486,0.052276611328125,300,-0.002123511753961793
524288,-219.84476280212402,420,32,1245,0.2,0.898119330406189,-5.223804567754269,0.0001,918.6493180155754,677.9241333007812,0.6611677408218384,0.0041990886,0.03306884765625,310,-0.0017481386301369639
540672,-194.72933852672577,422,33,1279,0.2,0.8978404402732849,-5.220876951515675,0.0001,506.2406916320324,327.0354919433594,0.7246586978435516,0.00540962,0.050299072265625,320,-0.0020126855135458753
