time/total_timesteps,time/iterations,rew_vec_envs,time/fps,time/time_elapsed,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/std,train/n_updates,train/loss,train/clip_range
27951104,1,1.64475,1593,61,,,,,,,,,,,
28049408,2,1.7632173,1571,125,0.04687296549479167,-0.002865351442718141,0.00565985,-2.1163070749491455,1067.5318426132203,0.8506733775138855,0.0001,0.4116162061691284,7690,396.59307861328125,0.2
28147712,3,1.2272397,1564,188,0.056477864583333336,-0.0033773051747023903,0.0063156057,-2.1029610227793456,1001.5464278856913,0.8563551306724548,0.0001,0.4099922776222229,7700,568.4628295898438,0.2
28246016,4,1.3224479,1558,252,0.04591573079427083,-0.002665614628737482,0.0053967447,-2.0943640444427727,925.4935757478078,0.8638206571340561,0.0001,0.4097910225391388,7710,357.05926513671875,0.2
28344320,5,1.3612136,1554,316,0.043406168619791664,-0.0029690041546321785,0.005309677,-2.0853087175637484,1295.0835461298625,0.8361987173557281,0.0001,0.4082508385181427,7720,465.3578186035156,0.2
28442624,6,1.9619299,1556,378,0.0477783203125,-0.0026874248057235186,0.006205708,-2.0719306321193773,1076.4217346350351,0.8154568523168564,0.0001,0.4071350693702698,7730,399.7500305175781,0.2
28540928,7,1.2837659,1558,441,0.05074869791666667,-0.003001857663669701,0.005750445,-2.0592295289039613,863.9129315217336,0.8292866051197052,0.0001,0.40586692094802856,7740,375.9769592285156,0.2
28639232,8,1.3126736,1558,504,0.059442138671875,-0.0032162390958546893,0.006403169,-2.048403681317965,867.7788967291514,0.8565172106027603,0.0001,0.4049954414367676,7750,213.74864196777344,0.2
28737536,9,1.8689556,1557,568,0.05068766276041667,-0.002811970386816635,0.005746659,-2.037211130435268,883.7294521013896,0.819790244102478,0.0001,0.4035033583641052,7760,259.3890075683594,0.2
28835840,10,1.9926414,1560,630,0.057843017578125,-0.0032075998476405704,0.0067209397,-2.019738895073533,860.6627847194671,0.8457571417093277,0.0001,0.4015875458717346,7770,228.00550842285156,0.2
28934144,11,2.3773444,1560,692,0.05326131184895833,-0.0030412554431677565,0.006064123,-2.005287118628621,1084.5366620063783,0.8274614661931992,0.0001,0.4005855321884155,7780,518.6641235351562,0.2
