rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/loss,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/clip_range
2.7593899,,,,,,,,,,,,,,,
2.6626713,,,,,,,,,,,,,,,
,1,54,18284544,603,,,,,,,,,,,
2.4857278,,,,,6300,331.68060302734375,0.5699350237846375,-0.002871122940996429,877.2793637394905,0.0058628926,0.0001,0.8714493811130524,-3.415737296268344,0.0702117919921875,0.2
1.5171516,,,,,,,,,,,,,,,
,2,103,18317312,633,,,,,,,,,,,
2.7662666,,,,,6310,116.84127044677734,0.5697694420814514,-0.0022165004436828896,663.9084292411804,0.005804863,0.0001,0.8610000759363174,-3.4147352118045093,0.0475738525390625,0.2
2.9587178,,,,,,,,,,,,,,,
,3,152,18350080,645,,,,,,,,,,,
2.3461916,,,,,6320,524.5261840820312,0.5697915554046631,-0.002071595416418859,1061.1541387557984,0.0046519116,0.0001,0.7894187271595001,-3.413782162219286,0.032958984375,0.2
2.2412148,,,,,,,,,,,,,,,
,4,201,18382848,649,,,,,,,,,,,
2.6960597,,,,,6330,391.0276794433594,0.5693610906600952,-0.0016246115766989533,896.7962569713593,0.009105122,0.0001,0.8828695639967918,-3.413066313415766,0.0562286376953125,0.2
2.5890887,,,,,,,,,,,,,,,
,5,251,18415616,652,,,,,,,,,,,
2.619907,,,,,6340,292.2829284667969,0.5694608092308044,-0.002095292685407912,1103.6902508497237,0.0058635008,0.0001,0.8312789350748062,-3.411963905394077,0.051568603515625,0.2
2.3514185,,,,,,,,,,,,,,,
,6,300,18448384,653,,,,,,,,,,,
2.1432638,,,,,6350,1205.8248291015625,0.5693735480308533,-0.0026679089096433017,2200.215849971771,0.004866559,0.0001,0.6877360939979553,-3.41138934828341,0.04637451171875,0.2
2.1919765,,,,,,,,,,,,,,,
,7,349,18481152,655,,,,,,,,,,,
2.422619,,,,,6360,370.2619934082031,0.5694976449012756,-0.0033302772499155253,1216.3747480869292,0.0047707018,0.0001,0.7503219693899155,-3.411773218214512,0.0360137939453125,0.2
2.8252397,,,,,,,,,,,,,,,
,8,398,18513920,657,,,,,,,,,,,
2.6224244,,,,,6370,357.1881103515625,0.5690186619758606,-0.0027147712709847836,1187.175532245636,0.006272412,0.0001,0.7715947031974792,-3.410181198269129,0.0584259033203125,0.2
2.6661606,,,,,,,,,,,,,,,
,9,447,18546688,658,,,,,,,,,,,
2.1412961,,,,,6380,352.79022216796875,0.5682171583175659,-0.0025232051379134647,604.0138394355774,0.00613576,0.0001,0.8469545692205429,-3.405329709127545,0.056915283203125,0.2
2.3748393,,,,,,,,,,,,,,,
,10,496,18579456,659,,,,,,,,,,,
2.4668949,,,,,6390,187.47605895996094,0.5678164958953857,-0.0023233538759086514,266.12006385326384,0.008624226,0.0001,0.8894015848636627,-3.4015833020210264,0.0848968505859375,0.2
2.355785,,,,,,,,,,,,,,,
,11,545,18612224,660,,,,,,,,,,,
2.3378277,,,,,6400,233.0894775390625,0.5675662755966187,-0.002810595000482863,760.4071117162705,0.006396169,0.0001,0.8472151756286621,-3.398994490504265,0.0448028564453125,0.2
2.7120852,,,,,,,,,,,,,,,
,12,595,18644992,660,,,,,,,,,,,
2.6073637,,,,,6410,988.8886108398438,0.567191481590271,-0.0032684750673070083,2021.6333469867707,0.0051687947,0.0001,0.7311273813247681,-3.396580175682902,0.056463623046875,0.2
2.1959894,,,,,,,,,,,,,,,
,13,644,18677760,661,,,,,,,,,,,
2.5184908,,,,,6420,298.6771545410156,0.5670775175094604,-0.0015551073833194097,1079.9459008216859,0.0037913702,0.0001,0.8338218778371811,-3.3950343053787946,0.04144287109375,0.2
2.152489,,,,,,,,,,,,,,,
,14,693,18710528,661,,,,,,,,,,,
