time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rew_vec_envs,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/explained_variance,train/std
70,2162688,928,1,1.3008726,,,,,,,,,,,
125,2228224,1044,2,2.677847,330,0.0038131052,0.0001,-0.0029128259686331147,705.614702475071,0.2,-4.8463907275348905,0.02167510986328125,186.91036987304688,0.9026734828948975,0.819065511226654
183,2293760,1073,3,2.1424365,340,0.0035838834,0.0001,-0.00301564564142609,619.7541805624962,0.2,-4.830575587600469,0.0221435546875,221.6720733642578,0.9019368216395378,0.8160660266876221
241,2359296,1086,4,2.9269738,350,0.003658872,0.0001,-0.0028904573131512735,733.2727601885796,0.2,-4.814799031615257,0.01854095458984375,199.91604614257812,0.8944558501243591,0.8132089376449585
293,2424832,1116,5,1.8101935,360,0.003513683,0.0001,-0.002726865875229123,552.2753391027451,0.2,-4.8051319945603606,0.01796417236328125,133.31045532226562,0.9121442884206772,0.8129229545593262
346,2490368,1135,6,3.35782,370,0.0037822379,0.0001,-0.0029508112995245027,607.87805185318,0.2,-4.7959080170840025,0.01941375732421875,152.39247131347656,0.897410660982132,0.8099389672279358
398,2555904,1151,7,2.1901207,380,0.0036036856,0.0001,-0.002897998036496574,572.8409977912903,0.2,-4.781719636917114,0.02032012939453125,123.92793273925781,0.8894037157297134,0.8077938556671143
449,2621440,1166,8,2.3032193,390,0.0034435778,0.0001,-0.0028987591724217053,640.7319777131081,0.2,-4.762920055538416,0.01760101318359375,165.05288696289062,0.9060122966766357,0.8033519387245178
501,2686976,1177,9,2.3696713,400,0.004061856,0.0001,-0.003186828602156311,662.2926006436348,0.2,-4.744933518394828,0.02197723388671875,196.081787109375,0.9050146266818047,0.8014113306999207
553,2752512,1183,10,2.7068043,410,0.0038942033,0.0001,-0.003021189673017943,753.6996725678443,0.2,-4.7285212080925705,0.0225341796875,197.8080596923828,0.8898129165172577,0.7976974248886108
604,2818048,1193,11,3.4251223,420,0.0036337886,0.0001,-0.0031665154652728233,630.5919561624527,0.2,-4.714135653525591,0.02415618896484375,248.68482971191406,0.904061496257782,0.7964109182357788
654,2883584,1200,12,1.8355545,430,0.0035521872,0.0001,-0.0028097609558244583,595.3326552510262,0.2,-4.70904287956655,0.01793975830078125,173.8387908935547,0.9084135964512825,0.7958922386169434
707,2949120,1204,13,2.4454355,440,0.003328294,0.0001,-0.0027897954165382543,748.0043896198273,0.2,-4.700051681324839,0.01581573486328125,191.00306701660156,0.892805427312851,0.7939053773880005
758,3014656,1210,14,2.743939,450,0.0036920975,0.0001,-0.002995052479855076,599.7871275663376,0.2,-4.686598179861903,0.01939697265625,115.61060333251953,0.9126333594322205,0.7921358346939087
809,3080192,1214,15,2.740152,460,0.0034768311,0.0001,-0.0028664256309639314,695.6588475465775,0.2,-4.679520682990551,0.01724853515625,177.55789184570312,0.9092027023434639,0.7923023700714111
861,3145728,1217,16,1.9908382,470,0.0033605504,0.0001,-0.0026604998498442,718.8397950410842,0.2,-4.6709518998861315,0.01536865234375,235.52403259277344,0.88406902551651,0.7900935411453247
