time/fps,time/iterations,time/total_timesteps,rew_vec_envs,time/time_elapsed,train/clip_range,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/n_updates,train/std
796,1,32768,-107.52921438217163,41,,,,,,,,,,,
909,2,65536,-90.95030450820923,72,0.2,-5.64005958288908,13.735207484290004,0.001,0.12235107421875,-0.006978765287203714,0.009888798,-0.016919374465942383,1.016359806060791,10,0.9873983860015869
961,3,98304,-98.85285377502441,102,0.2,-5.596243798732758,7.15873102247715,0.001,0.12999267578125,-0.010178619174985215,0.011368793,0.5498592853546143,3.3986270427703857,20,0.9757348299026489
986,4,131072,-71.71961390972137,132,0.2,-5.546747327595949,8.552571482211352,0.001,0.171881103515625,-0.012808831482834649,0.013679445,0.6464333832263947,3.15677547454834,30,0.9650213718414307
991,5,163840,-71.02655112743378,165,0.2,-5.4963224157691,9.761066412180663,0.001,0.176116943359375,-0.01430444834913942,0.014560907,0.7072179019451141,2.5171101093292236,40,0.9542107582092285
989,6,196608,-75.07615804672241,198,0.2,-5.457735680788756,8.627154647931457,0.001,0.216314697265625,-0.01526626669074176,0.018736739,0.666967362165451,2.3716132640838623,50,0.9461292624473572
991,7,229376,-69.77064096927643,231,0.2,-5.422050432860852,9.108835513144731,0.001,0.2213226318359375,-0.016703024873277173,0.018650629,0.7126961648464203,2.7005410194396973,60,0.937182605266571
1001,8,262144,-54.53125470876694,261,0.2,-5.379107622802257,7.345465007796884,0.001,0.25225830078125,-0.017521494954416995,0.021662232,0.7337610721588135,1.5938453674316406,70,0.9282482266426086
1005,9,294912,-44.38844147324562,293,0.2,-5.3510389916598795,7.016865680366754,0.001,0.258685302734375,-0.018556956219254062,0.024215696,0.7302665412425995,2.4724481105804443,80,0.9219308495521545
1004,10,327680,-43.5491663813591,326,0.2,-5.310894514620304,231.16965406239032,0.001,0.231939697265625,-0.011681442002009134,0.02029322,0.223158061504364,3.3367602825164795,90,0.9104430079460144
1004,11,360448,7.290907502174377,358,0.2,-5.27056233510375,33.42410420030355,0.001,0.20908203125,-0.012717298472853144,0.022350147,0.5340058207511902,7.540223121643066,100,0.9026767015457153
1000,12,393216,-13.123558834195137,393,0.2,-5.244786497950554,105.58980811201036,0.001,0.26844482421875,-0.011799563895328902,0.025554739,0.4257189631462097,2.142021894454956,110,0.8969855308532715
991,13,425984,-16.90956085920334,429,0.2,-5.219397958368063,68.62397653907537,0.001,0.2629119873046875,-0.01220218594025937,0.027750611,0.5531052350997925,90.81775665283203,120,0.8916966319084167
988,14,458752,-34.14611177518964,464,0.2,-5.200768028199673,57.28841463029384,0.001,0.22359619140625,-0.013589940656675025,0.022724066,0.7415952682495117,19.710506439208984,130,0.8858970403671265
986,15,491520,-9.994294852018356,498,0.2,-5.171784190088511,93.62902631759644,0.001,0.253656005859375,-0.013154644218957401,0.026880186,0.6585683226585388,3.0040860176086426,140,0.8816094398498535
979,16,524288,34.63264128565788,535,0.2,-5.14446886330843,140.75798841565847,0.001,0.2498748779296875,-0.010525116906137555,0.02683521,0.5256744623184204,42.748355865478516,150,0.873785138130188
970,17,557056,-10.053946793079376,573,0.2,-5.10032379925251,115.7962778031826,0.001,0.2822113037109375,-0.0099337923064013,0.03208653,0.5856718719005585,70.47816467285156,160,0.863280177116394
961,18,589824,-6.393706917762756,613,0.2,-5.058510547876358,96.29265616387129,0.001,0.236749267578125,-0.01089493793042493,0.02451804,0.6507983207702637,22.590045928955078,170,0.8555338382720947
956,19,622592,-1.2268723100423813,650,0.2,-5.016278921067714,97.39179976284504,0.001,0.236151123046875,-0.012437503627006663,0.024478067,0.7383261024951935,9.463825225830078,180,0.8469973802566528
950,20,655360,4.26817923784256,689,0.2,-5.001868576556444,73.43592451959849,0.001,0.2327423095703125,-0.013585390834487043,0.028543497,0.773598238825798,28.83167266845703,190,0.8465613126754761
945,21,688128,186.40126195549965,727,0.2,-4.983022186905146,232.6690700471401,0.001,0.14840087890625,-0.010258344401154317,0.01794929,0.7043057680130005,71.30224609375,200,0.8413551449775696
941,22,720896,155.64897751808167,765,0.2,-4.952997027337551,336.04773054122927,0.001,0.1363677978515625,-0.010766732251977374,0.016423825,0.6953530609607697,63.478416442871094,210,0.8315364122390747
937,23,753664,92.56138998270035,804,0.2,-4.919653611630201,264.60919711887834,0.001,0.178668212890625,-0.014622336612228537,0.019812088,0.8326334804296494,84.58978271484375,220,0.8274170756340027
933,24,786432,24.37590080499649,842,0.2,-4.8851858951151375,272.4056158691645,0.001,0.165509033203125,-0.013966434567191755,0.019932725,0.7767326235771179,72.80223846435547,230,0.8194398880004883
930,25,819200,207.44024658203125,880,0.2,-4.850248148292303,172.09042804539203,0.001,0.2114288330078125,-0.013713316628127359,0.024244318,0.8144305944442749,25.919254302978516,240,0.8138346672058105
926,26,851968,109.97983458638191,919,0.2,-4.807001203298569,296.068318349123,0.001,0.171875,-0.012076148332926095,0.019780554,0.7678490579128265,27.748279571533203,250,0.8027492761611938
923,27,884736,259.97766131162643,958,0.2,-4.750147888809442,326.17835318446157,0.001,0.1697113037109375,-0.013613762185559607,0.018351711,0.8103579580783844,91.00662994384766,260,0.7928915023803711
920,28,917504,80.18772099912167,997,0.2,-4.729462927579879,293.3918165266514,0.001,0.1777862548828125,-0.013786109018838033,0.020230997,0.7973422259092331,131.18948364257812,270,0.7902221083641052
912,29,950272,152.4707269668579,1040,0.2,-4.684840629994869,314.59143406748774,0.001,0.191705322265625,-0.013408631833226537,0.02111532,0.8386472314596176,67.82923889160156,280,0.7796156406402588
906,30,983040,200.375992000103,1084,0.2,-4.6439807318151,418.4112623333931,0.001,0.1689361572265625,-0.013001516638905742,0.018357575,0.8090867698192596,52.342369079589844,290,0.7723496556282043
902,31,1015808,244.63905695080757,1125,0.2,-4.6047067530453205,382.2442249059677,0.001,0.1769744873046875,-0.013945843319379491,0.01887494,0.8209958225488663,44.23619079589844,300,0.7648681402206421
899,32,1048576,360.13937425613403,1165,0.2,-4.571115347743034,446.3543938159943,0.001,0.1694091796875,-0.012978631502119243,0.019784143,0.7897837162017822,61.06039810180664,310,0.7589651942253113
