time/total_timesteps,time/fps,time/iterations,rew_vec_envs,time/time_elapsed,train/policy_gradient_loss,train/value_loss,train/loss,train/n_updates,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/clip_fraction,train/entropy_loss,train/approx_kl
65536,785,1,0.27011950943779084,83,,,,,,,,,,,
131072,913,2,0.5452707826916594,143,-0.004529240804185974,0.013150108047557296,-0.01601877436041832,10,0.001,0.9980683922767639,0.2,0.4772183299064636,0.1141143798828125,-5.667566125839949,0.0102157
196608,976,3,0.36306323886674363,201,-0.006110834172523028,0.617953306806885,-0.010990889742970467,20,0.001,0.9910815954208374,0.2,0.029960155487060547,0.15740966796875,-5.648507792502642,0.013472405
262144,1011,4,0.9444025390612296,259,-0.009295009862398729,0.008331215578800765,-0.008607054129242897,30,0.001,0.9817527532577515,0.2,0.1859946846961975,0.18220367431640624,-5.607905245572328,0.015094446
327680,1030,5,0.36583677039379836,318,-0.004747775248324615,2.1924583717227506,-0.006461140234023333,40,0.001,0.976524829864502,0.2,0.12638282775878906,0.18148345947265626,-5.575939034670592,0.016729977
393216,1031,6,0.4211790701810969,381,-0.01268529920871515,0.010425447915258701,-0.015488425269722939,50,0.001,0.9729142189025879,0.2,0.6961871981620789,0.22362213134765624,-5.5663578439503905,0.018406112
458752,1043,7,-5.667749335494591,439,-0.014565595444037172,0.010916489186638501,-0.019645020365715027,60,0.001,0.9632309675216675,0.2,0.7257882058620453,0.23623199462890626,-5.5373112194240095,0.020548254
524288,1052,8,0.827099336844185,497,-0.009097109523645485,1.7736482108019118,-0.01473228633403778,70,0.001,0.9567856788635254,0.2,0.005650162696838379,0.23560791015625,-5.496475208178163,0.01990195
589824,1059,9,0.9178502046197536,556,-0.008599812112697692,0.3349013501749141,-0.010398691520094872,80,0.001,0.951840877532959,0.2,0.0580371618270874,0.26947174072265623,-5.485675511881709,0.023747297
655360,1065,10,0.833503688161727,615,-0.01695497173604963,0.014552329899015604,-0.023921530693769455,90,0.001,0.945925772190094,0.2,0.6991879045963287,0.29449462890625,-5.461510202661157,0.026702598
720896,1069,11,1.21795662981458,673,-0.00794139025729237,3.324293966060213,0.8800193667411804,100,0.001,0.9377286434173584,0.2,0.2808193564414978,0.2670623779296875,-5.422560280933976,0.025615972
786432,1073,12,1.1024592491448857,732,-0.011189797513725352,0.24108751432504505,0.018269790336489677,110,0.001,0.9279946088790894,0.2,-0.004127383232116699,0.3192138671875,-5.388682175800204,0.030405864
851968,1074,13,1.3999166045105085,793,-0.007844360392118688,55.460385849751766,-0.009122557006776333,120,0.001,0.9228700399398804,0.2,-0.003084540367126465,0.30921478271484376,-5.3483485415577885,0.029279668
917504,1074,14,1.7169237044581678,853,-0.003627240497735329,2.420295004923537,0.03484584391117096,130,0.001,0.9257582426071167,0.2,0.2190098762512207,0.32534942626953123,-5.34456294812262,0.03795655
983040,1075,15,1.3685663996147923,913,-0.0021405059020253247,18.59172668636602,0.10674268752336502,140,0.001,0.9276233911514282,0.2,0.041900455951690674,0.30445709228515627,-5.37530410066247,0.029225267
1048576,1073,16,2.085298932623118,976,-0.005091009570787719,14.306421126949136,51.0658073425293,150,0.001,0.9274929761886597,0.2,0.19934678077697754,0.26751251220703126,-5.361494843289256,0.033479854
