time/total_timesteps,time/iterations,rew_vec_envs,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/loss,train/n_updates,train/std
16384,1,18.712294936180115,30,538,,,,,,,,,,,
32768,2,17.11241328716278,66,493,-0.19579648971557617,0.15705824563483475,0.058612060546875,0.2,-0.007037383133319963,0.0001,0.0065453127,-5.6739009423181415,0.021787643432617188,10,0.9971680641174316
49152,3,25.363829255104065,105,465,0.012969732284545898,43.190689872327496,0.06011962890625,0.2,-0.004892523343914945,0.0001,0.0068834363,-5.670369073934853,0.07564282417297363,20,0.9989943504333496
65536,4,35.571919441223145,143,456,0.05022716522216797,79.44435649506923,0.0728271484375,0.2,-0.007190256611647783,0.0001,0.007382786,-5.653241031989455,0.04379839450120926,30,0.9906850457191467
81920,5,23.861156940460205,179,455,0.22364360094070435,15.861277135406272,0.093658447265625,0.2,-0.006996390473432257,0.0001,0.008608697,-5.624433773197234,26.68137550354004,40,0.9842283725738525
98304,6,32.70629835128784,213,461,0.8351938128471375,0.5368045006383909,0.08680419921875,0.2,-0.009918058848597866,0.0001,0.008006039,-5.590809925459325,0.18003657460212708,50,0.9766182899475098
114688,7,24.22931957244873,247,462,0.7924715727567673,0.7839229237986729,0.0922119140625,0.2,-0.010371841207233955,0.0001,0.008972401,-5.557411283254623,0.38983336091041565,60,0.9676263332366943
131072,8,30.876062750816345,283,462,0.7299583256244659,1.9197541339584858,0.099237060546875,0.2,-0.008667760938260471,0.0001,0.009677412,-5.525219546072185,0.3178492784500122,70,0.9600028395652771
147456,9,30.638980865478516,318,462,0.30780351161956787,12.539479970466346,0.10845947265625,0.2,-0.009855540888747783,0.0001,0.009412799,-5.502223290316761,0.28120115399360657,80,0.9559949040412903
163840,10,30.97525691986084,355,461,0.7553554177284241,0.8948760690400377,0.10728759765625,0.2,-0.012312447549447825,0.0001,0.009421388,-5.474586116336286,0.14835084974765778,90,0.9491512775421143
180224,11,29.416722774505615,389,462,0.7856088131666183,1.4995986564259511,0.092755126953125,0.2,-0.009232183586573229,0.0001,0.009271581,-5.45420743227005,1.8586324453353882,100,0.9449170231819153
196608,12,29.67713975906372,425,462,0.8247747272253036,0.9571581187483389,0.124176025390625,0.2,-0.012075302355333406,0.0001,0.011639065,-5.431941142864526,0.26219600439071655,110,0.9378687143325806
212992,13,86.59832859039307,464,458,0.8081238567829132,1.6792500847601333,0.103692626953125,0.2,-0.009306044202276098,0.0001,0.010145055,-5.387501385249197,0.8780441880226135,120,0.927219033241272
229376,14,39.81049609184265,504,454,0.23959273099899292,65.9119780136738,0.112158203125,0.2,-0.008834365607071959,0.0001,0.009651804,-5.371016993746162,0.40125566720962524,130,0.9272410869598389
245760,15,45.447123765945435,543,452,0.3084643483161926,35.4148903066176,0.091162109375,0.2,-0.007158333562620101,0.0001,0.009371988,-5.356246971525252,0.35052692890167236,140,0.9222266674041748
262144,16,37.40584349632263,586,447,0.5805966556072235,13.43530338666169,0.09407958984375,0.2,-0.009227716493296612,0.0001,0.01016319,-5.340443773567676,0.5085393786430359,150,0.9189542531967163
278528,17,45.15528106689453,627,443,0.7937270104885101,3.9372397819533944,0.124957275390625,0.2,-0.010764136617035546,0.0001,0.010350952,-5.3220306351780895,1.3344173431396484,160,0.9139536023139954
294912,18,83.69884729385376,668,441,0.81363745033741,3.629782059637364,0.12684326171875,0.2,-0.012310107732992038,0.0001,0.012207995,-5.300163413584232,0.2754499614238739,170,0.9092892408370972
311296,19,37.45854139328003,709,439,0.6111323833465576,34.957044797425624,0.083685302734375,0.2,-0.006399138360939105,0.0001,0.009496937,-5.284671734459698,0.5060483813285828,180,0.9042410254478455
327680,20,31.29282832145691,750,436,0.8103239238262177,3.1538740805233827,0.124102783203125,0.2,-0.010741024317940173,0.0001,0.010545866,-5.265467503108084,1.049975872039795,190,0.9017753601074219
344064,21,59.47116041183472,792,434,0.2516160011291504,49.68627252873266,0.118017578125,0.2,-0.008756862853078928,0.0001,0.011231452,-5.243469772301614,0.4949079751968384,200,0.895148754119873
360448,22,62.30695295333862,832,433,0.7093794941902161,3.9218826261581854,0.1249755859375,0.2,-0.011643637306224263,0.0001,0.011808408,-5.220734731666743,2.088026762008667,210,0.8912391066551208
376832,23,47.776230335235596,874,430,0.3440103530883789,111.83754756762646,0.0952880859375,0.2,-0.0047042841100847,0.0001,0.010463679,-5.2050673322752115,0.8418703675270081,220,0.8873479962348938
393216,24,56.30380320549011,914,430,0.7787098437547684,24.394279103539883,0.140679931640625,0.2,-0.011456912808989727,0.0001,0.012588121,-5.187575921230018,0.6691238284111023,230,0.8841254711151123
409600,25,78.54003429412842,956,428,0.49898964166641235,118.91172329927795,0.105718994140625,0.2,-0.006038955957410508,0.0001,0.010329245,-5.1766419125720855,274.28863525390625,240,0.8821077942848206
425984,26,41.212430238723755,998,426,0.6695763170719147,114.79835587837734,0.102117919921875,0.2,-0.005979050931091479,0.0001,0.011002073,-5.165592462569475,55.34700393676758,250,0.8789670467376709
442368,27,87.92712593078613,1039,425,0.5570670962333679,151.9889218457043,0.11480712890625,0.2,-0.005814177597858361,0.0001,0.010816567,-5.1526901550590996,103.05491638183594,260,0.8764969706535339
458752,28,50.15277576446533,1080,424,0.69212406873703,44.64858864578419,0.1537353515625,0.2,-0.008588781868820661,0.0001,0.01353007,-5.133211466483772,2.5096428394317627,270,0.8723115921020508
475136,29,53.159350872039795,1121,423,0.8174971789121628,43.294602539483456,0.09632568359375,0.2,-0.006768133393779863,0.0001,0.010607617,-5.131791549362243,3.856727123260498,280,0.8742848634719849
491520,30,148.6186819076538,1164,421,0.7225203812122345,51.652208525454625,0.1169921875,0.2,-0.00902226164980675,0.0001,0.010804788,-5.135127732343972,154.46640014648438,290,0.8741936683654785
