rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction
21.89882481098175,1,16384,27,588,,,,,,,,,,,
21.192673683166504,2,32768,53,607,0.9933396577835083,-5.661426058411598,0.3577178716659546,10,0.2,0.0001,0.005455524,-0.002926546434082411,-0.03038334846496582,0.6427116482052952,0.0439208984375
21.71230125427246,3,49152,81,603,0.9935815930366516,-5.650099525600671,0.3058066666126251,20,0.2,0.0001,0.0040179347,-0.0027314908869811917,0.29547595977783203,0.8733183258213103,0.03853759765625
8.659816265106201,4,65536,111,585,0.9955328106880188,-5.654980425536633,0.3684564530849457,30,0.2,0.0001,0.004488821,-0.0021009014768424094,0.1570088267326355,5.778245132695884,0.034539794921875
18.387239456176758,5,81920,143,570,0.9929033517837524,-5.6524718090891835,5.425844192504883,40,0.2,0.0001,0.0046826596,-0.002046783555761067,0.17401188611984253,6.198526666592807,0.03773193359375
21.55138671398163,6,98304,174,564,0.9920666813850403,-5.645841686427593,0.41827863454818726,50,0.2,0.0001,0.0046172077,-0.0032806221409373395,0.17108285427093506,3.4157070595771075,0.03341064453125
22.515437483787537,7,114688,207,553,0.9921612739562988,-5.6445598438382145,0.42390456795692444,60,0.2,0.0001,0.0045953183,-0.0024673120859006305,0.6808158159255981,0.9325615704059601,0.045050048828125
21.813218593597412,8,131072,242,540,0.9903229475021362,-5.641203673183918,0.6753574013710022,70,0.2,0.0001,0.004924425,-0.002296002684670384,0.31771141290664673,5.5694346614181995,0.0413818359375
19.20803391933441,9,147456,275,535,0.9874249696731567,-5.630886220932007,0.45210540294647217,80,0.2,0.0001,0.0045863213,-0.002016750483562646,0.44593995809555054,2.739920713286847,0.034783935546875
22.7964129447937,10,163840,309,529,0.9866141080856323,-5.624378138780594,0.4174278676509857,90,0.2,0.0001,0.0050617326,-0.002132068450919178,0.7816323935985565,0.9397237241268158,0.042529296875
20.947519302368164,11,180224,344,523,0.9849827289581299,-5.619040619581938,0.41141194105148315,100,0.2,0.0001,0.005156048,-0.0034119116715373822,0.3166038990020752,6.492220989055932,0.0509521484375
19.741004467010498,12,196608,381,515,0.98056960105896,-5.605011852830648,0.3482247591018677,110,0.2,0.0001,0.005348118,-0.002736706849100301,0.7676199823617935,0.7475262745283544,0.05380859375
23.998769879341125,13,212992,418,508,0.9779216051101685,-5.5910537101328375,0.5175375938415527,120,0.2,0.0001,0.0054501323,-0.0031549408959108405,0.3796691298484802,5.152562031336129,0.052362060546875
16.752930641174316,14,229376,456,502,0.9744511246681213,-5.577951087802648,0.4077962338924408,130,0.2,0.0001,0.0060343808,-0.0029589386025691057,0.733856588602066,0.7900823326781392,0.058477783203125
21.538476824760437,15,245760,495,496,0.9720615148544312,-5.567578554898501,0.5352653861045837,140,0.2,0.0001,0.0053519164,-0.003264592619962059,0.3999183773994446,4.777040547318757,0.051947021484375
18.86917746067047,16,262144,534,490,0.9711017608642578,-5.560818754881621,0.4357452690601349,150,0.2,0.0001,0.006422892,-0.0016405532673161361,0.44116461277008057,6.836824817117304,0.055633544921875
21.192020654678345,17,278528,575,483,0.9703668355941772,-5.556202863901854,0.2561322748661041,160,0.2,0.0001,0.006555195,-0.0027212401160795706,0.7786281257867813,0.7487741826102138,0.072747802734375
24.378202080726624,18,294912,617,477,0.9653016924858093,-5.544974363595247,0.3126940131187439,170,0.2,0.0001,0.0071217464,-0.0017361141868605045,0.40065932273864746,4.7078846887685355,0.06336669921875
23.861600875854492,19,311296,659,472,0.9644812345504761,-5.53292815759778,0.28601884841918945,180,0.2,0.0001,0.006474489,-0.0025592518013581866,0.8133783340454102,0.6708613087423145,0.07706298828125
22.385536909103394,20,327680,701,467,0.9606124758720398,-5.52070649266243,0.3917540907859802,190,0.2,0.0001,0.007214628,-0.002830765519865963,0.8219017833471298,0.7246741446666419,0.083563232421875
21.587276220321655,21,344064,742,463,0.9563256502151489,-5.50484057366848,0.3314516544342041,200,0.2,0.0001,0.0072089694,-0.004246328020235524,0.8245565295219421,0.7425289997830987,0.075048828125
24.449409127235413,22,360448,784,459,0.9540677070617676,-5.490963875502348,0.4033578336238861,210,0.2,0.0001,0.007251816,-0.0031982180113118374,0.8088416457176208,0.7116902188863605,0.0826904296875
23.28739821910858,23,376832,826,455,0.9570782780647278,-5.495412237942219,0.4084400534629822,220,0.2,0.0001,0.0063235178,-0.0031500829067226733,0.8488121628761292,0.7395379746798426,0.076275634765625
