time/time_elapsed,time/iterations,time/fps,rew_vec_envs,time/total_timesteps,train/std,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/entropy_loss
71,1,457,6463.73095703125,14712832,,,,,,,,,,,
134,2,488,7061.9051513671875,14745600,0.19891542196273804,0.001,0.002676738201989792,0.8172568380832672,4490,0.2,10187.738122940063,0.276324462890625,2317.415283203125,0.035097174,1.5951372317969799
198,3,496,6537.633735656738,14778368,0.1989278495311737,0.001,0.0023212174161017173,0.80564284324646,4500,0.2,10758.45810394287,0.2670562744140625,2044.588623046875,0.028223522,1.6018524998798966
261,4,501,6780.514495849609,14811136,0.1988936960697174,0.001,0.0037204316053248477,0.8161575496196747,4510,0.2,10341.967384338379,0.2746856689453125,2507.1591796875,0.029555012,1.6075980983674527
324,5,504,6761.459564208984,14843904,0.19853651523590088,0.001,0.002138047252810793,0.7965976595878601,4520,0.2,10241.476432037354,0.259649658203125,2388.38818359375,0.030332416,1.6151031905785203
387,6,507,6738.695739746094,14876672,0.197829470038414,0.001,0.001445729580882471,0.8065970838069916,4530,0.2,12002.92826576233,0.2538421630859375,2016.446533203125,0.030302461,1.62651395406574
450,7,509,6792.103912353516,14909440,0.19784918427467346,0.001,0.0027006586355128094,0.8106945902109146,4540,0.2,11278.889624023437,0.2671875,2104.469970703125,0.03420043,1.6332132747396826
513,8,510,7170.222808837891,14942208,0.19735360145568848,0.001,0.002435074606910348,0.8189071118831635,4550,0.2,10936.949956512452,0.2610870361328125,2214.179931640625,0.026894234,1.636979934759438
577,9,510,7393.961700439453,14974976,0.1972525417804718,0.001,0.0026717822769569467,0.8021723479032516,4560,0.2,10941.92574081421,0.2635223388671875,2167.009033203125,0.035479818,1.6416791249066591
640,10,511,6750.8277587890625,15007744,0.1969611942768097,0.001,0.0018026598540018314,0.8251526206731796,4570,0.2,10335.56527633667,0.2701019287109375,2058.214111328125,0.025659066,1.6445372737944126
703,11,512,6941.090148925781,15040512,0.19647815823554993,0.001,0.0027604158662143164,0.8131597638130188,4580,0.2,10973.145851516723,0.2617889404296875,2377.702880859375,0.03197202,1.6505790187045932
766,12,513,7086.775695800781,15073280,0.19603011012077332,0.001,0.0018727517668594373,0.8349025398492813,4590,0.2,10662.689533996581,0.2655975341796875,1956.83837890625,0.028980795,1.6566838916391133
828,13,514,6515.182861328125,15106048,0.1958387792110443,0.001,0.00129624213623174,0.8187685757875443,4600,0.2,10715.55332107544,0.2679962158203125,2025.385986328125,0.0314147,1.6607870703563095
890,14,515,7195.0638427734375,15138816,0.1953563392162323,0.001,0.0016133092503878288,0.8278280645608902,4610,0.2,10615.008838653564,0.2708709716796875,2219.605224609375,0.027867332,1.6670784670859575
953,15,515,7128.737899780273,15171584,0.19540558755397797,0.001,0.004194068916331162,0.8423096835613251,4620,0.2,9280.474726104736,0.2901336669921875,2167.568603515625,0.026703686,1.6688078586012125
1016,16,515,6143.022033691406,15204352,0.1954256296157837,0.001,0.0026718799119407775,0.8531012088060379,4630,0.2,10621.613619232177,0.2659759521484375,3078.48388671875,0.025624197,1.666183572076261
1080,17,515,6354.999847412109,15237120,0.19514445960521698,0.001,0.0024752753459324596,0.8139389455318451,4640,0.2,11562.35412826538,0.2768157958984375,2559.55908203125,0.029778631,1.6677584959194065
1143,18,515,6818.370269775391,15269888,0.19499501585960388,0.001,0.0017242229696421418,0.8293846547603607,4650,0.2,11661.143916320802,0.2552337646484375,2418.68310546875,0.029070389,1.669821447506547
1206,19,515,6793.774871826172,15302656,0.1942441165447235,0.001,0.0009389058177475818,0.8256916850805283,4660,0.2,12396.579168319702,0.2678253173828125,3081.917236328125,0.0275443,1.6758826466277241
1270,20,515,6767.899955749512,15335424,0.19391445815563202,0.001,0.00117610787783633,0.8229044675827026,4670,0.2,11488.047466278076,0.26087646484375,2312.188720703125,0.028990716,1.6850985553115607
1334,21,515,7477.145782470703,15368192,0.19414840638637543,0.001,0.0025359287283208687,0.7946620434522629,4680,0.2,9884.09803390503,0.2780059814453125,2123.6162109375,0.035467245,1.6877591513097285
1396,22,516,6769.428649902344,15400960,0.19379788637161255,0.001,0.0011552934422070394,0.8060744106769562,4690,0.2,11822.095630264283,0.263092041015625,2332.66552734375,0.0367065,1.6893124803900719
