time/fps,rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance
827,22.564709663391113,1,32768,39,,,,,,,,,,,
997,22.581017524003983,2,65536,65,0.008642451,15.77972819507122,0.001,-0.006539188651368022,0.9877058267593384,0.2,4.777431488037109,10,0.0892303466796875,-5.642149695754052,-0.006740927696228027
1064,30.94549348950386,3,98304,92,0.007448095,8.813267454504967,0.001,-0.007488258609373588,0.9787361025810242,0.2,2.8361165523529053,20,0.083221435546875,-5.604062795639038,0.3479592204093933
1106,36.55482906103134,4,131072,118,0.00912601,10.566311860084534,0.001,-0.007956847123568877,0.9647184610366821,0.2,2.88211989402771,30,0.079376220703125,-5.561072075366974,0.41359370946884155
1132,35.67589408159256,5,163840,144,0.007548322,10.970743206143379,0.001,-0.007037560982280411,0.95534747838974,0.2,3.5731849670410156,40,0.071368408203125,-5.511929893493653,0.5483975410461426
1142,42.519538164138794,6,196608,172,0.00678865,43.755385112762454,0.001,-0.005995894299121574,0.9508676528930664,0.2,33.945396423339844,50,0.0697113037109375,-5.483277526497841,0.4166579246520996
1146,70.95465648174286,7,229376,200,0.007249197,15.633225506544113,0.001,-0.007529776300361846,0.945358395576477,0.2,6.053708076477051,60,0.0641387939453125,-5.461723721027374,0.5848445892333984
1142,92.25575757026672,8,262144,229,0.007843407,36.665825825929645,0.001,-0.007088712022232357,0.939336895942688,0.2,21.10083770751953,70,0.0766265869140625,-5.438032621145249,0.535639762878418
1137,91.37616431713104,9,294912,259,0.007031283,127.6163267493248,0.001,-0.005064948221115628,0.9376609325408936,0.2,112.30480194091797,80,0.0700653076171875,-5.421107229590416,0.29696476459503174
1127,81.20466017723083,10,327680,290,0.006482073,67.61072845458985,0.001,-0.006286103185266257,0.9332126975059509,0.2,48.32786178588867,90,0.0684112548828125,-5.408352807164192,0.5602737069129944
1119,84.42174971103668,11,360448,322,0.0075363726,58.123342752456665,0.001,-0.006276116831577383,0.931283712387085,0.2,16.552534103393555,100,0.075457763671875,-5.393933922052383,0.6085023581981659
1107,83.66298341751099,12,393216,355,0.007538817,110.83716840744019,0.001,-0.006228627912059892,0.9274595975875854,0.2,32.9649772644043,110,0.079180908203125,-5.3823761403560635,0.5798712968826294
1095,161.1741590499878,13,425984,388,0.0072746677,155.93182079792024,0.001,-0.005412489201989956,0.9248019456863403,0.2,55.40412139892578,120,0.066357421875,-5.3667362302541735,0.5225229859352112
1086,130.60407662391663,14,458752,422,0.0076938947,316.37711477279663,0.001,-0.004868825050652959,0.920344352722168,0.2,123.4746322631836,130,0.069775390625,-5.352886298298836,0.42016613483428955
1078,173.0124306678772,15,491520,455,0.0068074893,328.7974094390869,0.001,-0.004393867668113671,0.9171078205108643,0.2,114.39437866210938,140,0.06009521484375,-5.334375479817391,0.4593096971511841
1068,137.58016324043274,16,524288,490,0.0069827363,362.13116493225095,0.001,-0.004699379966768902,0.9141926765441895,0.2,195.37718200683594,150,0.0566436767578125,-5.3210830181837085,0.4973192811012268
1060,195.8955569267273,17,557056,525,0.00706501,425.4547634124756,0.001,-0.004914219925558428,0.9139862060546875,0.2,148.49496459960938,160,0.0569122314453125,-5.31305759549141,0.5604446232318878
1054,163.13470697402954,18,589824,559,0.0064118034,388.8316701889038,0.001,-0.004525349503092002,0.9119881391525269,0.2,156.17489624023438,170,0.044842529296875,-5.309075358510017,0.583722710609436
1047,146.27364659309387,19,622592,594,0.006778333,516.5004545211792,0.001,-0.004049495330400532,0.9102237820625305,0.2,151.501220703125,180,0.046453857421875,-5.300719752907753,0.5334195494651794
1038,247.03166151046753,20,655360,630,0.0073770173,608.6151092529296,0.001,-0.005043691257014871,0.9081565737724304,0.2,298.7789306640625,190,0.052801513671875,-5.292085403203965,0.5366025567054749
1030,246.92298650741577,21,688128,667,0.0065657133,667.4072347640991,0.001,-0.0035748018221056555,0.907844066619873,0.2,268.258544921875,200,0.04395751953125,-5.2859463632106785,0.49389904737472534
1024,249.13687133789062,22,720896,703,0.0064202147,807.4053716659546,0.001,-0.0039492244424764065,0.9063541293144226,0.2,333.1328430175781,210,0.043951416015625,-5.282457718253136,0.49606817960739136
1016,272.7061161994934,23,753664,741,0.0065720724,664.9617164611816,0.001,-0.0045759180691675285,0.9054503440856934,0.2,275.1888122558594,220,0.04727783203125,-5.276976406574249,0.5509576201438904
1009,232.54572534561157,24,786432,778,0.0069112815,887.6206771850586,0.001,-0.005383477428404148,0.9025678634643555,0.2,357.0779724121094,230,0.0531494140625,-5.268553909659386,0.4487984776496887
1003,236.29421424865723,25,819200,816,0.006891524,755.4687650680542,0.001,-0.004889590523089282,0.900550365447998,0.2,295.2454528808594,240,0.0523345947265625,-5.257827055454254,0.5485507547855377
996,322.8778712749481,26,851968,855,0.006059091,865.5065467834472,0.001,-0.005084579512185883,0.8974809646606445,0.2,383.6362609863281,250,0.04654541015625,-5.246604159474373,0.5347032845020294
989,339.08821630477905,27,884736,894,0.0062741563,909.9465808868408,0.001,-0.0050149918577517385,0.8956820368766785,0.2,372.06353759765625,260,0.0512908935546875,-5.235066363215447,0.417885959148407
982,318.3503065109253,28,917504,934,0.004847045,846.2446800231934,0.001,-0.0039782800777175,0.8937992453575134,0.2,316.85699462890625,270,0.032806396484375,-5.2273985832929615,0.47739750146865845
