time/total_timesteps,time/fps,rew_vec_envs,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/std
458752,449,-592.0104389190674,1021,28,0.001,-5.164705245196819,0.2,0.5896916091442108,217.8362274169922,270,-0.007899264741354273,0.247943115234375,0.025340699,433.82682997584345,0.8811571598052979
475136,452,-400.2414789199829,1049,29,0.001,-5.166244737803936,0.2,0.5665793716907501,158.14845275878906,280,-0.009108509419456822,0.244818115234375,0.024383098,418.0169187426567,0.8808149099349976
491520,455,-251.0152530670166,1079,30,0.001,-5.187673328071833,0.2,0.5507577061653137,21.838150024414062,290,-0.0005816231638164027,0.380096435546875,0.04625316,287.202940928936,0.8829711675643921
507904,458,-447.188383102417,1108,31,0.001,-5.179372306168079,0.2,0.5390847623348236,33.18531799316406,300,-0.009361641806754051,0.23834228515625,0.022252068,432.6473768889904,0.8830147385597229
524288,461,-287.7917551994324,1136,32,0.001,-5.18264379426837,0.2,0.5975121557712555,51.40314483642578,310,-0.005684210531399003,0.276934814453125,0.034867074,314.9610104680061,0.8839442729949951
540672,463,-174.0510106086731,1165,33,0.001,-5.152876064926386,0.2,0.6538461446762085,69.77175903320312,320,-0.007490753198362654,0.27520751953125,0.03310552,312.44906870126727,0.8727161288261414
557056,466,-203.90062856674194,1193,34,0.001,-5.119612195342779,0.2,0.5814094245433807,222.44891357421875,330,-0.00485829936715163,0.328924560546875,0.057879433,279.4690773427486,0.8685460090637207
573440,469,-358.5500736236572,1220,35,0.001,-5.1042759262025355,0.2,0.653890460729599,333.64453125,340,-0.0004476315909414552,0.344427490234375,0.06703743,196.56812313497068,0.8689858317375183
589824,472,-172.09376430511475,1248,36,0.001,-5.1114194698631765,0.2,0.5958830714225769,16.18562889099121,350,0.00349332285913988,0.396722412109375,0.062476493,206.27377898991108,0.8688361048698425
606208,475,-213.5986099243164,1275,37,0.001,-5.10917631238699,0.2,0.631825178861618,11.821518898010254,360,-0.003858261992354528,0.32147216796875,0.046636768,195.7607252895832,0.8703946471214294
622592,477,-448.64732456207275,1304,38,0.001,-5.14071049913764,0.2,0.6530878841876984,6.32959508895874,370,0.007921435890602879,0.43521728515625,0.06774169,133.18734241127967,0.8769488334655762
638976,479,-181.72325086593628,1332,39,0.001,-5.145780172199011,0.2,0.646725594997406,148.06985473632812,380,-0.006261145797179779,0.277587890625,0.03291124,287.72266229987144,0.8773088455200195
655360,481,-292.98262453079224,1360,40,0.001,-5.153473175317049,0.2,0.6074427366256714,43.425941467285156,390,-0.009376346397039015,0.216473388671875,0.027839668,380.84495468735696,0.8784339427947998
671744,483,-276.69655179977417,1388,41,0.001,-5.157829505950213,0.2,0.6828838288784027,110.76042175292969,400,-0.005624523328515351,0.299615478515625,0.03567411,231.899835601449,0.8809729814529419
688128,485,-269.44968605041504,1417,42,0.001,-5.151575515419244,0.2,0.6312749981880188,30.764591217041016,410,-0.004645449784584343,0.30601806640625,0.041118667,260.17716614603995,0.8801131844520569
704512,486,-199.04275560379028,1446,43,0.001,-5.172201342880726,0.2,0.6556796729564667,140.12225341796875,420,-0.0027570120349992067,0.371014404296875,0.06441456,197.27689190208912,0.8826531171798706
720896,488,-238.1080961227417,1474,44,0.001,-5.157263073325157,0.2,0.5880444645881653,16.38540267944336,430,-0.0058364858079585245,0.270477294921875,0.03174296,294.0312598973513,0.8773247003555298
737280,490,-282.8743419647217,1502,45,0.001,-5.143572668731212,0.2,0.6728545129299164,14.728363037109375,440,-0.003899807555717416,0.3578369140625,0.06565131,246.4253080263734,0.8730528950691223
753664,492,-212.23575735092163,1531,46,0.001,-5.119214130192995,0.2,0.6864829659461975,14.297513008117676,450,-0.004562340101983864,0.3416015625,0.041775886,200.24266184568404,0.8723695278167725
770048,493,-263.304301738739,1561,47,0.001,-5.139405944943428,0.2,0.698536604642868,97.69694519042969,460,-0.008122369259217522,0.29105224609375,0.03863819,291.4810213506222,0.8745555877685547
786432,494,-436.1973476409912,1589,48,0.001,-5.097692853212356,0.2,0.6872796714305878,63.703433990478516,470,-0.007863271487440215,0.261566162109375,0.042489856,349.82297322750094,0.8651796579360962
802816,496,-380.26790142059326,1618,49,0.001,-5.084696487337351,0.2,0.7107669115066528,17.614479064941406,480,0.00094258864337462,0.40426025390625,0.055914097,172.9763970255852,0.8591961860656738
819200,497,-186.5237913131714,1647,50,0.001,-5.046123836189508,0.2,0.6844273805618286,188.07859802246094,490,-0.005096102864990825,0.323956298828125,0.045732256,187.31916050612926,0.855059802532196
835584,497,-446.6302070617676,1678,51,0.001,-5.006798847019672,0.2,0.6833367347717285,205.50045776367188,500,-0.005999963976501021,0.311639404296875,0.033211887,280.6450577110052,0.8452267646789551
