aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,0.35324366899556203,0.0133993816674952,0.0,-0.4248519312027166,0.0,-0.058208880539659336,0.0,0.5029613759456687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,0.06298529653908425,0.01340315226028399,0.0,-0.42337688751096103,0.0,-0.40519731925125213,0.0,0.5324622497807799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,0.06642053661873426,0.013407130802062534,0.0,-0.42198150856541994,0.0,-0.7473511603958753,0.0,0.560369828691601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28,1,0,0.11666666666666667,0.06978435388064419,0.013411313379248283,0.0,-0.42030534769262323,0.0,-1.084460840828606,0.0,0.5938930461475352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30,1,0,0.125,0.07326621839511382,0.013415707453703511,0.0,-0.41856760504423063,0.0,-1.4163465200240193,0.0,0.6286478991153877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32,1,0,0.13333333333333333,0.07764621577249109,0.013420367358276156,0.0,-0.4170830622968665,0.0,-1.7423629991901186,0.0,0.6583387540626705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34,2,0,0.14166666666666666,0.08119938585390507,0.013425243968899606,0.0,-0.4153803037399093,0.0,-2.063118673107223,0.0,0.6923939252018141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,36,2,0,0.15,0.08451579484735738,0.013430323519448409,0.0,-0.4135911615520147,0.0,-2.3787637162924318,0.0,0.7281767689597066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,38,2,0,0.15833333333333333,0.08813101167006288,0.01343562444654062,0.0,-0.41224641719553234,0.0,-2.689443497371361,0.0,0.7550716560893532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,40,3,0,0.16666666666666666,0.09187259535667458,0.013441154880004911,0.0,-0.4109411725847289,0.0,-2.99507091971941,0.0,0.7811765483054219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
