step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
0,0,[ 0.06474854  0.04558851 -0.14590696],[-0.40200039 -0.50047092  3.07008707],[-0.41188659  0.29466409 -0.67331868],[1.92281586 3.83284737 8.82413213],[0.24003561 0.28225104 0.06486318 0.04819885],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.40200039 -0.50047092  3.07008707],[-0.05583386 -0.0688169   0.83784387],[-4.08740268  3.1435014  -2.02208686],5.538708963183617,0.8157482620530677
0,0,[ 0.26810963  0.2151259  -0.87112509],[-0.39709182 -0.50130777  3.06361939],[-0.45187136  0.31893397 -0.71515614],[1.92294662 3.83271363 8.81672389],[0.29611781 0.31727146 0.06782843 0.04845385],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.39709182 -0.50130777  3.06361939],[-0.07316846 -0.07012696  0.89837826],[-4.09818628  3.11451286 -2.02772839],5.532359678842427,0.8095923168407144
0,0,[ 0.36300509  0.26842961 -1.69891853],[-0.38736082 -0.50407695  3.04942925],[-0.49381609  0.33831243 -0.75514542],[1.92317627 3.83247889 8.80882822],[0.26851049 0.2889088  0.06432547 0.05078731],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.38736082 -0.50407695  3.04942925],[-0.09308893 -0.07533231  0.95614525],[-4.12840747  3.05421208 -2.03948051],5.5255262575753905,0.803638480717129
0,0,[ 0.45683211  0.33147387 -2.38351463],[-0.37358142 -0.50853787  3.02850853],[-0.53788328  0.35247171 -0.80279755],[1.92348647 3.83216211 8.80040989],[0.18371618 0.20347627 0.06362506 0.05048648],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.37358142 -0.50853787  3.02850853],[-0.11067557 -0.08839013  1.01881144],[-4.17472244  2.96643291 -2.05485473],5.51819351116694,0.7971389947425549
1,0,[ 0.51456592  0.32756527 -2.79371634],[-0.35697276 -0.51397262  3.00313418],[-0.58363491  0.36180346 -0.86205017],[1.92384039 3.83180103 8.79139679],[0.1092071  0.09964416 0.12057733 0.07886308],[ 0.51130974  0.2170108  -2.36174345  0.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.35697276 -0.51397262  3.00313418],[-0.12302893 -0.10992357  1.08969842],[-4.22999874  2.85972557 -2.07191022],5.510329544827876,0.7897882970114996
1,0,[ 0.57095464  0.21426705 -3.02696186],[-0.33869098 -0.52050641  2.97548682],[-0.63129493  0.36685361 -0.92430621],[1.92421967 3.83141443 8.78175296],[0.08305971 0.06562073 0.16913919 0.12556562],[ 0.51130974  0.2170108  -2.36174345  0.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.33869098 -0.52050641  2.97548682],[-0.13310081 -0.13653231  1.16236824],[-4.29010064  2.74131858 -2.0859819 ],5.501918897534991,0.7822096425653599
1,0,[ 0.63061591  0.08984666 -3.17467459],[-0.3190202  -0.52804448  2.94648766],[-0.68092991  0.36763975 -0.9842057 ],[1.92462973 3.83099714 8.77148948],[0.07262077 0.05790206 0.19707642 0.16778846],[ 0.51130974  0.2170108  -2.36174345  0.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.3190202  -0.52804448  2.94648766],[-0.14270268 -0.16634717  1.23265971],[-4.35265432  2.61423472 -2.09591777],5.492967690254077,0.7748007429946947
1,0,[ 6.65199391e-01 -3.12309283e-03 -3.24401662e+00],[-0.29838382 -0.53611053  2.91666861],[-0.73215608  0.36448628 -1.04061723],[1.92508061 3.83053967 8.76062661],[0.06542375 0.05235599 0.20975034 0.20000448],[ 0.51130974  0.2170108  -2.36174345  0.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.29838382 -0.53611053  2.91666861],[-0.15192502 -0.19884992  1.29967861],[-4.41504577  2.48150148 -2.10193809],5.483486344052,0.7676449098531561
2,0,[ 0.6710792  -0.06703377 -3.25004242],[-0.27730585 -0.54419795  2.88648818],[-0.78443797  0.35795364 -1.09438716],[1.92558132 3.83003389 8.74918226],[0.06251915 0.0526809  0.23148177 0.21576   ],[ 0.63197505 -0.0929179  -2.00334501  0.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.27730585 -0.54419795  2.88648818],[-0.16008121 -0.23396498  1.36410828],[-4.47494721  2.34622961 -2.10453883],5.4734842268657395,0.7606745893734067
2,0,[ 0.67030191 -0.1188913  -3.20215207],[-0.25603772 -0.55215946  2.85649228],[-0.83755441  0.34835938 -1.14595862],[1.92613929 3.82947359 8.73717096],[0.05795009 0.05103555 0.23361175 0.22944682],[ 0.63197505 -0.0929179  -2.00334501  0.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.25603772 -0.55215946  2.85649228],[-0.1666348  -0.27135384  1.42641955],[-4.53111562  2.21072738 -2.10373652],5.4629691283407515,0.7538469019183074
