time/iterations,time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/std,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/clip_fraction
37,693,4227072,381.9068922996521,1747,0.012159539,0.2,-0.0050142533356847705,0.001,0.5838063359260559,0.4905492663383484,162.15835571289062,-2.763249787688255,636.6946464538574,1280,0.097662353515625
38,693,4259840,467.80593156814575,1796,0.011298966,0.2,-0.005982387848780491,0.001,0.5238825082778931,0.4865623116493225,156.72650146484375,-2.7421165272593497,639.2618803024292,1290,0.1143463134765625
39,692,4292608,436.78513193130493,1844,0.009356111,0.2,-0.005980862056458136,0.001,0.5616956949234009,0.4842706322669983,186.6908416748047,-2.718252122402191,615.9468727111816,1300,0.115594482421875
40,692,4325376,367.46093451976776,1892,0.01623629,0.2,-0.003958355009672232,0.001,0.5333369374275208,0.48414430022239685,157.21145629882812,-2.707747423648834,580.584910106659,1310,0.1204254150390625
41,692,4358144,400.08972454071045,1940,0.008523345,0.2,-0.00612039963452844,0.001,0.4978214502334595,0.48297643661499023,192.6703643798828,-2.70408940166235,720.0875421524048,1320,0.1042694091796875
42,691,4390912,520.4381189346313,1990,0.011051767,0.2,-0.005179761635372415,0.001,0.5846084356307983,0.4812392294406891,164.65005493164062,-2.6916786655783653,539.4045592308045,1330,0.1169158935546875
43,690,4423680,448.84994077682495,2040,0.0073832953,0.2,-0.005820131496875547,0.001,0.4948488473892212,0.47930848598480225,192.3583221435547,-2.6718668401241303,610.8532921791077,1340,0.1017364501953125
44,689,4456448,440.40279960632324,2091,0.011408037,0.2,-0.006334000213246327,0.001,0.5425927042961121,0.4762653410434723,179.09141540527344,-2.6470907032489777,607.1916155815125,1350,0.1106689453125
45,688,4489216,538.4914970397949,2141,0.011490698,0.2,-0.005202762124827132,0.001,0.5468175709247589,0.47299259901046753,146.93479919433594,-2.622000199556351,622.3813934326172,1360,0.10792236328125
46,688,4521984,457.46909189224243,2189,0.010230012,0.2,-0.005140349113207776,0.001,0.5638850629329681,0.47059953212738037,130.12930297851562,-2.600019207596779,545.9933149337769,1370,0.1160308837890625
47,687,4554752,525.4254951477051,2240,0.01266811,0.2,-0.004671011665777769,0.001,0.473838210105896,0.4686950445175171,169.11785888671875,-2.5803963735699655,653.7893045425415,1380,0.1149749755859375
48,686,4587520,487.170392036438,2289,0.008417761,0.2,-0.005015716448542662,0.001,0.5208354890346527,0.46759456396102905,167.48558044433594,-2.56762368530035,564.0666638374329,1390,0.0948760986328125
49,686,4620288,501.0796489715576,2339,0.011077693,0.2,-0.005665911917458288,0.001,0.529964029788971,0.4636102020740509,133.0514373779297,-2.5411904379725456,568.7895614624024,1400,0.1113555908203125
50,685,4653056,380.4029047489166,2388,0.011989731,0.2,-0.004163725137914298,0.001,0.5765761137008667,0.4615917205810547,139.53330993652344,-2.513850189745426,545.8007660865784,1410,0.1359375
51,685,4685824,430.01684045791626,2438,0.011745349,0.2,-0.003889728454669239,0.001,0.5450650751590729,0.4596567749977112,121.60575103759766,-2.4994797885417936,508.464946269989,1420,0.1345184326171875
52,684,4718592,532.7663946151733,2489,0.01089512,0.2,-0.004388076457689749,0.001,0.4950699806213379,0.4578998386859894,154.14151000976562,-2.4797830998897554,575.105989074707,1430,0.1259246826171875
53,683,4751360,380.83976125717163,2539,0.014304306,0.2,-0.005887511768378317,0.001,0.5668396949768066,0.45400184392929077,118.76766204833984,-2.454123204946518,519.0671195983887,1440,0.12646484375
54,682,4784128,437.46245765686035,2591,0.015726738,0.2,-0.004051657838863321,0.001,0.5276957750320435,0.4522410035133362,130.37124633789062,-2.4319512739777567,602.3903127670288,1450,0.12950439453125
55,681,4816896,480.62855648994446,2642,0.012644559,0.2,-0.0046032327431021255,0.001,0.5083041191101074,0.4502808153629303,187.81712341308594,-2.4146669253706934,671.3947040557862,1460,0.1251007080078125
56,681,4849664,413.1963748931885,2694,0.010757593,0.2,-0.005618678711471148,0.001,0.49561190605163574,0.44764071702957153,186.27291870117188,-2.3932750269770624,610.9527473449707,1470,0.1088836669921875
57,679,4882432,515.6639804840088,2747,0.0138339475,0.2,-0.00451196027424885,0.001,0.4921349883079529,0.4451942443847656,122.44651794433594,-2.37049263715744,618.5951568603516,1480,0.113885498046875
58,678,4915200,488.01547956466675,2800,0.011489766,0.2,-0.005171232308202889,0.001,0.47082239389419556,0.44311219453811646,184.30319213867188,-2.3547600254416468,626.3072179794311,1490,0.1175872802734375
59,677,4947968,544.5184812545776,2852,0.00967356,0.2,-0.006142903713043779,0.001,0.4579453468322754,0.4410514831542969,192.4753875732422,-2.335281802713871,711.799274635315,1500,0.0983856201171875
60,676,4980736,492.7404775619507,2904,0.010031844,0.2,-0.003322340415616054,0.001,0.49981021881103516,0.44081661105155945,169.39894104003906,-2.3257105380296705,559.0967325210571,1510,0.136724853515625
61,675,5013504,405.04286336898804,2957,0.010389455,0.2,-0.00500506757380208,0.001,0.5207655131816864,0.4380572736263275,184.1386260986328,-2.30794225782156,624.6801235198975,1520,0.1123931884765625
62,674,5046272,512.1587324142456,3011,0.015829949,0.2,-0.005514349915029015,0.001,0.506117582321167,0.4359796643257141,105.1112289428711,-2.2871628403663635,581.1652311325073,1530,0.1354888916015625
63,673,5079040,454.4809627532959,3063,0.012762052,0.2,-0.004821855665068142,0.001,0.4771697521209717,0.434378057718277,147.1813201904297,-2.269140601158142,691.8247638702393,1540,0.1527984619140625
64,672,5111808,555.6850500106812,3116,0.011461342,0.2,-0.005349969919188879,0.001,0.5477895736694336,0.43017813563346863,154.7714080810547,-2.238386559486389,575.0149419784545,1550,0.127239990234375
65,671,5144576,407.3456687927246,3170,0.010900039,0.2,-0.005670512650976889,0.001,0.52005535364151,0.4283212125301361,162.0794219970703,-2.215903089940548,653.9432748794555,1560,0.1233001708984375
66,670,5177344,478.0368766784668,3225,0.008616522,0.2,-0.005206402340263594,0.001,0.4973903298377991,0.42681145668029785,133.90145874023438,-2.2002341389656066,666.6052631378174,1570,0.12825927734375
67,669,5210112,469.16409397125244,3280,0.013296885,0.2,-0.006203769246349111,0.001,0.46723079681396484,0.4258960485458374,174.7374267578125,-2.1879472479224207,630.0707363128662,1580,0.130316162109375
68,668,5242880,391.6106581687927,3335,0.013003794,0.2,-0.005858859959698748,0.001,0.5521529614925385,0.42440587282180786,137.7202911376953,-2.1711426720023157,537.9719906806946,1590,0.11978759765625
69,667,5275648,521.8633623123169,3389,0.010365981,0.2,-0.005849986961402464,0.001,0.47816669940948486,0.42156460881233215,181.23199462890625,-2.1515846356749533,632.4378257751465,1600,0.125958251953125
70,666,5308416,403.65552842617035,3443,0.010198711,0.2,-0.0059243133291602135,0.001,0.5327319800853729,0.42005428671836853,182.15171813964844,-2.133236065506935,601.571249294281,1610,0.120294189453125
71,665,5341184,445.8458800315857,3495,0.0102910595,0.2,-0.00480171511444496,0.001,0.5753842294216156,0.41844192147254944,125.79244232177734,-2.118651454150677,550.8175658226013,1620,0.1194610595703125
72,664,5373952,348.2528829574585,3549,0.009859753,0.2,-0.005707273278676439,0.001,0.5268216729164124,0.41653016209602356,130.5735321044922,-2.098150470852852,661.421873664856,1630,0.12930908203125
73,663,5406720,483.95324897766113,3604,0.013611011,0.2,-0.00432741412660107,0.001,0.4756016135215759,0.4152853488922119,143.4365234375,-2.0811204060912134,667.2137269973755,1640,0.1278656005859375
74,662,5439488,415.6851336956024,3659,0.0121030025,0.2,-0.0037819046759977938,0.001,0.532402515411377,0.414151668548584,150.3042755126953,-2.070777079463005,607.4124019622802,1650,0.1337310791015625
75,661,5472256,457.3813428878784,3715,0.01628948,0.2,-0.004391256827511824,0.001,0.5341506004333496,0.4148963689804077,162.0161895751953,-2.0667090892791746,577.3273824691772,1660,0.13306884765625
76,660,5505024,404.64579641819,3770,0.011240238,0.2,-0.0051683411074918695,0.001,0.5607807040214539,0.4125021696090698,151.88426208496094,-2.057750527560711,539.9231714248657,1670,0.1330780029296875
77,659,5537792,443.64824628829956,3826,0.011864747,0.2,-0.006072070109075867,0.001,0.5427418351173401,0.4118787944316864,167.3158416748047,-2.042347379028797,642.647006225586,1680,0.121490478515625
78,658,5570560,477.48971033096313,3882,0.015791548,0.2,-0.005259929232124705,0.001,0.5537952482700348,0.40950578451156616,227.00088500976562,-2.0200416922569273,658.0199867248535,1690,0.1497314453125
79,657,5603328,448.01408767700195,3939,0.011544336,0.2,-0.0034702176111750306,0.001,0.49651384353637695,0.40815988183021545,187.3399200439453,-2.005072033405304,662.9066709518432,1700,0.1449676513671875
80,655,5636096,451.1759958267212,3996,0.01303708,0.2,-0.004938843959098449,0.001,0.5154341757297516,0.406320720911026,202.70974731445312,-1.990321934223175,664.9178602218628,1710,0.129376220703125
81,655,5668864,516.6965379714966,4051,0.010997307,0.2,-0.00428784313990036,0.001,0.5324156284332275,0.4052845239639282,153.55450439453125,-1.975563982129097,641.9201263427734,1720,0.1529327392578125
82,654,5701632,345.6002473831177,4108,0.016708877,0.2,-0.004704480466898531,0.001,0.5702177286148071,0.405006468296051,147.1103515625,-1.9684378609061242,566.2081374168396,1730,0.1431793212890625
83,652,5734400,545.3789939880371,4165,0.012087809,0.2,-0.0030775342966080643,0.001,0.540046900510788,0.40398746728897095,154.40533447265625,-1.9607252053916455,558.2791567802429,1740,0.1558837890625
84,651,5767168,520.7173972129822,4223,0.031133812,0.2,-0.00198826255655149,0.001,0.5290946066379547,0.4037744402885437,193.9794158935547,-1.9531928144395352,598.983228302002,1750,0.171246337890625
85,650,5799936,420.0770072937012,4281,0.011284011,0.2,-0.004761192377191037,0.001,0.5062375962734222,0.40214598178863525,155.1143798828125,-1.9450604327023029,590.0731523513793,1760,0.1402496337890625
86,649,5832704,521.0175011307001,4339,0.013684245,0.2,-0.0039540610858239235,0.001,0.5155651867389679,0.40022292733192444,129.07655334472656,-1.9267841167747974,551.6270412445068,1770,0.1493072509765625
87,648,5865472,487.7280979156494,4397,0.0121418685,0.2,-0.0035261988232377917,0.001,0.5145357847213745,0.39875340461730957,156.23886108398438,-1.9139435090124608,614.0045084953308,1780,0.1423126220703125
88,647,5898240,394.1623911857605,4454,0.015928436,0.2,-0.004352205643954221,0.001,0.49532854557037354,0.39606839418411255,152.9535369873047,-1.890656366199255,643.8271427154541,1790,0.139013671875
89,645,5931008,576.0840635299683,4514,0.023749731,0.2,-0.004160163036431186,0.001,0.5680657923221588,0.3952244520187378,123.3208236694336,-1.875383048504591,537.0394629478454,1800,0.1518707275390625
90,644,5963776,531.9570083618164,4573,0.01655379,0.2,-0.0042487614089623095,0.001,0.48769766092300415,0.39518657326698303,134.4406280517578,-1.8695246510207653,588.8847615242005,1810,0.1522430419921875
91,643,5996544,362.1534128189087,4631,0.013734369,0.2,-0.005110199504997581,0.001,0.55109903216362,0.3922184705734253,173.6692657470703,-1.846685206145048,619.4771789550781,1820,0.1423126220703125
92,642,6029312,486.8900103569031,4691,0.011359599,0.2,-0.004711241561017232,0.001,0.5421931445598602,0.39177367091178894,165.66213989257812,-1.832065623253584,620.8156915664673,1830,0.1270294189453125
