rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/value_loss,train/std,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/clip_range,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/explained_variance
-2.6017845,1405,1,46,1114112,,,,,,,,,,,
-2.5769591,1457,2,89,1179648,79.70848634913564,0.9315807223320007,0.03680572509765625,48.20648193359375,-5.400759547948837,0.0001,0.2,0.0047976538,170,-0.003971662505136919,0.7970037460327148
-2.6096241,1487,3,132,1245184,71.47678112089633,0.9249871969223022,0.0396575927734375,19.922836303710938,-5.375766453519463,0.0001,0.2,0.005120527,180,-0.004233882966764213,0.7011180222034454
-2.5025961,1498,4,174,1310720,80.60251761898398,0.9174553155899048,0.04290313720703125,53.29262161254883,-5.342426457256079,0.0001,0.2,0.0055980156,190,-0.004599857743778557,0.8440006077289581
-2.537799,1500,5,218,1376256,94.06589112132788,0.9139080047607422,0.03913726806640625,40.315574645996094,-5.322654803469777,0.0001,0.2,0.005226058,200,-0.00422351171491755,0.7569004595279694
-2.590256,1501,6,261,1441792,100.96392790451645,0.9112998843193054,0.037493896484375,21.090240478515625,-5.309971104189754,0.0001,0.2,0.0048701437,210,-0.0038887496283678048,0.7321116328239441
-2.3592021,1511,7,303,1507328,59.03511385843158,0.9049605131149292,0.05120697021484375,30.46026611328125,-5.288201245293021,0.0001,0.2,0.0060117003,220,-0.0050837791499361625,0.8508380353450775
-2.5090876,1514,8,346,1572864,82.1044955946505,0.898976743221283,0.04329376220703125,38.78932571411133,-5.260232632234692,0.0001,0.2,0.0052812267,230,-0.004512126301506214,0.8014116138219833
-2.4200475,1511,9,390,1638400,123.57285572737456,0.8935673236846924,0.04055633544921875,48.50310134887695,-5.236433111131191,0.0001,0.2,0.005176126,240,-0.0040347680642298656,0.7711792886257172
-2.4299483,1503,10,435,1703936,203.62630115002395,0.8887201547622681,0.04871673583984375,103.79467010498047,-5.2119823563843966,0.0001,0.2,0.005333594,250,-0.00422350597791592,0.66279736161232
-2.3036747,1503,11,479,1769472,72.81846776232123,0.8851677179336548,0.044439697265625,42.802635192871094,-5.195684878528118,0.0001,0.2,0.0051139416,260,-0.004756989755151153,0.8375313431024551
-2.4332085,1502,12,523,1835008,94.5333998426795,0.8787053823471069,0.04904937744140625,28.339282989501953,-5.171872092038393,0.0001,0.2,0.0059731705,270,-0.004305360175203532,0.8161032050848007
-2.3181305,1502,13,567,1900544,113.54165927618742,0.8725502490997314,0.05489959716796875,19.714807510375977,-5.1428734242916105,0.0001,0.2,0.0065822373,280,-0.004775423267074075,0.8372827768325806
-2.4879057,1503,14,610,1966080,107.26109133660793,0.8661484122276306,0.04811859130859375,81.49617004394531,-5.11231394149363,0.0001,0.2,0.005440438,290,-0.003990485633585195,0.8500016629695892
-2.2670062,1504,15,653,2031616,96.23922599628568,0.8592744469642639,0.05478668212890625,96.75631713867188,-5.082926133275032,0.0001,0.2,0.0061427876,300,-0.004882470755364921,0.8302882462739944
-2.4279683,1504,16,697,2097152,100.75417552143335,0.8562076091766357,0.0479461669921875,45.61338424682617,-5.063403724879026,0.0001,0.2,0.005776686,310,-0.00473652181954094,0.7761524319648743
