time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance
540,16384,15.18184518814087,30,1,,,,,,,,,,,
575,32768,20.158182859420776,56,2,0.005985315,-5.6668812617659565,0.0551025390625,10,0.9966076016426086,0.35446852445602417,-0.00407390016480349,0.2,0.0001,0.6650453459005803,-0.029262304306030273
593,49152,18.73939573764801,82,3,0.0056627817,-5.658764287829399,0.038446044921875,20,0.9947347640991211,3.3258919715881348,-0.002076482149914227,0.2,0.0001,53.887933974852785,0.028505802154541016
600,65536,16.88472807407379,109,4,0.007131506,-5.6481227315962315,0.074755859375,30,0.9918513894081116,0.1766737997531891,-0.0034961806777573656,0.2,0.0001,0.36616378244943915,0.7715811431407928
604,81920,19.13118016719818,135,5,0.0065173935,-5.638918177038431,0.047857666015625,40,0.9903025031089783,1.4746309518814087,-0.002344201663436252,0.2,0.0001,46.33529490381479,0.04597383737564087
606,98304,19.576847434043884,162,6,0.006582218,-5.622585167735815,0.08201904296875,50,0.9837497472763062,0.404141902923584,-0.004361260857876914,0.2,0.0001,0.6531779708340764,0.7604474574327469
608,114688,19.583213806152344,188,7,0.0058119292,-5.6019970118999485,0.063031005859375,60,0.9800564050674438,0.549318790435791,-0.003689973945620295,0.2,0.0001,0.9333964205812663,0.6333089470863342
609,131072,18.9687579870224,215,8,0.005984013,-5.580730192363262,0.066241455078125,70,0.9738998413085938,0.3742595613002777,-0.0032684036075806945,0.2,0.0001,0.9032568697351963,0.5873541831970215
608,147456,23.586605072021484,242,9,0.0068094963,-5.562833459675312,0.067742919921875,80,0.9710250496864319,0.5293076038360596,-0.0027898494765395297,0.2,0.0001,0.9281642405316234,0.6694115400314331
607,163840,23.82192897796631,269,10,0.0060202805,-5.555889582633972,0.043292236328125,90,0.9697738885879517,1.4174946546554565,-0.0013677675124199595,0.2,0.0001,49.944128207117316,0.12686669826507568
607,180224,20.98652672767639,296,11,0.0063580126,-5.544376758486033,0.064208984375,100,0.965822696685791,0.7109778523445129,-0.003108018246712163,0.2,0.0001,1.3491124287247658,0.8049988448619843
604,196608,23.457195043563843,325,12,0.006273603,-5.53456894904375,0.077191162109375,110,0.9652329683303833,0.7386033535003662,-0.003361587582185166,0.2,0.0001,1.5402108098380267,0.6014142334461212
601,212992,21.896373867988586,353,13,0.0076276185,-5.52893230393529,0.0839111328125,120,0.9631954431533813,0.8783149719238281,-0.0029804049467202277,0.2,0.0001,1.5430927664041518,0.5726539194583893
600,229376,27.297637462615967,381,14,0.0061896276,-5.525652723759412,0.040325927734375,130,0.9637012481689453,115.51579284667969,-0.0021336227129722827,0.2,0.0001,95.519237110205,0.10407668352127075
599,245760,26.010578870773315,409,15,0.006263557,-5.519064798206091,0.06455078125,140,0.9598009586334229,0.8359253406524658,-0.0018896773513915831,0.2,0.0001,2.3128050113096834,0.6476191580295563
599,262144,27.469143986701965,437,16,0.0067833005,-5.504876478761434,0.067120361328125,150,0.9569442868232727,1.0089142322540283,-0.0025772127685741,0.2,0.0001,2.1749025059863927,0.6549863815307617
599,278528,32.945048332214355,464,17,0.007254338,-5.502877731621266,0.08931884765625,160,0.9581800699234009,1.4083665609359741,-0.00375202624177291,0.2,0.0001,2.113193332310766,0.6008261442184448
598,294912,30.271207809448242,493,18,0.007222449,-5.503819821774959,0.0768798828125,170,0.9579895734786987,0.9648064970970154,-0.002729766482298146,0.2,0.0001,2.366396425291896,0.6033633053302765
