time/fps,rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/std,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl
1609,0.060704827,1,4423680,61,,,,,,,,,,,
1673,0.048597515,2,4521984,117,-5.325861950218678,0.0001,450,4.83475399017334,0.9164053201675415,0.2,-0.002823640406980606,0.36018967628479004,64.67676676809788,0.05753173828125,0.006674953
1693,0.07187566,3,4620288,174,-5.325701203942299,0.0001,460,13.652073860168457,0.9151373505592346,0.2,-0.0019148977553413715,0.33129584789276123,99.32606282184521,0.04236043294270833,0.0052575283
1682,0.060100246,4,4718592,233,-5.320454921325048,0.0001,470,20.407480239868164,0.9149912595748901,0.2,-0.0025138049679905333,0.25388389825820923,67.02861728842059,0.07447611490885417,0.007844883
1679,0.056573566,5,4816896,292,-5.314773410061995,0.0001,480,42.763240814208984,0.9122133255004883,0.2,-0.0025213161228748505,0.5051171779632568,66.76497015965482,0.0562225341796875,0.0065363464
1674,0.10009813,6,4915200,352,-5.315822045505047,0.0001,490,43.06343460083008,0.9163403511047363,0.2,-0.0023721324017969892,0.27248549461364746,51.67200245757898,0.0589630126953125,0.008061229
1673,0.073618904,7,5013504,411,-5.327450540165106,0.0001,500,3.259580612182617,0.9170029759407043,0.2,-0.0030561830491933504,0.24771630764007568,46.43135362441341,0.06064554850260417,0.0062673762
1667,0.060827136,8,5111808,471,-5.330310918390751,0.0001,510,2.212235450744629,0.9173964262008667,0.2,-0.0027532336029253202,0.45704537630081177,61.605430543671055,0.04859212239583333,0.005687181
1658,0.06903628,9,5210112,533,-5.329840550323327,0.0001,520,28.630903244018555,0.9171187877655029,0.2,-0.0022499360037424292,0.08898597955703735,76.73536666830381,0.04997965494791667,0.006166303
1653,0.070908435,10,5308416,594,-5.32194314301014,0.0001,530,1.248857855796814,0.9143292903900146,0.2,-0.002264461364635887,0.24035656452178955,50.07721099158128,0.07740478515625,0.008734818
1651,0.06252706,11,5406720,654,-5.3193056136369705,0.0001,540,9.303051948547363,0.916167140007019,0.2,-0.003042107849008365,0.26530033349990845,89.1933420047164,0.04134419759114583,0.004244501
