time/iterations,time/fps,time/time_elapsed,rew_vec_envs,time/total_timesteps,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/std,train/loss,train/n_updates
40,725,903,705.4185943603516,655360,0.0073478674,0.511525958776474,0.2,563.485542678833,0.001,0.08719482421875,-4.922600272297859,-0.008400676691962872,0.8281422257423401,185.11500549316406,390
41,722,930,567.8954277038574,671744,0.008494204,0.45489853620529175,0.2,600.5068546295166,0.001,0.09085693359375,-4.902610549330712,-0.009346405159158166,0.8244531154632568,311.9061279296875,400
42,719,956,683.2597236633301,688128,0.0099206325,0.43559128046035767,0.2,570.2706238746644,0.001,0.081597900390625,-4.8812584519386295,-0.009019364861887879,0.8194006681442261,158.89598083496094,410
43,717,981,585.0302619934082,704512,0.009293208,0.44945746660232544,0.2,536.1615887641907,0.001,0.0862548828125,-4.859185457229614,-0.009580768214073032,0.815913736820221,210.7559814453125,420
44,715,1007,654.2311859130859,720896,0.007977247,0.5085352659225464,0.2,562.5602674484253,0.001,0.0835693359375,-4.84804230928421,-0.009854572944459506,0.8141046166419983,209.55508422851562,430
45,712,1034,491.4316234588623,737280,0.009308472,0.4096391201019287,0.2,554.6766061782837,0.001,0.091986083984375,-4.8377796649932865,-0.009281422226922586,0.8115190267562866,187.01278686523438,440
46,710,1060,593.7901420593262,753664,0.008189413,0.39803922176361084,0.2,665.3971113204956,0.001,0.086260986328125,-4.822174286842346,-0.00964362861122936,0.8080902099609375,166.5393829345703,450
47,707,1087,782.927360534668,770048,0.007880915,0.40147459506988525,0.2,600.3428512573242,0.001,0.087127685546875,-4.800898590683937,-0.008912441772554302,0.8029171228408813,253.68197631835938,460
48,706,1112,636.4227104187012,786432,0.008455365,0.41592222452163696,0.2,626.1423677444458,0.001,0.085284423828125,-4.776151973009109,-0.00931054172979202,0.7987515926361084,264.3562927246094,470
49,704,1138,717.3406524658203,802816,0.008125621,0.35940444469451904,0.2,621.5625198364257,0.001,0.086126708984375,-4.763743948936463,-0.010311066353460773,0.7977323532104492,192.4902801513672,480
50,702,1166,737.0868301391602,819200,0.008744083,0.39768749475479126,0.2,676.585206413269,0.001,0.09366455078125,-4.742494216561317,-0.010462573496624827,0.7917441129684448,326.0434875488281,490
51,700,1192,815.8132858276367,835584,0.009914599,0.4085294008255005,0.2,631.928657245636,0.001,0.087646484375,-4.715843147039413,-0.010742362003657035,0.7852679491043091,170.59596252441406,500
52,698,1218,652.7802276611328,851968,0.009892113,0.5065214037895203,0.2,563.678611087799,0.001,0.107672119140625,-4.701936146616935,-0.010920586058637128,0.7860112190246582,222.0475311279297,510
53,696,1246,703.4216003417969,868352,0.012290088,0.4150451421737671,0.2,616.3475727081299,0.001,0.1063232421875,-4.673073789477348,-0.010143313820299227,0.7766681909561157,244.32275390625,520
54,695,1272,782.5041046142578,884736,0.0103700645,0.36105817556381226,0.2,645.4933128356934,0.001,0.100848388671875,-4.6352373868227,-0.008936150900262873,0.7699825763702393,231.77603149414062,530
55,693,1299,856.9454078674316,901120,0.010595949,0.3632364273071289,0.2,592.0877359390258,0.001,0.104345703125,-4.601235321164131,-0.009601333997852634,0.7644846439361572,200.856689453125,540
56,691,1326,743.4443740844727,917504,0.009432809,0.4177579879760742,0.2,587.9412926673889,0.001,0.097918701171875,-4.576752585172653,-0.009815413705655373,0.7608946561813354,295.4870300292969,550
57,689,1353,845.1318817138672,933888,0.010294282,0.4582115411758423,0.2,566.9641289710999,0.001,0.10640869140625,-4.547208645939827,-0.008092273583315546,0.7535985708236694,186.34820556640625,560
58,688,1379,607.1629886627197,950272,0.0113705,0.41023415327072144,0.2,565.207215499878,0.001,0.12208251953125,-4.5034921050071715,-0.010034065041691066,0.7451639175415039,183.20407104492188,570
59,687,1405,619.3257865905762,966656,0.011709128,0.5584447085857391,0.2,577.4807577133179,0.001,0.127716064453125,-4.476871693134308,-0.0088678995911323,0.7420634627342224,231.87681579589844,580
60,686,1432,803.8399963378906,983040,0.012575365,0.5387937724590302,0.2,544.0711586952209,0.001,0.116693115234375,-4.451019424200058,-0.008122779504628853,0.7365127801895142,162.8695068359375,590
61,684,1459,747.7142486572266,999424,0.011061039,0.543742835521698,0.2,601.5636866569519,0.001,0.111517333984375,-4.411442115902901,-0.010960980485833716,0.729689359664917,119.70301055908203,600
62,683,1486,698.0125885009766,1015808,0.011159265,0.5183306634426117,0.2,518.3662408828735,0.001,0.117315673828125,-4.37377213537693,-0.01027822855830891,0.7221545577049255,128.7537078857422,610
