time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rew_vec_envs,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/explained_variance,train/std
51,1114112,1263,1,2.218362,,,,,,,,,,,
100,1179648,1302,2,1.6506715,170,0.0040929425,0.0001,-0.003031307500168623,485.4969386935234,0.2,-5.153308684378862,0.022662353515625,165.2152557373047,0.8763479664921761,0.8771737813949585
149,1245184,1316,3,2.5253386,180,0.0036314307,0.0001,-0.0026059873480335227,505.45200272798536,0.2,-5.124948418140411,0.01663055419921875,149.62374877929688,0.8880570530891418,0.8708497285842896
201,1310720,1297,4,2.6564112,190,0.0040297033,0.0001,-0.0032142407404535333,440.3886734485626,0.2,-5.09542056210339,0.0211517333984375,106.0767822265625,0.8887483477592468,0.8655335903167725
253,1376256,1293,5,1.8382403,200,0.003606717,0.0001,-0.002841857698149397,596.7454059481621,0.2,-5.0724890571087595,0.02067413330078125,116.28475189208984,0.8804487735033035,0.8607754707336426
305,1441792,1288,6,1.69381,210,0.0041849306,0.0001,-0.003554669408549671,548.848221039772,0.2,-5.051037953421473,0.0280120849609375,260.0909423828125,0.8895999416708946,0.8573857545852661
357,1507328,1283,7,6.141491,220,0.0040130136,0.0001,-0.003135209960146312,428.4288080096245,0.2,-5.033929420635104,0.02373504638671875,166.88967895507812,0.8979563489556313,0.8544512391090393
409,1572864,1279,8,1.5920826,230,0.0034665202,0.0001,-0.002506485530102509,678.3868877410889,0.2,-5.020517077669501,0.01578521728515625,152.8241424560547,0.8815691098570824,0.8515099287033081
460,1638400,1279,9,2.431386,240,0.004185152,0.0001,-0.003092807466236991,465.3843292713165,0.2,-4.99589058496058,0.02204437255859375,113.94639587402344,0.9091331213712692,0.8452790975570679
511,1703936,1280,10,2.1951277,250,0.0039488208,0.0001,-0.002822918128913443,596.4539805769921,0.2,-4.970660683512688,0.02106170654296875,218.08209228515625,0.8995084390044212,0.840713381767273
564,1769472,1276,11,2.2320435,260,0.0040928256,0.0001,-0.003195298311038641,448.29809020757676,0.2,-4.947493588924408,0.025360107421875,94.3329849243164,0.9094981253147125,0.8365381956100464
616,1835008,1275,12,1.7234322,270,0.0037270645,0.0001,-0.0027820830380733243,656.315702867508,0.2,-4.935456887260079,0.01682281494140625,170.33412170410156,0.8903470635414124,0.8361170887947083
666,1900544,1277,13,2.1444337,280,0.0039172475,0.0001,-0.00299128796250443,547.6793135046959,0.2,-4.9244214344769714,0.020098876953125,185.61827087402344,0.9088834449648857,0.8332527875900269
718,1966080,1277,14,2.0083432,290,0.0038171755,0.0001,-0.0030769782504648903,569.3035567045212,0.2,-4.908281422033906,0.0216156005859375,170.85281372070312,0.897711455821991,0.8301398754119873
771,2031616,1274,15,2.1795206,300,0.0038755466,0.0001,-0.0028248280601474106,743.2549889326095,0.2,-4.89035901799798,0.022369384765625,176.15480041503906,0.8773712515830994,0.8263940811157227
827,2097152,1266,16,2.5058055,310,0.0037942987,0.0001,-0.003486407051605056,676.788715851307,0.2,-4.87433645054698,0.0275115966796875,295.6789855957031,0.9092939421534538,0.8239925503730774
