time/iterations,time/fps,time/time_elapsed,rew_vec_envs,time/total_timesteps,train/value_loss,train/clip_range,train/approx_kl,train/learning_rate,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss
33,961,1124,-304.4050636291504,1081344,8190.394481191039,0.2,0.024551723,0.001,0.7944663763046265,0.15742170810699463,0.255535888671875,320,-0.00709023809467908,-4.757625332474708,7584.4873046875
34,961,1158,-310.48296451568604,1114112,17929.424718540908,0.2,0.020935865,0.001,0.7864143252372742,0.17683488130569458,0.192572021484375,330,-0.0029641875727975274,-4.723584616184235,15761.1826171875
35,959,1195,-308.60727977752686,1146880,57296.20946377516,0.2,0.025037467,0.001,0.7851808667182922,0.06435781717300415,0.2002838134765625,340,-0.004817894230291131,-4.703514355421066,25.40675163269043
36,958,1231,-325.1802682876587,1179648,47067.734601563214,0.2,0.03043041,0.001,0.7824049592018127,0.1297399401664734,0.268267822265625,350,-0.002388483144386555,-4.6948537766933445,44255.953125
37,957,1266,-310.0930070877075,1212416,138.34903737306595,0.2,0.024449643,0.001,0.7763020396232605,0.6469439268112183,0.273638916015625,360,-0.011260458431570442,-4.667392924427986,38.09988784790039
38,956,1301,-301.650509595871,1245184,4356.300242179632,0.2,0.02625528,0.001,0.7701377868652344,0.3950984477996826,0.245306396484375,370,-0.01015757407876663,-4.634929160773754,24.83899688720703
39,955,1337,-286.5770854949951,1277952,4862.777867674828,0.2,0.023444414,0.001,0.7669617533683777,0.25064611434936523,0.2396331787109375,380,-0.006142915692907991,-4.613520363718271,25.99863624572754
40,954,1373,-300.0990991592407,1310720,2541.958296960592,0.2,0.023475021,0.001,0.7622907161712646,0.42510294914245605,0.2002838134765625,390,-0.007598189003510924,-4.598387910425663,31.873929977416992
41,953,1408,-318.0865430831909,1343488,18368.272438430788,0.2,0.01780479,0.001,0.7576360106468201,0.254780650138855,0.182135009765625,400,-0.0054491989954840395,-4.573237098753452,16908.55859375
42,953,1443,-328.7917594909668,1376256,220.81666779518127,0.2,0.024822814,0.001,0.752598226070404,0.7205962240695953,0.215985107421875,410,-0.011897520261481987,-4.540174020826816,34.388938903808594
43,951,1480,-241.6313738822937,1409024,18318.583162158728,0.2,0.021124333,0.001,0.740818202495575,0.18130642175674438,0.1918365478515625,420,-0.0051289210739923876,-4.491359009593725,8592.8544921875
44,949,1517,-305.63977813720703,1441792,47550.224893188475,0.2,0.017890824,0.001,0.7352735996246338,0.21036124229431152,0.16597900390625,430,-0.003985626169014722,-4.469175619632006,73.14511108398438
45,948,1553,-162.36181926727295,1474560,207.51854985356331,0.2,0.024800438,0.001,0.7333352565765381,0.7213391363620758,0.250494384765625,440,-0.009373170626713546,-4.436381616443396,39.26969528198242
46,948,1589,-286.434326171875,1507328,53016.863026356696,0.2,0.013080513,0.001,0.7219278812408447,0.18853825330734253,0.1516815185546875,450,-0.004955610452816473,-4.405978536605835,30529.712890625
47,947,1625,-300.91369915008545,1540096,32294.709214115144,0.2,0.028303016,0.001,0.7152513265609741,0.2849547863006592,0.215472412109375,460,-0.0030165806187142153,-4.346827650070191,40084.484375
48,946,1661,-248.0038251876831,1572864,18411.858988761902,0.2,0.014640914,0.001,0.7117679715156555,0.39567047357559204,0.1663238525390625,470,-0.004999124415917322,-4.319044438749552,11955.6416015625
49,946,1697,-293.67885303497314,1605632,72409.38233451844,0.2,0.02600433,0.001,0.7073888182640076,0.2638625502586365,0.1918426513671875,480,-0.005449026879796292,-4.297008717805147,58532.46875
50,945,1733,-246.11015224456787,1638400,31225.580556201934,0.2,0.017912064,0.001,0.7016840577125549,0.30569833517074585,0.1585052490234375,490,-0.005146245327341603,-4.258654793351889,3080.04638671875
51,944,1769,-307.6575994491577,1671168,18965.21948914528,0.2,0.018906068,0.001,0.6985938549041748,0.35934746265411377,0.1400360107421875,500,-0.004557234525782406,-4.240223442018032,7986.8642578125
52,943,1806,-264.6473197937012,1703936,24734.80081156492,0.2,0.015769012,0.001,0.6961270570755005,0.37351012229919434,0.1415985107421875,510,-0.0054934478561335705,-4.22583184838295,38053.59375
53,942,1843,-195.19641304016113,1736704,536.3002582430839,0.2,0.02505546,0.001,0.6977638602256775,0.6726571321487427,0.22293701171875,520,-0.010204265099673648,-4.230256986618042,47.58153533935547
54,941,1878,-284.50718212127686,1769472,10978.141171455383,0.2,0.016710173,0.001,0.695654034614563,0.3421308994293213,0.180609130859375,530,-0.0046109549282846276,-4.220411517471075,21707.4609375
55,940,1916,-209.58608055114746,1802240,7551.159207773208,0.2,0.018448956,0.001,0.6959449648857117,0.48359423875808716,0.1464599609375,540,-0.005415554173305281,-4.214799702912569,550.8806762695312
56,939,1952,-265.29456663131714,1835008,27527.946317768095,0.2,0.01879027,0.001,0.6870378255844116,0.31252408027648926,0.1665191650390625,550,-0.005314454103063327,-4.193275267630815,3195.568603515625
57,939,1988,-224.6142749786377,1867776,27946.9845808506,0.2,0.013583498,0.001,0.680315375328064,0.3657051920890808,0.12974853515625,560,-0.00598654086352326,-4.152284829318523,3422.54345703125
58,938,2024,1070.2297949790955,1900544,33297.54069387913,0.2,0.019661013,0.001,0.6712024211883545,0.30711591243743896,0.150421142578125,570,-0.004252280434593558,-4.103668750077486,13979.2119140625
59,937,2061,-243.34374141693115,1933312,27945.252758049966,0.2,0.014972445,0.001,0.6647772192955017,0.3884279727935791,0.13267822265625,580,-0.005922548152011586,-4.050821644812823,156.90647888183594
60,936,2099,711.3320515155792,1966080,55692.76428439617,0.2,0.012296703,0.001,0.6566734313964844,0.23974502086639404,0.1118621826171875,590,-0.004146603710978525,-4.013145275041461,2452.941162109375
61,935,2137,555.4798629283905,1998848,29704.24105231762,0.2,0.018877907,0.001,0.654241681098938,0.3503645062446594,0.159613037109375,600,-0.005429015437766793,-3.973968059942126,27575.318359375
62,934,2174,-223.53103709220886,2031616,25521.471854114534,0.2,0.019041037,0.001,0.6531184911727905,0.33904463052749634,0.154974365234375,610,-0.004696643486386165,-3.9569509141147137,58124.81640625
63,933,2211,570.2204484939575,2064384,38674.45775141716,0.2,0.014519339,0.001,0.6461183428764343,0.3929861783981323,0.12872314453125,620,-0.005402619278174825,-3.9423147469758986,79378.3984375
64,932,2248,-232.94552993774414,2097152,62727.40533890724,0.2,0.012102434,0.001,0.636932373046875,0.214915931224823,0.108837890625,630,-0.0047085921072721245,-3.892586449533701,11280.658203125
65,931,2285,172.43589115142822,2129920,25047.218835234642,0.2,0.015254269,0.001,0.6325433850288391,0.3363117575645447,0.1297821044921875,640,-0.004539302977354965,-3.8486121017485857,3304.804443359375
66,931,2322,293.04196643829346,2162688,24368.387976455688,0.2,0.011510899,0.001,0.6313638687133789,0.3318486213684082,0.0826995849609375,650,-0.0038958750126766974,-3.8294351186603306,15114.8837890625
67,930,2360,-142.3003311753273,2195456,41034.85387954712,0.2,0.010766574,0.001,0.6282909512519836,0.37412697076797485,0.081744384765625,660,-0.00494620109529933,-3.818504321202636,46306.00390625
68,928,2400,410.2094407081604,2228224,12651.85803384781,0.2,0.014957589,0.001,0.6268232464790344,0.422027051448822,0.135772705078125,670,-0.004511166532029165,-3.798419801145792,12584.2314453125
69,926,2439,298.23845958709717,2260992,50835.51585168838,0.2,0.010435579,0.001,0.6204546689987183,0.3802512288093567,0.0846160888671875,680,-0.004959580485592596,-3.779099090397358,17391.86328125
70,925,2477,-242.23523902893066,2293760,22586.275652313234,0.2,0.011411158,0.001,0.6135706901550293,0.40841740369796753,0.1028045654296875,690,-0.006511724320807844,-3.7354575425386427,1575.2952880859375
71,925,2514,256.49650859832764,2326528,26514.432340431213,0.2,0.017638767,0.001,0.6107614040374756,0.3785257339477539,0.1543701171875,700,-0.005593283858615905,-3.695741094648838,151.86468505859375
72,924,2552,333.1306574344635,2359296,58273.48459830284,0.2,0.017639602,0.001,0.6081299781799316,0.2678681015968323,0.159906005859375,710,-0.004601659457694041,-3.678892556205392,180.372314453125
73,923,2590,-131.93335273861885,2392064,55019.37282347679,0.2,0.011064717,0.001,0.6039040088653564,0.3708236813545227,0.1186920166015625,720,-0.0035400448516156756,-3.659138121455908,7692.0732421875
74,922,2628,-251.90921926498413,2424832,22920.166259813308,0.2,0.021660496,0.001,0.6031033992767334,0.3920438885688782,0.1619171142578125,730,-0.006084975645353552,-3.627360547706485,26064.005859375
75,921,2667,-186.7784252166748,2457600,25549.57838258743,0.2,0.015225115,0.001,0.5985077023506165,0.2941414713859558,0.1514678955078125,740,-0.005657562142732786,-3.6178620353341104,128.6349639892578
76,920,2706,891.6064901351929,2490368,25009.81759133339,0.2,0.013384328,0.001,0.5897730588912964,0.40085679292678833,0.1093292236328125,750,-0.005272151189274155,-3.5720745347440244,17369.349609375
77,918,2745,471.4526644349098,2523136,31256.403442764284,0.2,0.011515617,0.001,0.5847996473312378,0.35522210597991943,0.1003326416015625,760,-0.005861237295539468,-3.526437123864889,48630.22265625
78,918,2783,430.5950059890747,2555904,56236.99080152511,0.2,0.012679918,0.001,0.5756320953369141,0.3555726408958435,0.0842803955078125,770,-0.005756220636612852,-3.481684333458543,68733.84375
79,917,2822,-110.10827922821045,2588672,26838.8867893219,0.2,0.013171364,0.001,0.5718673467636108,0.5207000970840454,0.11419677734375,780,-0.006275968918635045,-3.4291189793497323,22789.083984375
80,916,2861,223.1421468257904,2621440,31769.073064994813,0.2,0.009081599,0.001,0.5663925409317017,0.43288952112197876,0.08980712890625,790,-0.006415154080605135,-3.4048460267484186,11108.6884765625
81,914,2900,-194.56506443023682,2654208,15208.3470205307,0.2,0.010433026,0.001,0.5673530101776123,0.3450537919998169,0.0878265380859375,800,-0.006733872064796742,-3.390428787097335,3364.177001953125
82,914,2939,394.1161580681801,2686976,60157.432929992676,0.2,0.009810135,0.001,0.5618124604225159,0.26684021949768066,0.077215576171875,810,-0.0055419813219486965,-3.373276049271226,26584.275390625
83,912,2980,439.06591749191284,2719744,43081.62049484253,0.2,0.010557247,0.001,0.5576899647712708,0.38003623485565186,0.0826934814453125,820,-0.00467586008417129,-3.337777388095856,7278.638671875
84,910,3022,555.8754186630249,2752512,34453.1226067543,0.2,0.011991765,0.001,0.550649106502533,0.33436697721481323,0.0893463134765625,830,-0.00603141224164574,-3.296487203612924,639.895751953125
85,909,3062,-271.8037929534912,2785280,48672.99773750305,0.2,0.007572247,0.001,0.545974850654602,0.3563138246536255,0.0589111328125,840,-0.006197089614579454,-3.2540583297610284,27935.322265625
86,908,3102,882.5134506225586,2818048,67035.6507101059,0.2,0.0073587755,0.001,0.5452707409858704,0.2980533242225647,0.060650634765625,850,-0.005003600227792049,-3.232972317561507,73154.4140625
87,907,3141,128.9643063545227,2850816,37378.71565055847,0.2,0.008432278,0.001,0.5452967882156372,0.37268102169036865,0.0684051513671875,860,-0.005615423326889868,-3.230330488458276,5378.36279296875
88,906,3181,263.8286962509155,2883584,57655.02435092926,0.2,0.007637091,0.001,0.5412213802337646,0.4001809358596802,0.055780029296875,870,-0.00578080659652187,-3.217460085824132,66137.640625
89,905,3221,827.8630261421204,2916352,22155.031497097014,0.2,0.010899819,0.001,0.5389367341995239,0.4063270092010498,0.0782135009765625,880,-0.006050165072156233,-3.187505016475916,17151.115234375
90,903,3262,604.30859375,2949120,44564.58810501099,0.2,0.010721121,0.001,0.5349894762039185,0.36318904161453247,0.086224365234375,890,-0.006213371685589664,-3.1672354262322187,46624.78515625
91,902,3305,421.02089977264404,2981888,60958.06464214325,0.2,0.0074627125,0.001,0.5318351984024048,0.2533400058746338,0.0540557861328125,900,-0.004946434401790612,-3.1407979246228934,5143.4462890625
92,900,3347,621.5013041198254,3014656,36227.66121196747,0.2,0.009134301,0.001,0.5274153351783752,0.4988895654678345,0.075433349609375,910,-0.005681249112603837,-3.1108422745019197,837.29833984375
93,899,3387,-111.07380294799805,3047424,112454.94034786224,0.2,0.007900605,0.001,0.525863766670227,0.31631749868392944,0.0557586669921875,920,-0.005704592536494602,-3.087813475728035,80149.453125
94,898,3428,-158.37801551818848,3080192,47544.29523353577,0.2,0.010177419,0.001,0.5238568782806396,0.3477672338485718,0.0821075439453125,930,-0.005587352260045008,-3.0724559471011164,68239.4296875
95,897,3469,-176.7915699481964,3112960,37075.35389995575,0.2,0.008017087,0.001,0.520240306854248,0.32005220651626587,0.0673004150390625,940,-0.0051945673983937015,-3.0526168782263996,1131.5316162109375
96,895,3511,110.31510925292969,3145728,45874.28758926391,0.2,0.008808382,0.001,0.5198148488998413,0.3261690139770508,0.066845703125,950,-0.0054761860963481014,-3.0332428731024264,6837.5244140625
97,894,3555,-49.156243324279785,3178496,62357.23917598724,0.2,0.007675507,0.001,0.5146535634994507,0.3567296266555786,0.0596893310546875,960,-0.005222632560980855,-3.0136532239615916,1777.1802978515625
98,892,3599,416.65279495716095,3211264,48286.221077537535,0.2,0.0069017718,0.001,0.5140169858932495,0.39340120553970337,0.061273193359375,970,-0.005445912693539867,-2.9887618575245143,78866.203125
99,890,3644,-129.01370573043823,3244032,49902.215112304686,0.2,0.0064962218,0.001,0.5112910270690918,0.3831494450569153,0.0492950439453125,980,-0.004652021074434742,-2.9788464423269034,2849.038330078125
100,888,3689,715.3027620315552,3276800,58323.98492240906,0.2,0.008274158,0.001,0.5070443749427795,0.2936156392097473,0.062933349609375,990,-0.006179798617085908,-2.9525003008544446,1984.1102294921875
101,886,3734,-155.15413665771484,3309568,92370.92088279725,0.2,0.00659834,0.001,0.5034763813018799,0.35141152143478394,0.046612548828125,1000,-0.005092523893108591,-2.9223169166594745,35893.23046875
102,884,3779,567.8440508842468,3342336,47509.70822486877,0.2,0.0072271693,0.001,0.500211238861084,0.3339279294013977,0.0555938720703125,1010,-0.005329507575879688,-2.8917012583464383,38309.640625
103,882,3825,-102.30441856384277,3375104,70668.02936935425,0.2,0.007058498,0.001,0.49987977743148804,0.3060980439186096,0.04466552734375,1020,-0.004195480265843798,-2.878463828191161,16887.791015625
104,880,3870,579.9792881011963,3407872,41362.22091560364,0.2,0.0066306256,0.001,0.49724090099334717,0.44459372758865356,0.044244384765625,1030,-0.00508721982841962,-2.8682684548199178,11098.4248046875
105,879,3914,298.9834952354431,3440640,38120.24279327392,0.2,0.0082621835,0.001,0.4936494529247284,0.35327965021133423,0.0555999755859375,1040,-0.005590889241284458,-2.8447162460535766,34600.53125
106,877,3958,-140.72436809539795,3473408,61465.90461807251,0.2,0.007921786,0.001,0.49178725481033325,0.3505071997642517,0.052227783203125,1050,-0.004680396212279447,-2.8207914352416994,8207.9931640625
107,875,4003,480.0727376937866,3506176,35556.23533401489,0.2,0.00642309,0.001,0.4903140068054199,0.4349748492240906,0.0404998779296875,1060,-0.004789878179872175,-2.806316401809454,8848.59765625
108,874,4047,768.587654709816,3538944,47033.24960289001,0.2,0.0067887297,0.001,0.4882141947746277,0.30863940715789795,0.0484588623046875,1070,-0.00516715445992304,-2.7932491037994622,81349.875
109,872,4092,548.1617579460144,3571712,48023.930150222775,0.2,0.006890714,0.001,0.48760583996772766,0.3976063132286072,0.05496826171875,1080,-0.006141201352875214,-2.782181525975466,19172.111328125
110,871,4137,749.1957874298096,3604480,60695.1364818573,0.2,0.0070442967,0.001,0.48647916316986084,0.34758031368255615,0.055450439453125,1090,-0.005919094236742239,-2.7742607194930313,149288.234375
111,869,4183,1479.508542060852,3637248,34280.410656547545,0.2,0.0086240275,0.001,0.4836791455745697,0.34332388639450073,0.062353515625,1100,-0.006211078966589412,-2.7594086095690726,1989.6614990234375
112,867,4228,-1.4031264781951904,3670016,31813.974482536316,0.2,0.007200107,0.001,0.48353350162506104,0.38443177938461304,0.0474395751953125,1110,-0.005068492685313686,-2.7459508165717126,4054.20849609375
113,866,4274,514.5563621520996,3702784,17906.51111240387,0.2,0.0071154134,0.001,0.4815516769886017,0.4911101460456848,0.0571990966796875,1120,-0.00562753734884609,-2.7362999502569436,6008.41162109375
114,864,4320,497.88474667072296,3735552,45864.80577697754,0.2,0.0056137023,0.001,0.4784160256385803,0.5092685520648956,0.0372894287109375,1130,-0.0047390853658725975,-2.7160171560943125,15861.1630859375
115,862,4366,1104.1184934228659,3768320,48540.743688583374,0.2,0.006658653,0.001,0.476101279258728,0.3694385886192322,0.0421417236328125,1140,-0.004405267436777649,-2.691766867786646,5351.23095703125
116,861,4414,105.82803249359131,3801088,103020.28661994934,0.2,0.0054338933,0.001,0.4757571518421173,0.291476845741272,0.0388641357421875,1150,-0.0046427451223280515,-2.680248478055,14428.681640625
117,859,4461,1997.5640811920166,3833856,57923.29487571716,0.2,0.0059833103,0.001,0.4719057083129883,0.4317825436592102,0.0419677734375,1160,-0.004877029322597082,-2.6653629187494516,15472.4072265625
118,857,4508,527.0308182835579,3866624,50317.61873855591,0.2,0.007991249,0.001,0.46819382905960083,0.4463539719581604,0.0542449951171875,1170,-0.005708784250600729,-2.631968388706446,27942.595703125
119,856,4553,-92.46275806427002,3899392,46723.195276260376,0.2,0.0063024545,0.001,0.4668120741844177,0.282753586769104,0.05189208984375,1180,-0.005340166114547173,-2.6096120435744523,1991.9586181640625
120,854,4601,224.00239205360413,3932160,72658.11771316528,0.2,0.005205029,0.001,0.4663103222846985,0.342410147190094,0.03751220703125,1190,-0.004973858463563375,-2.602655327320099,47799.2265625
121,852,4649,1049.8378880023956,3964928,84750.1943572998,0.2,0.005952314,0.001,0.4632980227470398,0.28101903200149536,0.0408416748046875,1200,-0.005138339072072995,-2.5880702413618564,2220.9140625
122,851,4697,821.890682220459,3997696,54238.97986145019,0.2,0.0067605893,0.001,0.46259331703186035,0.40564513206481934,0.050396728515625,1210,-0.006227729939564597,-2.570352490991354,25683.58203125
123,849,4745,864.3329820632935,4030464,73975.53329620362,0.2,0.0062850304,0.001,0.4603636860847473,0.3494946360588074,0.0368499755859375,1220,-0.005037704633286922,-2.557861529290676,46163.99609375
124,847,4795,208.68517303466797,4063232,63188.90217857361,0.2,0.006259176,0.001,0.4592364728450775,0.28095799684524536,0.0445465087890625,1230,-0.005354854948382126,-2.542278316989541,1919.4478759765625
125,845,4843,457.8075981140137,4096000,63049.88305740357,0.2,0.0056760353,0.001,0.4563526511192322,0.3216484785079956,0.037506103515625,1240,-0.004926401515149337,-2.5258957762271166,1709.571533203125
126,843,4891,523.292368888855,4128768,67021.06627502441,0.2,0.005194243,0.001,0.45454514026641846,0.3024418354034424,0.028875732421875,1250,-0.004431850799664972,-2.5051008477807044,30798.65234375
127,842,4940,308.8169162273407,4161536,91037.72882690429,0.2,0.0054230173,0.001,0.4523180425167084,0.36823731660842896,0.0345977783203125,1260,-0.004712733976339223,-2.4878882467746735,5323.9404296875
128,840,4989,912.5900499224663,4194304,56597.93026466369,0.2,0.0054335,0.001,0.45063748955726624,0.3652932643890381,0.0360931396484375,1270,-0.00493715816992335,-2.4705020185559987,11887.9814453125
129,838,5040,18.414839386940002,4227072,186576.30170059204,0.2,0.0057133576,0.001,0.44935864210128784,0.2681185007095337,0.0286712646484375,1280,-0.003917879207438091,-2.4564471412450075,4376.8837890625
130,836,5090,641.9540175199509,4259840,109197.4213394165,0.2,0.0065916884,0.001,0.4473641514778137,0.1861497163772583,0.040673828125,1290,-0.005240524013061076,-2.441577869281173,16761.923828125
131,835,5138,-28.818548604846,4292608,107887.00065956116,0.2,0.0062215286,0.001,0.4465602934360504,0.32069259881973267,0.03896484375,1300,-0.004194891924998956,-2.4271871827542784,2924.090087890625
132,833,5187,99.76083874702454,4325376,44161.0093875885,0.2,0.007818697,0.001,0.44513431191444397,0.39890074729919434,0.064117431640625,1310,-0.005696398362488253,-2.418473078683019,22885.05078125
133,831,5240,1108.8082847595215,4358144,64757.702725982665,0.2,0.00549372,0.001,0.4445044994354248,0.3065943717956543,0.0398590087890625,1320,-0.005304826566498377,-2.407637306302786,8515.2177734375
134,829,5291,1365.9108669757843,4390912,137643.66101837158,0.2,0.0059511513,0.001,0.4440680742263794,0.2567884922027588,0.0393402099609375,1330,-0.004563451060312218,-2.4019578572362663,10629.9296875
135,828,5341,301.8825489282608,4423680,181115.389503479,0.2,0.005396704,0.001,0.44344761967658997,0.35362422466278076,0.0309600830078125,1340,-0.004698533108239644,-2.3974210284650326,106285.1015625
136,826,5392,-17.679850101470947,4456448,29761.285884475707,0.2,0.0059644226,0.001,0.44262710213661194,0.395261287689209,0.0412322998046875,1350,-0.005590775857126573,-2.389880705624819,14659.97265625
137,824,5443,432.10336977243423,4489216,68740.51068725585,0.2,0.0046799676,0.001,0.4420291781425476,0.3166871666908264,0.0255584716796875,1360,-0.0046746465279284164,-2.3825853291898964,3600.766357421875
138,823,5493,1554.8515035510063,4521984,37893.283953475955,0.2,0.00577566,0.001,0.44124308228492737,0.2849118113517761,0.0339630126953125,1370,-0.0049812021712568825,-2.3768132872879506,6892.72021484375
139,821,5544,1700.9982763528824,4554752,70569.81268386841,0.2,0.0059993234,0.001,0.4394643306732178,0.3220410943031311,0.04033203125,1380,-0.00522345775316353,-2.366126200184226,2961.6982421875
140,819,5596,1209.4969529211521,4587520,156181.73056564332,0.2,0.005057502,0.001,0.43752190470695496,0.3086860775947571,0.0275360107421875,1390,-0.003971633435503464,-2.3483288660645485,9729.7548828125
