time/time_elapsed,time/iterations,rew_vec_envs,time/fps,time/total_timesteps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/std,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
81,1,0.60436743,300,3055616,,,,,,,,,,,
163,2,0.7783866,300,3080192,16.37419891357422,0.35844528675079346,78.463704987367,1450,0.9115813374519348,-0.006327881467101785,0.05578206380208333,0.0001,0.0059982925,0.2,-5.296757714947065
247,3,0.66900533,297,3104768,14.419629096984863,0.5053033530712128,137.17927595774333,1460,0.9089571237564087,-0.005964810889660536,0.0667724609375,0.0001,0.0070849787,0.2,-5.291422301530838
336,4,0.8636696,292,3129344,10.577792167663574,0.5813713669776917,96.86388707558314,1470,0.9079253077507019,-0.004453095010831021,0.025126139322916668,0.0001,0.0046413946,0.2,-5.283069096008936
426,5,0.6716654,288,3153920,49.96708679199219,0.08003801107406616,334.11635109583534,1480,0.90778648853302,-0.002891574425060147,0.018839518229166668,0.0001,0.0041113314,0.2,-5.2798105130592985
497,6,0.6987362,296,3178496,11.497088432312012,0.480273962020874,47.36900682449341,1490,0.9059892296791077,-0.006140286764518047,0.055712890625,0.0001,0.0062310672,0.2,-5.274036757151285
584,7,0.79155153,294,3203072,18.96463394165039,0.5130011439323425,110.04782653252283,1500,0.9049439430236816,-0.004137698465880627,0.03442789713541667,0.0001,0.0050930236,0.2,-5.26831639111042
682,8,0.76347494,288,3227648,52.6599235534668,0.200356125831604,417.52895002365113,1510,0.9041581749916077,-0.0027980456206326684,0.014876302083333333,0.0001,0.0032400817,0.2,-5.2638598839441935
778,9,0.855114,284,3252224,178.77587890625,0.5356889367103577,121.77354018688202,1520,0.9045519828796387,-0.0054604867531452324,0.03923746744791667,0.0001,0.0058981623,0.2,-5.262444460391999
874,10,0.7451687,281,3276800,90.53062438964844,0.4521535634994507,150.80509900252025,1530,0.9049930572509766,-0.004508010578380587,0.03412679036458333,0.0001,0.005526431,0.2,-5.264315672715505
968,11,1.1967661,279,3301376,17.369525909423828,0.3754311203956604,168.95107121070225,1540,0.9064762592315674,-0.00447940532079277,0.03760579427083333,0.0001,0.0053734514,0.2,-5.2664736926555635
1058,12,0.7340147,278,3325952,183.5899200439453,0.2456120252609253,437.96040720939635,1550,0.9041916728019714,-0.0032569802375898385,0.025516764322916666,0.0001,0.004499092,0.2,-5.267441649238268
1147,13,0.76784533,278,3350528,19.199840545654297,0.46602296829223633,208.24714699586232,1560,0.9041690826416016,-0.0042995237391248034,0.029227701822916667,0.0001,0.004739921,0.2,-5.259609185655912
1237,14,0.6622047,278,3375104,97.68783569335938,0.4768919348716736,247.8412142197291,1570,0.9018651843070984,-0.00376795345703916,0.0332763671875,0.0001,0.0050095394,0.2,-5.255039170384407
1318,15,0.634979,279,3399680,12.916054725646973,0.5226106941699982,58.60970814625422,1580,0.8964765071868896,-0.005960865396870455,0.04149983723958333,0.0001,0.0062357746,0.2,-5.242464722196261
1399,16,0.60786104,281,3424256,12.762914657592773,0.34216976165771484,124.96732480525971,1590,0.8926461935043335,-0.0067892815064017975,0.0601318359375,0.0001,0.0072605736,0.2,-5.21873146990935
1480,17,0.6070383,282,3448832,36.577728271484375,0.4474272131919861,148.45195745627086,1600,0.8909329175949097,-0.005013849312672391,0.03695475260416667,0.0001,0.005026371,0.2,-5.204947744806607
1569,18,0.7682376,281,3473408,14.675479888916016,-0.23385965824127197,123.80033033291498,1610,0.888633131980896,-0.005484905109430353,0.05665283203125,0.0001,0.0068682567,0.2,-5.200045718749364
1644,19,0.6875725,283,3497984,15.084878921508789,0.3622077703475952,220.97687003215154,1620,0.8882794380187988,-0.0031508435582509263,0.0310791015625,0.0001,0.0048171002,0.2,-5.190999184052149
1717,20,0.6446264,286,3522560,21.051128387451172,0.5334511995315552,216.92495043675106,1630,0.8878288269042969,-0.003483993498472652,0.03388264973958333,0.0001,0.0051556854,0.2,-5.187675881385803
1790,21,0.58384365,288,3547136,9.384692192077637,0.5834455788135529,126.10299760897955,1640,0.8852493762969971,-0.004685467873059679,0.04629720052083333,0.0001,0.0061374344,0.2,-5.183309435844421
1862,22,0.64372224,290,3571712,10.657037734985352,0.607246458530426,49.038547325134275,1650,0.8892094492912292,-0.007721297402652757,0.06517740885416666,0.0001,0.00720484,0.2,-5.185293244322141
1933,23,0.78288156,292,3596288,24.193954467773438,0.605103999376297,150.3022783637047,1660,0.8861680030822754,-0.005414764846985539,0.049853515625,0.0001,0.006400188,0.2,-5.187400588393212
2008,24,0.6867912,293,3620864,14.867958068847656,0.2714672088623047,126.71857237021128,1670,0.8843016624450684,-0.005614292166137602,0.04480387369791667,0.0001,0.0067909113,0.2,-5.1757833937803905
2070,25,0.6820906,296,3645440,13.162476539611816,-0.10457324981689453,94.5036588549614,1680,0.8830995559692383,-0.00429380734761556,0.03750813802083333,0.0001,0.005618183,0.2,-5.169412133097649
2154,26,0.8700723,296,3670016,25.29757308959961,0.291456937789917,141.96989582379658,1690,0.8845527172088623,-0.00412377696823872,0.030908203125,0.0001,0.0055468217,0.2,-5.169106208284696
2242,27,0.7548756,295,3694592,16.433088302612305,0.48033106327056885,47.50778556267421,1700,0.8849672079086304,-0.007452326084118491,0.061442057291666664,0.0001,0.0076208576,0.2,-5.172090564171473
2328,28,0.6749661,295,3719168,110.97148132324219,0.35466790199279785,77.58559823036194,1710,0.8848831057548523,-0.005692158687937384,0.04943440755208333,0.0001,0.006147366,0.2,-5.173583261171976
