time/fps,rew_vec_envs,time/time_elapsed,time/total_timesteps,time/iterations,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/loss,train/std,train/clip_range,train/value_loss
853,-1.4733654712326825,76,65536,1,,,,,,,,,,,
969,-1.088550329208374,135,131072,2,0.011133211,0.15453033447265624,0.001,0.016560673713684082,-0.0016074037868747837,10,-5.627978960052133,6.348536014556885,0.9874977469444275,0.2,4.941165034024744
1013,0.36339593154843897,193,196608,3,0.014810497,0.172515869140625,0.001,0.07083672285079956,-0.0015388328046356038,20,-5.599022144451737,0.18630124628543854,0.9802325963973999,0.2,15.483948465483262
1041,-0.6214477671310306,251,262144,4,0.015213342,0.20492095947265626,0.001,0.0478893518447876,-0.002581743228620326,30,-5.5550518404692415,0.08318387717008591,0.9719659090042114,0.2,1.5637176950345748
1054,1.1722495085559785,310,327680,5,0.016690455,0.236041259765625,0.001,0.733749270439148,-0.005114919027073483,40,-5.506482706218958,0.054095033556222916,0.9566614627838135,0.2,0.22009658337337895
1061,0.9055545505834743,370,393216,6,0.016647913,0.2194488525390625,0.001,0.17843371629714966,-0.006718242185888812,50,-5.460389134287834,0.05903729796409607,0.9481149315834045,0.2,3.3006524281867313
1068,3.3146908534690738,429,458752,7,0.017872699,0.22421722412109374,0.001,0.8296307921409607,-0.010525894092279487,60,-5.427264537289739,0.075741708278656,0.937716007232666,0.2,0.18924527685157955
1073,2.957339827902615,488,524288,8,0.017759765,0.21549835205078124,0.001,0.5573334693908691,-0.007777122560582939,70,-5.3860369846224785,0.07368966937065125,0.9307702779769897,0.2,0.6933589968364686
1076,4.789723111316562,547,589824,9,0.020560862,0.24542236328125,0.001,0.8032150864601135,-0.01102862916122831,80,-5.348217098042369,0.07732503116130829,0.9233765602111816,0.2,0.2534708311082795
1078,3.7563886288553476,607,655360,10,0.019348398,0.21013641357421875,0.001,0.2503284811973572,-0.006262010370119242,90,-5.305937552824616,40.05137252807617,0.9117193222045898,0.2,5.80419691997813
1081,5.803872654214501,666,720896,11,0.020697076,0.231024169921875,0.001,0.3137848973274231,-0.006565864532785781,100,-5.267351137846708,0.14116761088371277,0.9024151563644409,0.2,4.145126631052699
1083,6.457818251103163,725,786432,12,0.022634067,0.24627227783203126,0.001,0.6738016605377197,-0.009453281920650624,110,-5.233914604783058,0.13388903439044952,0.8960366249084473,0.2,2.8508062343578784
1083,5.976323809474707,786,851968,13,0.017932173,0.20341796875,0.001,0.45541077852249146,-0.003817942702335131,120,-5.2153020717203615,1.3005520105361938,0.8902062177658081,0.2,8.188488749787211
1084,15.301266811788082,846,917504,14,0.021384638,0.205572509765625,0.001,0.4427672028541565,-0.004298153380659642,130,-5.181161193549633,0.3304489850997925,0.8864487409591675,0.2,11.134351549530402
1083,8.35940630827099,907,983040,15,0.024730068,0.2298797607421875,0.001,0.8426226228475571,-0.005590570147433027,140,-5.164193811267614,0.88009113073349,0.8815985918045044,0.2,2.690449495660141
1079,7.85660732537508,971,1048576,16,0.030208077,0.265380859375,0.001,0.7621406763792038,-0.00438692388106574,150,-5.144818101078272,0.5820337533950806,0.8767315745353699,0.2,8.446611573919654
1075,22.205545412376523,1035,1114112,17,0.029914193,0.22501068115234374,0.001,0.8356189280748367,-0.006048674151134037,160,-5.118714708462358,0.8985452055931091,0.8701180219650269,0.2,7.2290465159341695
1072,18.762634448707104,1099,1179648,18,0.025157072,0.23067474365234375,0.001,0.7546375393867493,-0.007011406049241486,170,-5.089331644400954,1.951582908630371,0.8604047894477844,0.2,39.60904031265527
1067,11.070864416658878,1166,1245184,19,0.035632566,0.29540863037109377,0.001,0.8514594286680222,-0.008553694096735853,180,-5.052256029844284,1.0303080081939697,0.8610435724258423,0.2,6.144146173261106
1062,10.856952287256718,1233,1310720,20,0.026079427,0.22596893310546876,0.001,0.7939338684082031,-0.007533753765528672,190,-5.030364048853516,2.651217222213745,0.8511504530906677,0.2,13.637244895100594
1059,11.04936895519495,1299,1376256,21,0.03717284,0.312420654296875,0.001,0.8174926042556763,-0.005487282615649747,200,-5.003276461735368,1.0198951959609985,0.846900224685669,0.2,7.839008340146393
1056,14.469987388700247,1364,1441792,22,0.031990275,0.27041473388671877,0.001,0.784511923789978,-0.008317624250594235,210,-4.966594797372818,4.467304706573486,0.8399731516838074,0.2,13.54624999128282
1053,11.760356758721173,1431,1507328,23,0.04163786,0.31324462890625,0.001,0.82966548204422,-0.007377008199364354,220,-4.9276027381420135,1.685488224029541,0.8315751552581787,0.2,12.990014085453003
1049,13.399965222924948,1498,1572864,24,0.039498266,0.3207855224609375,0.001,0.8115096688270569,-0.00528128404803283,230,-4.911661928147078,0.9584132432937622,0.8322608470916748,0.2,11.936091442778707
1046,11.238753892481327,1565,1638400,25,0.042089395,0.3389862060546875,0.001,0.8252047002315521,-0.008011308719687804,240,-4.899436117708683,1.0793509483337402,0.8332363963127136,0.2,8.634507613256574
1044,37.578324273228645,1631,1703936,26,0.040316265,0.3016357421875,0.001,0.8255448043346405,-0.007746416999725625,250,-4.925071218982339,1.3483493328094482,0.8318544626235962,0.2,10.398103699553758
1041,27.216028109192848,1699,1769472,27,0.03502413,0.26627197265625,0.001,0.8509495854377747,-0.00937048237383351,260,-4.893040580302477,1.77189302444458,0.827628493309021,0.2,16.564472056925297
1039,26.060461148619652,1765,1835008,28,0.038468618,0.3102569580078125,0.001,0.8693984895944595,-0.00859087218886998,270,-4.863832935318351,1.7784113883972168,0.8212623000144958,0.2,19.03554197922349
1037,10.578787077218294,1831,1900544,29,0.03570505,0.2762298583984375,0.001,0.8814216703176498,-0.01023988002416445,280,-4.841531002148986,2.574944257736206,0.817955732345581,0.2,24.51242654211819
1034,23.732642754912376,1899,1966080,30,0.039371677,0.30529327392578126,0.001,0.8304236680269241,-0.010629554506522254,290,-4.834674090147018,3.095825433731079,0.8121058940887451,0.2,23.108414969965814
1032,11.090412624180317,1967,2031616,31,0.041346893,0.30868682861328123,0.001,0.8778026029467583,-0.010687108919773891,300,-4.796917283907533,3.121255874633789,0.8048000931739807,0.2,21.135300778597593
1030,25.073787592351437,2034,2097152,32,0.038005345,0.287841796875,0.001,0.8531109392642975,-0.012101547836391547,310,-4.772588304430246,4.754230499267578,0.8044273853302002,0.2,27.49505444727838
