time/time_elapsed,rew_vec_envs,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate
29,14.314447164535522,16384,548,1,,,,,,,,,,,
60,16.075287103652954,32768,540,2,0.2,0.06710206717252731,-5.674722316116094,10,0.066326904296875,0.9995629191398621,-0.0804976224899292,0.0067442516,0.18331168096628972,-0.0037661299465071353,0.0001
90,18.443748950958252,49152,542,3,0.2,0.3260914087295532,-5.672387081384659,20,0.049737548828125,0.9982060194015503,0.008134186267852783,0.0062451116,84.15016096449108,-0.0019019555998966097,0.0001
120,14.442538619041443,65536,545,4,0.2,0.2062511146068573,-5.656166572496295,30,0.06641845703125,0.9923316240310669,0.5656650364398956,0.006779067,0.449501610500738,-0.0034401355478621554,0.0001
150,20.3546781539917,81920,542,5,0.2,0.15529176592826843,-5.655255402624607,40,0.07108154296875,0.9962680339813232,0.6213874518871307,0.0069718845,0.42872943489346654,-0.0034199398073724296,0.0001
180,18.83671748638153,98304,543,6,0.2,76.26930236816406,-5.658687791973352,50,0.06885986328125,0.9955176115036011,0.07423782348632812,0.0067322315,42.383866789983585,-0.003605551714554167,0.0001
211,23.740921020507812,114688,542,7,0.2,0.2664831280708313,-5.6461063452064995,60,0.073309326171875,0.9910894632339478,0.761671707034111,0.0070048487,0.8033302430296316,-0.0028733058703437563,0.0001
242,20.51809060573578,131072,539,8,0.2,0.4611244797706604,-5.624644283950329,70,0.067388916015625,0.9847994446754456,0.7185691595077515,0.006629943,0.8431151270633563,-0.002244607516331598,0.0001
272,23.78868865966797,147456,540,9,0.2,0.6474259495735168,-5.610927210003138,80,0.068878173828125,0.9827420711517334,0.11712610721588135,0.0069721285,43.605590380961075,-0.0021995669955686024,0.0001
304,21.522236943244934,163840,538,10,0.2,0.44921648502349854,-5.59583360105753,90,0.06719970703125,0.9774503707885742,0.2825656533241272,0.0065749967,19.360641848715023,-0.002718398400975275,0.0001
336,23.372702717781067,180224,534,11,0.2,1.1423511505126953,-5.583769715949893,100,0.064910888671875,0.9778838157653809,0.40027952194213867,0.0050739944,18.05002303053625,-0.0014376107171301556,0.0001
368,23.80647313594818,196608,533,12,0.2,0.7996588945388794,-5.5721315536648035,110,0.091259765625,0.9721555709838867,0.7642170637845993,0.008045278,1.58506742073223,-0.002030283154999779,0.0001
399,24.679749965667725,212992,532,13,0.2,445.4618835449219,-5.565666607394815,120,0.0873046875,0.9739925861358643,0.003610670566558838,0.007186976,53.84800284157973,-0.001472259001002385,0.0001
