aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,-0.1455034361047325,0.011324433760839523,0.0,-0.08857278678135486,0.0,-0.22275178912524782,2.2411876459007787,0.5044662934205439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,-0.03165126634929294,0.011322404600987967,0.0,-0.08802091556480025,0.0,-0.33110156643835303,2.2406914689482984,0.6166753367212489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,-0.03666248547151696,0.011320055081138576,0.0,-0.08742565099986949,0.0,-0.4438696478286009,2.2318954150691006,0.7196604605173426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28,0,0,0.11666666666666667,-0.03799901716696752,0.011317620938341159,0.0,-0.08678110558253894,0.0,-0.5573321496397662,2.217554131876003,0.7365949891994761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30,0,0,0.125,-0.03875673575223004,0.011315139335678253,0.0,-0.08610056729222154,0.0,-0.6708743133485395,2.2015916463743106,0.7624182078782025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32,0,0,0.13333333333333333,-0.041916895784268604,0.011312456611953457,0.0,-0.0854152934868678,0.0,-0.7868940460077225,2.1876476186911806,0.8712922109486122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34,0,0,0.14166666666666666,-0.04651842403479378,0.011309480874614294,0.0,-0.0847435173079101,0.0,-0.9068465064758121,2.176541206013135,0.9850650583431252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,36,0,0,0.15,-0.04782179134345199,0.011306423393665927,0.0,-0.08409455658439799,0.0,-1.027456431009996,2.1679823357519634,1.0022624685777575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,38,1,0,0.15833333333333333,-0.04857751317768333,0.01130331928781414,0.0,-0.0837526110953389,0.0,-1.1484832359952042,2.17600603869075,0.9992818798633699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,40,1,0,0.16666666666666666,-0.05098870465939598,0.01130006293958686,0.0,-0.08388828771715828,0.0,-1.2720601654321717,2.206689877147646,1.027648642004221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
